source;target
mir-500a-5p;mir-500a-5p/mir-95-3p
mir-494-3p;mir-494-3p/mir-136-5p
mir-29c-3p;mir-29c-3p/mir-182-5p
mir-3150b-3p;mir-3150b-3p/mir-589-3p
mir-30a-3p;mir-30a-3p/mir-331-3p
mir-10b-3p;mir-10b-3p/mir-455-3p
mir-210-3p;mir-210-3p/mir-129-5p
mir-224-5p;mir-224-5p/mir-150-5p
mir-9-3p;mir-9-3p/mir-1291
mir-4326;mir-4326/mir-215-5p
mir-224-5p;mir-224-5p/mir-130b-5p
mir-210-3p;mir-210-3p/mir-320b
mir-584-5p;mir-584-5p/mir-7-5p
mir-29c-3p;mir-29c-3p/mir-1-3p
mir-627-5p;mir-627-5p/mir-10b-3p
mir-154-3p;mir-154-3p/mir-32-3p
mir-138-5p;mir-138-5p/mir-27a-5p
mir-362-5p;mir-362-5p/mir-500b-5p
mir-486-5p;mir-486-5p/mir-331-3p
mir-708-5p;mir-708-5p/let-7c-5p
mir-135b-5p;mir-135b-5p/mir-2355-3p
mir-214-3p;mir-214-3p/mir-542-5p
mir-30a-3p;mir-30a-3p/mir-331-3p
mir-210-3p;mir-210-3p/mir-133a-3p
mir-335-5p;mir-335-5p/mir-301a-3p
mir-19a-3p;mir-19a-3p/mir-130b-5p
mir-17-5p;mir-17-5p/mir-130b-5p
mir-130b-3p;mir-130b-3p/mir-17-5p
mir-301a-3p;mir-301a-3p/mir-301b-3p
mir-370-3p;mir-370-3p/mir-141-3p
mir-338-3p;mir-338-3p/mir-30a-5p
mir-135b-5p;mir-135b-5p/mir-20a-3p
mir-17-5p;mir-17-5p/mir-20a-5p
mir-17-5p;mir-17-5p/mir-106a-5p
mir-20b-5p;mir-20b-5p/mir-20a-5p
mir-296-5p;mir-296-5p/mir-503-5p
mir-331-3p;mir-331-3p/mir-651-5p
mir-34c-5p;mir-34c-5p/mir-34b-5p
mir-130b-3p;mir-130b-3p/mir-19b-3p
mir-130b-3p;mir-130b-3p/mir-301b-3p
mir-940;mir-940/mir-30b-3p
mir-95-3p;mir-500a-5p/mir-95-3p
mir-136-5p;mir-494-3p/mir-136-5p
mir-182-5p;mir-29c-3p/mir-182-5p
mir-589-3p;mir-3150b-3p/mir-589-3p
mir-331-3p;mir-30a-3p/mir-331-3p
mir-455-3p;mir-10b-3p/mir-455-3p
mir-129-5p;mir-210-3p/mir-129-5p
mir-150-5p;mir-224-5p/mir-150-5p
mir-1291;mir-9-3p/mir-1291
mir-215-5p;mir-4326/mir-215-5p
mir-130b-5p;mir-224-5p/mir-130b-5p
mir-320b;mir-210-3p/mir-320b
mir-7-5p;mir-584-5p/mir-7-5p
mir-1-3p;mir-29c-3p/mir-1-3p
mir-10b-3p;mir-627-5p/mir-10b-3p
mir-32-3p;mir-154-3p/mir-32-3p
mir-27a-5p;mir-138-5p/mir-27a-5p
mir-500b-5p;mir-362-5p/mir-500b-5p
mir-331-3p;mir-486-5p/mir-331-3p
let-7c-5p;mir-708-5p/let-7c-5p
mir-2355-3p;mir-135b-5p/mir-2355-3p
mir-542-5p;mir-214-3p/mir-542-5p
mir-331-3p;mir-30a-3p/mir-331-3p
mir-133a-3p;mir-210-3p/mir-133a-3p
mir-301a-3p;mir-335-5p/mir-301a-3p
mir-130b-5p;mir-19a-3p/mir-130b-5p
mir-130b-5p;mir-17-5p/mir-130b-5p
mir-17-5p;mir-130b-3p/mir-17-5p
mir-301b-3p;mir-301a-3p/mir-301b-3p
mir-141-3p;mir-370-3p/mir-141-3p
mir-30a-5p;mir-338-3p/mir-30a-5p
mir-20a-3p;mir-135b-5p/mir-20a-3p
mir-20a-5p;mir-17-5p/mir-20a-5p
mir-106a-5p;mir-17-5p/mir-106a-5p
mir-20a-5p;mir-20b-5p/mir-20a-5p
mir-503-5p;mir-296-5p/mir-503-5p
mir-651-5p;mir-331-3p/mir-651-5p
mir-34b-5p;mir-34c-5p/mir-34b-5p
mir-19b-3p;mir-130b-3p/mir-19b-3p
mir-301b-3p;mir-130b-3p/mir-301b-3p
mir-30b-3p;mir-940/mir-30b-3p
mir-500a-5p/mir-95-3p;CCND1
mir-494-3p/mir-136-5p;BCL2
mir-29c-3p/mir-182-5p;ZFP36L1
mir-3150b-3p/mir-589-3p;CDKN1A
mir-30a-3p/mir-331-3p;COL5A2
mir-10b-3p/mir-455-3p;KLF6
mir-210-3p/mir-129-5p;VCAN
mir-224-5p/mir-150-5p;DSP
mir-9-3p/mir-1291;FGF9
mir-4326/mir-215-5p;GAB1
mir-224-5p/mir-130b-5p;NR4A1
mir-210-3p/mir-320b;IGF2
mir-584-5p/mir-7-5p;IGFBP5
mir-29c-3p/mir-1-3p;ITGA6
mir-627-5p/mir-10b-3p;LYN
mir-154-3p/mir-32-3p;MAP1B
mir-138-5p/mir-27a-5p;TPM1
mir-362-5p/mir-500b-5p;KCNK5
mir-486-5p/mir-331-3p;NRP2
mir-708-5p/let-7c-5p;TUBB4A
mir-135b-5p/mir-2355-3p;IGF2BP1
mir-214-3p/mir-542-5p;WASF3
