source;target
mir-95-3p;mir-95-3p/mir-200a-3p
mir-34b-3p;mir-34b-3p/mir-223-5p
mir-196b-5p;mir-196b-5p/mir-582-5p
mir-188-3p;mir-188-3p/mir-497-5p
mir-542-3p;mir-542-3p/mir-20b-5p
mir-96-5p;mir-96-5p/mir-582-3p
mir-940;mir-940/mir-200a-3p
mir-378a-5p;mir-378a-5p/mir-539-5p
mir-9-5p;mir-9-5p/mir-32-3p
mir-335-5p;mir-335-5p/mir-29c-3p
mir-20b-5p;mir-20b-5p/mir-195-5p
mir-382-5p;mir-382-5p/mir-542-3p
mir-141-5p;mir-141-5p/mir-615-3p
mir-7-5p;mir-7-5p/mir-642a-5p
mir-582-5p;mir-582-5p/mir-497-5p
mir-431-3p;mir-431-3p/mir-381-3p
mir-199a-3p;mir-199a-3p/mir-615-3p
mir-199b-3p;mir-199b-3p/mir-615-3p
mir-503-5p;mir-503-5p/mir-21-3p
mir-23c;mir-23c/mir-1180-3p
mir-141-3p;mir-141-3p/mir-23c
mir-30a-5p;mir-30a-5p/mir-29c-3p
mir-100-3p;mir-100-3p/mir-29c-3p
mir-203a-3p;mir-203a-3p/mir-497-5p
mir-376a-3p;mir-376a-3p/mir-143-3p
mir-329-3p;mir-329-3p/mir-377-3p
mir-34c-3p;mir-34c-3p/mir-653-5p
mir-181d-5p;mir-181d-5p/mir-200b-3p
mir-200b-3p;mir-200b-3p/mir-181c-5p
mir-487a-3p;mir-487a-3p/mir-382-5p
mir-145-5p;mir-145-5p/mir-181d-5p
mir-940;mir-940/mir-497-5p
mir-545-5p;mir-545-5p/mir-96-5p
mir-615-3p;mir-615-3p/mir-204-5p
let-7f-2-3p;let-7f-2-3p/mir-215-5p
mir-141-5p;mir-141-5p/mir-326
mir-429;mir-429/mir-362-5p
mir-150-5p;mir-150-5p/mir-326
mir-188-3p;mir-188-3p/mir-192-3p
let-7c-5p;let-7c-5p/mir-337-3p
mir-20b-5p;mir-20b-5p/mir-378a-3p
mir-181d-5p;mir-181d-5p/mir-3690
mir-495-3p;mir-495-3p/mir-21-3p
mir-495-3p;mir-495-3p/mir-760
mir-21-3p;mir-21-3p/mir-323a-3p
mir-96-5p;mir-96-5p/mir-320c
mir-203a-3p;mir-203a-3p/let-7f-2-3p
mir-200b-3p;mir-200b-3p/mir-429
mir-379-5p;mir-379-5p/mir-377-5p
mir-380-5p;mir-380-5p/mir-377-5p
mir-182-5p;mir-182-5p/mir-96-5p
mir-432-5p;mir-432-5p/mir-410-3p
mir-432-5p;mir-432-5p/mir-369-3p
mir-485-5p;mir-485-5p/mir-181d-5p
mir-410-3p;mir-410-3p/mir-329-3p
mir-432-5p;mir-432-5p/mir-212-3p
mir-410-3p;mir-410-3p/mir-369-3p
mir-199b-3p;mir-199b-3p/mir-199a-3p
mir-199b-3p;mir-199b-3p/let-7c-5p
mir-3613-3p;mir-3613-3p/mir-369-3p
mir-299-5p;mir-299-5p/mir-432-5p
let-7c-5p;let-7c-5p/mir-199a-3p
mir-191-3p;mir-191-3p/mir-215-5p
mir-145-5p;mir-145-5p/mir-181d-5p
mir-145-5p;mir-145-5p/mir-181c-5p
mir-429;mir-429/mir-141-3p
mir-196b-5p;mir-196b-5p/mir-20b-5p
mir-200b-3p;mir-200b-3p/mir-200c-3p
mir-424-3p;mir-424-3p/mir-615-3p
mir-3065-5p;mir-3065-5p/mir-200c-3p
mir-940;mir-940/mir-497-5p
mir-150-3p;mir-150-3p/mir-215-5p
mir-29c-3p;mir-29c-3p/mir-3613-3p
mir-141-3p;mir-141-3p/mir-3200-3p
mir-203a-3p;mir-203a-3p/mir-497-3p
mir-376c-3p;mir-376c-3p/mir-337-3p
mir-146a-5p;mir-146a-5p/mir-1180-3p
mir-642a-5p;mir-642a-5p/mir-615-3p
mir-1306-3p;mir-1306-3p/mir-1180-3p
mir-23a-5p;mir-23a-5p/mir-10b-5p
mir-149-5p;mir-149-5p/mir-1180-3p
mir-144-3p;mir-144-3p/mir-29b-2-5p
mir-485-5p;mir-485-5p/mir-195-5p
mir-487a-3p;mir-487a-3p/mir-493-3p
mir-3065-3p;mir-3065-3p/mir-7-5p
mir-20b-5p;mir-20b-5p/mir-106a-5p
mir-30a-5p;mir-30a-5p/mir-497-5p
mir-7-5p;mir-7-5p/mir-338-5p
mir-497-5p;mir-497-5p/mir-1304-5p
mir-1304-5p;mir-1304-5p/mir-195-5p
mir-195-5p;mir-195-5p/mir-23c
mir-485-3p;mir-485-3p/mir-485-5p
mir-485-3p;mir-485-3p/mir-329-3p
mir-199a-3p;mir-199a-3p/mir-106a-5p
mir-138-5p;mir-138-5p/mir-182-5p
mir-592;mir-592/mir-29c-3p
mir-150-5p;mir-150-5p/mir-144-3p
mir-150-5p;mir-150-5p/mir-200a-5p
mir-615-3p;mir-615-3p/mir-1296-5p
mir-27a-5p;mir-27a-5p/mir-34c-3p
mir-195-5p;mir-195-5p/mir-1270
mir-29b-2-5p;mir-29b-2-5p/mir-335-3p
mir-3934-5p;mir-3934-5p/mir-335-5p
mir-542-3p;mir-542-3p/mir-497-5p
mir-96-5p;mir-96-5p/mir-497-3p
mir-30a-3p;mir-30a-3p/mir-30a-5p
mir-195-5p;mir-195-5p/mir-106a-5p
mir-7-5p;mir-7-5p/mir-144-3p
mir-101-5p;mir-101-5p/mir-141-3p
mir-497-5p;mir-497-5p/mir-653-5p
mir-195-5p;mir-195-5p/mir-539-5p
mir-145-5p;mir-145-5p/mir-181c-5p
mir-141-3p;mir-141-3p/mir-539-5p
mir-758-3p;mir-758-3p/mir-539-5p
mir-539-5p;mir-539-5p/mir-376c-3p
mir-758-3p;mir-758-3p/mir-323a-3p
mir-758-3p;mir-758-3p/mir-376c-3p
mir-21-3p;mir-21-3p/mir-155-3p
mir-215-5p;mir-215-5p/mir-33a-3p
mir-1-3p;mir-1-3p/mir-20b-5p
mir-212-3p;mir-212-3p/mir-320c
mir-215-5p;mir-215-5p/mir-150-5p
mir-3922-3p;mir-3922-3p/mir-377-5p
mir-642a-5p;mir-642a-5p/mir-150-3p
mir-939-5p;mir-939-5p/mir-139-5p
mir-182-5p;mir-182-5p/mir-541-3p
mir-136-5p;mir-136-5p/mir-580-3p
mir-30c-2-3p;mir-30c-2-3p/mir-146a-5p
mir-29c-3p;mir-29c-3p/mir-139-5p
mir-582-5p;mir-582-5p/mir-106a-5p
mir-3926;mir-3926/mir-218-1-3p
mir-409-3p;mir-409-3p/mir-196a-5p
mir-323a-3p;mir-323a-3p/mir-541-3p
mir-20b-5p;mir-20b-5p/mir-106a-5p
mir-542-3p;mir-542-3p/mir-141-3p
mir-136-5p;mir-136-5p/mir-32-3p
mir-3614-5p;mir-3614-5p/mir-29c-3p
mir-96-5p;mir-96-5p/mir-497-3p
mir-326;mir-326/mir-181c-5p
mir-200a-3p;mir-95-3p/mir-200a-3p
mir-223-5p;mir-34b-3p/mir-223-5p
mir-582-5p;mir-196b-5p/mir-582-5p
mir-497-5p;mir-188-3p/mir-497-5p
mir-20b-5p;mir-542-3p/mir-20b-5p
mir-582-3p;mir-96-5p/mir-582-3p
mir-200a-3p;mir-940/mir-200a-3p
mir-539-5p;mir-378a-5p/mir-539-5p
mir-32-3p;mir-9-5p/mir-32-3p
mir-29c-3p;mir-335-5p/mir-29c-3p
mir-195-5p;mir-20b-5p/mir-195-5p
mir-542-3p;mir-382-5p/mir-542-3p
mir-615-3p;mir-141-5p/mir-615-3p
mir-642a-5p;mir-7-5p/mir-642a-5p
mir-497-5p;mir-582-5p/mir-497-5p
mir-381-3p;mir-431-3p/mir-381-3p
mir-615-3p;mir-199a-3p/mir-615-3p
mir-615-3p;mir-199b-3p/mir-615-3p
mir-21-3p;mir-503-5p/mir-21-3p
mir-1180-3p;mir-23c/mir-1180-3p
mir-23c;mir-141-3p/mir-23c
mir-29c-3p;mir-30a-5p/mir-29c-3p
mir-29c-3p;mir-100-3p/mir-29c-3p
mir-497-5p;mir-203a-3p/mir-497-5p
mir-143-3p;mir-376a-3p/mir-143-3p
mir-377-3p;mir-329-3p/mir-377-3p
mir-653-5p;mir-34c-3p/mir-653-5p
mir-200b-3p;mir-181d-5p/mir-200b-3p
mir-181c-5p;mir-200b-3p/mir-181c-5p
mir-382-5p;mir-487a-3p/mir-382-5p
mir-181d-5p;mir-145-5p/mir-181d-5p
mir-497-5p;mir-940/mir-497-5p
mir-96-5p;mir-545-5p/mir-96-5p
mir-204-5p;mir-615-3p/mir-204-5p
mir-215-5p;let-7f-2-3p/mir-215-5p
mir-326;mir-141-5p/mir-326
mir-362-5p;mir-429/mir-362-5p
mir-326;mir-150-5p/mir-326
mir-192-3p;mir-188-3p/mir-192-3p
mir-337-3p;let-7c-5p/mir-337-3p
mir-378a-3p;mir-20b-5p/mir-378a-3p
mir-3690;mir-181d-5p/mir-3690
mir-21-3p;mir-495-3p/mir-21-3p
mir-760;mir-495-3p/mir-760
mir-323a-3p;mir-21-3p/mir-323a-3p
mir-320c;mir-96-5p/mir-320c
let-7f-2-3p;mir-203a-3p/let-7f-2-3p
mir-429;mir-200b-3p/mir-429
mir-377-5p;mir-379-5p/mir-377-5p
mir-377-5p;mir-380-5p/mir-377-5p
mir-96-5p;mir-182-5p/mir-96-5p
mir-410-3p;mir-432-5p/mir-410-3p
mir-369-3p;mir-432-5p/mir-369-3p
mir-181d-5p;mir-485-5p/mir-181d-5p
mir-329-3p;mir-410-3p/mir-329-3p
mir-212-3p;mir-432-5p/mir-212-3p
mir-369-3p;mir-410-3p/mir-369-3p
mir-199a-3p;mir-199b-3p/mir-199a-3p
let-7c-5p;mir-199b-3p/let-7c-5p
mir-369-3p;mir-3613-3p/mir-369-3p
mir-432-5p;mir-299-5p/mir-432-5p
mir-199a-3p;let-7c-5p/mir-199a-3p
mir-215-5p;mir-191-3p/mir-215-5p
mir-181d-5p;mir-145-5p/mir-181d-5p
mir-181c-5p;mir-145-5p/mir-181c-5p
mir-141-3p;mir-429/mir-141-3p
mir-20b-5p;mir-196b-5p/mir-20b-5p
mir-200c-3p;mir-200b-3p/mir-200c-3p
mir-615-3p;mir-424-3p/mir-615-3p
mir-200c-3p;mir-3065-5p/mir-200c-3p
mir-497-5p;mir-940/mir-497-5p
mir-215-5p;mir-150-3p/mir-215-5p
mir-3613-3p;mir-29c-3p/mir-3613-3p
mir-3200-3p;mir-141-3p/mir-3200-3p
mir-497-3p;mir-203a-3p/mir-497-3p
mir-337-3p;mir-376c-3p/mir-337-3p
mir-1180-3p;mir-146a-5p/mir-1180-3p
mir-615-3p;mir-642a-5p/mir-615-3p
mir-1180-3p;mir-1306-3p/mir-1180-3p
mir-10b-5p;mir-23a-5p/mir-10b-5p
mir-1180-3p;mir-149-5p/mir-1180-3p
mir-29b-2-5p;mir-144-3p/mir-29b-2-5p
mir-195-5p;mir-485-5p/mir-195-5p
mir-493-3p;mir-487a-3p/mir-493-3p
mir-7-5p;mir-3065-3p/mir-7-5p
mir-106a-5p;mir-20b-5p/mir-106a-5p
mir-497-5p;mir-30a-5p/mir-497-5p
mir-338-5p;mir-7-5p/mir-338-5p
mir-1304-5p;mir-497-5p/mir-1304-5p
mir-195-5p;mir-1304-5p/mir-195-5p
mir-23c;mir-195-5p/mir-23c
mir-485-5p;mir-485-3p/mir-485-5p
mir-329-3p;mir-485-3p/mir-329-3p
mir-106a-5p;mir-199a-3p/mir-106a-5p
mir-182-5p;mir-138-5p/mir-182-5p
mir-29c-3p;mir-592/mir-29c-3p
mir-144-3p;mir-150-5p/mir-144-3p
mir-200a-5p;mir-150-5p/mir-200a-5p
mir-1296-5p;mir-615-3p/mir-1296-5p
mir-34c-3p;mir-27a-5p/mir-34c-3p
mir-1270;mir-195-5p/mir-1270
mir-335-3p;mir-29b-2-5p/mir-335-3p
mir-335-5p;mir-3934-5p/mir-335-5p
mir-497-5p;mir-542-3p/mir-497-5p
mir-497-3p;mir-96-5p/mir-497-3p
mir-30a-5p;mir-30a-3p/mir-30a-5p
mir-106a-5p;mir-195-5p/mir-106a-5p
mir-144-3p;mir-7-5p/mir-144-3p
mir-141-3p;mir-101-5p/mir-141-3p
mir-653-5p;mir-497-5p/mir-653-5p
mir-539-5p;mir-195-5p/mir-539-5p
mir-181c-5p;mir-145-5p/mir-181c-5p
mir-539-5p;mir-141-3p/mir-539-5p
mir-539-5p;mir-758-3p/mir-539-5p
mir-376c-3p;mir-539-5p/mir-376c-3p
mir-323a-3p;mir-758-3p/mir-323a-3p
mir-376c-3p;mir-758-3p/mir-376c-3p
mir-155-3p;mir-21-3p/mir-155-3p
mir-33a-3p;mir-215-5p/mir-33a-3p
mir-20b-5p;mir-1-3p/mir-20b-5p
mir-320c;mir-212-3p/mir-320c
mir-150-5p;mir-215-5p/mir-150-5p
mir-377-5p;mir-3922-3p/mir-377-5p
mir-150-3p;mir-642a-5p/mir-150-3p
mir-139-5p;mir-939-5p/mir-139-5p
mir-541-3p;mir-182-5p/mir-541-3p
mir-580-3p;mir-136-5p/mir-580-3p
mir-146a-5p;mir-30c-2-3p/mir-146a-5p
mir-139-5p;mir-29c-3p/mir-139-5p
mir-106a-5p;mir-582-5p/mir-106a-5p
mir-218-1-3p;mir-3926/mir-218-1-3p
mir-196a-5p;mir-409-3p/mir-196a-5p
mir-541-3p;mir-323a-3p/mir-541-3p
mir-106a-5p;mir-20b-5p/mir-106a-5p
mir-141-3p;mir-542-3p/mir-141-3p
mir-32-3p;mir-136-5p/mir-32-3p
mir-29c-3p;mir-3614-5p/mir-29c-3p
mir-497-3p;mir-96-5p/mir-497-3p
mir-181c-5p;mir-326/mir-181c-5p
mir-95-3p/mir-200a-3p;ABL2
mir-34b-3p/mir-223-5p;ADH1B
mir-196b-5p/mir-582-5p;BIRC3
mir-188-3p/mir-497-5p;BACH1
mir-542-3p/mir-20b-5p;CCND2
mir-96-5p/mir-582-3p;CCND2
mir-940/mir-200a-3p;CFL2
mir-378a-5p/mir-539-5p;COL1A1
mir-9-5p/mir-32-3p;COL5A1
mir-335-5p/mir-29c-3p;COL10A1
mir-20b-5p/mir-195-5p;CUX1
mir-382-5p/mir-542-3p;CD55
mir-141-5p/mir-615-3p;DYNC1H1
mir-7-5p/mir-642a-5p;ATN1
mir-582-5p/mir-497-5p;EFNB2
mir-431-3p/mir-381-3p;EN1
mir-199a-3p/mir-615-3p;FGF2
mir-199b-3p/mir-615-3p;FGF2
mir-503-5p/mir-21-3p;FOSL2
mir-23c/mir-1180-3p;NR6A1
mir-141-3p/mir-23c;NR6A1
mir-30a-5p/mir-29c-3p;HAS2
mir-100-3p/mir-29c-3p;HIF1A
mir-203a-3p/mir-497-5p;IGF1R
mir-376a-3p/mir-143-3p;IGF1R
mir-329-3p/mir-377-3p;KCNA4
mir-34c-3p/mir-653-5p;KIF5B
mir-181d-5p/mir-200b-3p;LBR
mir-200b-3p/mir-181c-5p;LBR
mir-487a-3p/mir-382-5p;TM4SF1
mir-145-5p/mir-181d-5p;MAP1B
mir-940/mir-497-5p;MAP1B
mir-545-5p/mir-96-5p;MCL1
mir-615-3p/mir-204-5p;AFF1
let-7f-2-3p/mir-215-5p;MYO6
mir-141-5p/mir-326;P4HB
mir-429/mir-362-5p;PAM
mir-150-5p/mir-326;PKM
mir-188-3p/mir-192-3p;UBL3
let-7c-5p/mir-337-3p;PKN2
mir-20b-5p/mir-378a-3p;ROBO1
mir-181d-5p/mir-3690;SCD
mir-495-3p/mir-21-3p;SGK1
mir-495-3p/mir-760;SGK1
mir-21-3p/mir-323a-3p;SGK1
mir-96-5p/mir-320c;SLC2A3
mir-203a-3p/let-7f-2-3p;SLC7A1
mir-200b-3p/mir-429;SLC9A2
mir-379-5p/mir-377-5p;SLC16A1
mir-380-5p/mir-377-5p;SLC16A1
mir-182-5p/mir-96-5p;SNAI2
mir-432-5p/mir-410-3p;SOD2
mir-432-5p/mir-369-3p;SOD2
mir-485-5p/mir-181d-5p;SOD2
mir-410-3p/mir-329-3p;SOD2
mir-432-5p/mir-212-3p;SOD2
mir-410-3p/mir-369-3p;SOD2
mir-199b-3p/mir-199a-3p;SOD2
mir-199b-3p/let-7c-5p;SOD2
mir-3613-3p/mir-369-3p;SOD2
mir-299-5p/mir-432-5p;SOD2
let-7c-5p/mir-199a-3p;SOD2
mir-191-3p/mir-215-5p;SSTR2
mir-145-5p/mir-181d-5p;ADAM17
mir-145-5p/mir-181c-5p;ADAM17
mir-429/mir-141-3p;ZEB1
mir-196b-5p/mir-20b-5p;TGFBR2
mir-200b-3p/mir-200c-3p;TUBB2A
mir-424-3p/mir-615-3p;SLC30A1
mir-3065-5p/mir-200c-3p;SLMAP
mir-940/mir-497-5p;RECK
mir-150-3p/mir-215-5p;ENC1
mir-29c-3p/mir-3613-3p;ASAP2
mir-141-3p/mir-3200-3p;SKAP2
mir-203a-3p/mir-497-3p;SOCS3
mir-376c-3p/mir-337-3p;CLDN1
mir-146a-5p/mir-1180-3p;SLC16A3
mir-642a-5p/mir-615-3p;GTF3C4
mir-1306-3p/mir-1180-3p;ADAMTS1
mir-23a-5p/mir-10b-5p;KIAA0100
mir-149-5p/mir-1180-3p;DOCK4
mir-144-3p/mir-29b-2-5p;MLEC
mir-485-5p/mir-195-5p;MLEC
mir-487a-3p/mir-493-3p;NAMPT
mir-3065-3p/mir-7-5p;CTDSPL
mir-20b-5p/mir-106a-5p;NDRG1
mir-30a-5p/mir-497-5p;SEC23A
mir-7-5p/mir-338-5p;PNMA2
mir-497-5p/mir-1304-5p;FRS2
mir-1304-5p/mir-195-5p;FRS2
mir-195-5p/mir-23c;ZNF275
mir-485-3p/mir-485-5p;PPARGC1A
mir-485-3p/mir-329-3p;PPARGC1A
mir-199a-3p/mir-106a-5p;RRAS2
mir-138-5p/mir-182-5p;ELL2
mir-592/mir-29c-3p;PRRC2C
mir-150-5p/mir-144-3p;CBX5
mir-150-5p/mir-200a-5p;CBX5
mir-615-3p/mir-1296-5p;MACF1
mir-27a-5p/mir-34c-3p;WWTR1
mir-195-5p/mir-1270;NBEA
mir-29b-2-5p/mir-335-3p;FOXP1
mir-3934-5p/mir-335-5p;LRP12
mir-542-3p/mir-497-5p;CRIM1
mir-96-5p/mir-497-3p;USP53
mir-30a-3p/mir-30a-5p;EPB41L4B
mir-195-5p/mir-106a-5p;LRIF1
mir-7-5p/mir-144-3p;EIF5A2
mir-101-5p/mir-141-3p;PMEPA1
mir-497-5p/mir-653-5p;CEMIP
mir-195-5p/mir-539-5p;MAVS
mir-145-5p/mir-181c-5p;TAOK1
mir-141-3p/mir-539-5p;ENPP5
mir-758-3p/mir-539-5p;ENPP5
mir-539-5p/mir-376c-3p;ENPP5
mir-758-3p/mir-323a-3p;ENPP5
mir-758-3p/mir-376c-3p;ENPP5
mir-21-3p/mir-155-3p;TBL1XR1
mir-215-5p/mir-33a-3p;ATAD5
mir-1-3p/mir-20b-5p;ZBED3
mir-212-3p/mir-320c;LCOR
mir-215-5p/mir-150-5p;FAXC
mir-3922-3p/mir-377-5p;SERAC1
mir-642a-5p/mir-150-3p;MSI2
mir-939-5p/mir-139-5p;NACC2
mir-182-5p/mir-541-3p;S100A16
mir-136-5p/mir-580-3p;XRRA1
mir-30c-2-3p/mir-146a-5p;ALG10B
mir-29c-3p/mir-139-5p;BMT2
mir-582-5p/mir-106a-5p;TOR1AIP2
mir-3926/mir-218-1-3p;TOR1AIP2
mir-409-3p/mir-196a-5p;PDE12
mir-323a-3p/mir-541-3p;ADGRD1
mir-20b-5p/mir-106a-5p;RIMKLA
mir-542-3p/mir-141-3p;ZNF621
mir-136-5p/mir-32-3p;ZNF621
mir-3614-5p/mir-29c-3p;ZNF850
mir-96-5p/mir-497-3p;DIPK1A
mir-326/mir-181c-5p;ZNF772
