"info","is_mrna_tf","name","selected","shared name"
"mirna",,"mir-409-3p","false","mir-409-3p"
"dummy",,"","false","mir-409-3p/mir-424-5p"
"mirna",,"mir-338-3p","false","mir-338-3p"
"dummy",,"","false","mir-338-3p/mir-17-5p"
"mirna",,"mir-605-5p","false","mir-605-5p"
"dummy",,"","false","mir-605-5p/mir-221-5p"
"mirna",,"mir-17-5p","false","mir-17-5p"
"dummy",,"","false","mir-17-5p/mir-98-5p"
"mirna",,"mir-194-5p","false","mir-194-5p"
"dummy",,"","false","mir-194-5p/mir-20a-5p"
"mirna",,"mir-200a-3p","false","mir-200a-3p"
"dummy",,"","false","mir-200a-3p/mir-378a-5p"
"mirna",,"mir-10a-5p","false","mir-10a-5p"
"dummy",,"","false","mir-10a-5p/mir-106a-5p"
"mirna",,"mir-142-3p","false","mir-142-3p"
"dummy",,"","false","mir-142-3p/mir-204-5p"
"mirna",,"mir-378a-3p","false","mir-378a-3p"
"dummy",,"","false","mir-378a-3p/let-7f-5p"
"dummy",,"","false","mir-378a-3p/mir-200a-3p"
"mirna",,"mir-1228-5p","false","mir-1228-5p"
"dummy",,"","false","mir-1228-5p/mir-20a-5p"
"mirna",,"mir-129-2-3p","false","mir-129-2-3p"
"dummy",,"","false","mir-129-2-3p/mir-204-5p"
"mirna",,"mir-130a-3p","false","mir-130a-3p"
"dummy",,"","false","mir-130a-3p/mir-200b-3p"
"mirna",,"mir-96-5p","false","mir-96-5p"
"dummy",,"","false","mir-96-5p/mir-20a-5p"
"mirna",,"mir-183-3p","false","mir-183-3p"
"dummy",,"","false","mir-183-3p/mir-98-5p"
"dummy",,"","false","mir-96-5p/mir-10b-3p"
"mirna",,"mir-15a-5p","false","mir-15a-5p"
"dummy",,"","false","mir-15a-5p/mir-22-3p"
"mirna",,"mir-320c","false","mir-320c"
"dummy",,"","false","mir-320c/mir-29b-3p"
"mirna",,"mir-452-5p","false","mir-452-5p"
"dummy",,"","false","mir-452-5p/mir-185-5p"
"mirna",,"mir-223-3p","false","mir-223-3p"
"dummy",,"","false","mir-223-3p/mir-224-5p"
