info,is_mrna_tf,name,selected,shared.name,updown,significance
mirna,,mir-33b-5p,false,mir-33b-5p,Up,0.473137109166589
dummy,,,false,mir-33b-5p/mir-33a-5p,dummy,
mirna,,mir-7-5p,false,mir-7-5p,Up,0.0441592006962438
dummy,,,false,mir-7-5p/mir-129-2-3p,dummy,
mirna,,mir-3200-3p,false,mir-3200-3p,Down,0.908533829285735
dummy,,,false,mir-3200-3p/mir-7-5p,dummy,
mirna,,mir-129-2-3p,false,mir-129-2-3p,Up,0.380336498191205
dummy,,,false,mir-129-2-3p/mir-103a-2-5p,dummy,
mirna,,mir-642a-5p,false,mir-642a-5p,Up,0.99664350381264
dummy,,,false,mir-642a-5p/mir-7-5p,dummy,
mirna,,mir-141-3p,false,mir-141-3p,Up,0.165724545091476
dummy,,,false,mir-141-3p/mir-1224-5p,dummy,
mirna,,mir-203a-3p,false,mir-203a-3p,Up,0.0550834098950881
dummy,,,false,mir-203a-3p/mir-192-5p,dummy,
mirna,,mir-19a-3p,false,mir-19a-3p,Down,0.442829455873115
dummy,,,false,mir-19a-3p/mir-103a-2-5p,dummy,
mirna,,mir-96-5p,false,mir-96-5p,Up,0.773386012982795
dummy,,,false,mir-96-5p/mir-139-5p,dummy,
mirna,,mir-3909,false,mir-3909,Down,0.734702559885626
dummy,,,false,mir-3909/mir-9-3p,dummy,
mirna,,mir-139-5p,false,mir-139-5p,Down,0.431217541963223
dummy,,,false,mir-139-5p/mir-33b-5p,dummy,
mirna,,mir-429,false,mir-429,Up,0.0782101766132573
dummy,,,false,mir-429/mir-106a-5p,dummy,
dummy,,,false,mir-203a-3p/mir-205-5p,dummy,
dummy,,,false,mir-96-5p/mir-203a-3p,dummy,
mirna,,mir-33a-5p,false,mir-33a-5p,Down,0.588365208434337
dummy,,,false,mir-33a-5p/mir-483-3p,dummy,
dummy,,,false,mir-7-5p/mir-194-3p,dummy,
dummy,,,false,mir-7-5p/mir-33b-5p,dummy,
mirna,,mir-577,false,mir-577,Up,0.3171377260692
dummy,,,false,mir-577/mir-3065-3p,dummy,
mirna,,mir-511-5p,false,mir-511-5p,Down,0.697064428411523
dummy,,,false,mir-511-5p/mir-1-3p,dummy,
mirna,,mir-676-3p,false,mir-676-3p,Up,0.540130342576847
dummy,,,false,mir-676-3p/mir-96-5p,dummy,
mirna,,mir-129-5p,false,mir-129-5p,Up,0.169772217683288
dummy,,,false,mir-129-5p/mir-3200-3p,dummy,
dummy,,,false,mir-96-5p/mir-3200-3p,dummy,
mirna,,mir-150-5p,false,mir-150-5p,Down,0.584910762528083
dummy,,,false,mir-150-5p/mir-577,dummy,
dummy,,,false,mir-129-5p/mir-33a-5p,dummy,
mirna,,mir-30c-1-3p,false,mir-30c-1-3p,Down,0.413836129320886
dummy,,,false,mir-30c-1-3p/mir-1228-3p,dummy,
mirna,,mir-146a-5p,false,mir-146a-5p,Down,0.808703058206171
dummy,,,false,mir-146a-5p/mir-196b-5p,dummy,
mirna,,mir-584-5p,false,mir-584-5p,Up,0.588449334643335
dummy,,,false,mir-584-5p/mir-193b-3p,dummy,
dummy,,,false,mir-129-5p/mir-96-5p,dummy,
dummy,,,false,mir-141-3p/mir-676-3p,dummy,
dummy,,,false,mir-642a-5p/mir-511-5p,dummy,
mirna,,mir-486-5p,false,mir-486-5p,Down,0.573235194611398
dummy,,,false,mir-486-5p/mir-3934-5p,dummy,
mirna,,mir-3682-3p,false,mir-3682-3p,Down,0.525329876667858
dummy,,,false,mir-3682-3p/mir-193b-5p,dummy,
dummy,,,false,mir-150-5p/mir-224-5p,dummy,
dummy,,,false,mir-129-5p/mir-577,dummy,
dummy,,,false,mir-33a-5p/mir-7-5p,dummy,
mirna,,mir-205-5p,false,mir-205-5p,Up,0.0825191742024489
dummy,,,false,mir-205-5p/mir-193b-3p,dummy,
mirna,,mir-656-3p,false,mir-656-3p,Down,0.608506843404462
dummy,,,false,mir-656-3p/mir-642a-5p,dummy,
mirna,,mir-9-5p,false,mir-9-5p,Up,0.561942030658616
dummy,,,false,mir-9-5p/mir-642a-5p,dummy,
mirna,,mir-296-3p,false,mir-296-3p,Up,0.802480650339852
dummy,,,false,mir-296-3p/mir-592,dummy,
dummy,,,false,mir-141-3p/mir-150-5p,dummy,
mirna,,mir-103a-2-5p,false,mir-103a-2-5p,Down,0.0517712811101425
mirna,,mir-1224-5p,false,mir-1224-5p,Up,0.0870161237646326
mirna,,mir-192-5p,false,mir-192-5p,Up,0.0515119998319784
mirna,,mir-9-3p,false,mir-9-3p,Up,0.378265604018643
mirna,,mir-106a-5p,false,mir-106a-5p,Down,0.259173579915578
mirna,,mir-483-3p,false,mir-483-3p,Down,0.711419425434045
mirna,,mir-194-3p,false,mir-194-3p,Up,0.0232170923423631
mirna,,mir-3065-3p,false,mir-3065-3p,Up,0.20573981628032
mirna,,mir-1-3p,false,mir-1-3p,Down,0.938263436514101
mirna,,mir-1228-3p,false,mir-1228-3p,Down,0.887511963878443
mirna,,mir-196b-5p,false,mir-196b-5p,Up,0.109302661540268
mirna,,mir-193b-3p,false,mir-193b-3p,Up,0.76969623439612
mirna,,mir-3934-5p,false,mir-3934-5p,Up,0.581117171420061
mirna,,mir-193b-5p,false,mir-193b-5p,Up,0.827156574730903
mirna,,mir-224-5p,false,mir-224-5p,Up,0.78694209005494
mirna,,mir-592,false,mir-592,Up,0.0849377016221279
mrna,false,CNTN1,false,CNTN1,Down,
mrna,false,COL6A1,false,COL6A1,Down,
mrna,false,COL6A3,false,COL6A3,Down,
mrna,false,DHCR24,false,DHCR24,Down,
mrna,false,EXT1,false,EXT1,Up,
mrna,false,FGF2,false,FGF2,Down,
mrna,true,IRF4,false,IRF4,Down,
mrna,false,LIFR,false,LIFR,Down,
mrna,false,MCL1,false,MCL1,Down,
mrna,false,NHS,false,NHS,Up,
mrna,false,PABPC3,false,PABPC3,Down,
mrna,false,PKIA,false,PKIA,Down,
mrna,false,PRLR,false,PRLR,Up,
mrna,false,RAB3B,false,RAB3B,Up,
mrna,false,S100A4,false,S100A4,Up,
mrna,true,SKIL,false,SKIL,Down,
mrna,false,SOD2,false,SOD2,Down,
mrna,false,TPM1,false,TPM1,Down,
mrna,false,VEGFA,false,VEGFA,Up,
mrna,false,CAP1,false,CAP1,Down,
mrna,false,IGF2BP1,false,IGF2BP1,Up,
mrna,false,ABHD2,false,ABHD2,Up,
mrna,false,ADAMTS5,false,ADAMTS5,Down,
mrna,true,IKZF3,false,IKZF3,Down,
mrna,false,RHOBTB3,false,RHOBTB3,Down,
mrna,false,ELL2,false,ELL2,Up,
mrna,false,SLC44A1,false,SLC44A1,Up,
mrna,false,TMOD3,false,TMOD3,Up,
mrna,false,IER5,false,IER5,Up,
mrna,false,CCDC198,false,CCDC198,Up,
mrna,false,MAML3,false,MAML3,Up,
mrna,false,KIAA1549,false,KIAA1549,Up,
mrna,false,FNDC3B,false,FNDC3B,Up,
mrna,false,AHNAK,false,AHNAK,Up,
mrna,false,LPCAT1,false,LPCAT1,Down,
mrna,false,TTYH3,false,TTYH3,Up,
mrna,false,ANTXR1,false,ANTXR1,Down,
mrna,false,DSEL,false,DSEL,Down,
mrna,false,PDZD8,false,PDZD8,Up,
