info,is_mrna_tf,name,selected,shared.name,updown,significance
mirna,,mir-376c-3p,false,mir-376c-3p,Down,0.29148227442177
dummy,,,false,mir-376c-3p/mir-541-5p,dummy,
mirna,,mir-424-5p,false,mir-424-5p,Down,0.0952209190976666
dummy,,,false,mir-424-5p/mir-195-5p,dummy,
mirna,,mir-708-5p,false,mir-708-5p,Down,0.183068490649196
dummy,,,false,mir-708-5p/let-7c-5p,dummy,
mirna,,mir-200b-3p,false,mir-200b-3p,Down,0.627039105914662
dummy,,,false,mir-200b-3p/mir-937-3p,dummy,
mirna,,mir-224-5p,false,mir-224-5p,Down,0.60905406181031
dummy,,,false,mir-224-5p/mir-196a-5p,dummy,
mirna,,mir-511-5p,false,mir-511-5p,Down,0.00231977732351297
dummy,,,false,mir-511-5p/mir-1224-3p,dummy,
mirna,,mir-32-3p,false,mir-32-3p,Down,0.0340399562878437
dummy,,,false,mir-32-3p/mir-181d-5p,dummy,
mirna,,mir-411-3p,false,mir-411-3p,Up,0.813967204405885
dummy,,,false,mir-411-3p/mir-195-5p,dummy,
mirna,,mir-199a-5p,false,mir-199a-5p,Down,0.154944467214958
dummy,,,false,mir-199a-5p/mir-410-3p,dummy,
dummy,,,false,mir-424-5p/mir-410-3p,dummy,
dummy,,,false,mir-199a-5p/mir-411-3p,dummy,
mirna,,mir-99a-3p,false,mir-99a-3p,Down,0.00018410088017964
dummy,,,false,mir-99a-3p/mir-411-3p,dummy,
dummy,,,false,mir-411-3p/mir-424-5p,dummy,
mirna,,mir-873-5p,false,mir-873-5p,Up,0.00277600686250839
dummy,,,false,mir-873-5p/mir-494-3p,dummy,
mirna,,mir-301b-3p,false,mir-301b-3p,Up,0.00922284515750276
dummy,,,false,mir-301b-3p/mir-32-3p,dummy,
mirna,,mir-148a-3p,false,mir-148a-3p,Down,0.25468892977419
dummy,,,false,mir-148a-3p/mir-182-5p,dummy,
mirna,,mir-7-5p,false,mir-7-5p,Up,0.00076634985750306
dummy,,,false,mir-7-5p/mir-138-5p,dummy,
mirna,,mir-21-3p,false,mir-21-3p,Down,0.578586216813254
dummy,,,false,mir-21-3p/mir-182-5p,dummy,
mirna,,mir-182-5p,false,mir-182-5p,Down,0.361808731279103
dummy,,,false,mir-182-5p/mir-96-5p,dummy,
mirna,,mir-542-3p,false,mir-542-3p,Down,0.0931517876213775
dummy,,,false,mir-542-3p/mir-181c-5p,dummy,
mirna,,mir-323a-5p,false,mir-323a-5p,Up,0.324641205976841
dummy,,,false,mir-323a-5p/mir-483-5p,dummy,
dummy,,,false,mir-873-5p/mir-9-5p,dummy,
mirna,,mir-210-3p,false,mir-210-3p,Up,0.279633000636637
dummy,,,false,mir-210-3p/mir-455-3p,dummy,
mirna,,mir-362-5p,false,mir-362-5p,Down,0.9646035537708
dummy,,,false,mir-362-5p/mir-188-5p,dummy,
mirna,,mir-1-3p,false,mir-1-3p,Down,0.410500257941461
dummy,,,false,mir-1-3p/mir-138-5p,dummy,
mirna,,mir-193b-3p,false,mir-193b-3p,Down,9.17859257181718e-06
dummy,,,false,mir-193b-3p/mir-503-5p,dummy,
dummy,,,false,mir-411-3p/mir-106a-5p,dummy,
mirna,,mir-1179,false,mir-1179,Up,0.001545831405452
dummy,,,false,mir-1179/mir-501-3p,dummy,
mirna,,mir-452-3p,false,mir-452-3p,Up,0.826786755979679
dummy,,,false,mir-452-3p/mir-410-3p,dummy,
mirna,,mir-204-5p,false,mir-204-5p,Down,0.183825571457913
dummy,,,false,mir-204-5p/mir-199a-3p,dummy,
mirna,,mir-199a-3p,false,mir-199a-3p,Down,0.232423553581931
dummy,,,false,mir-199a-3p/mir-493-5p,dummy,
mirna,,mir-195-5p,false,mir-195-5p,Down,0.0478918772822502
dummy,,,false,mir-195-5p/mir-193b-3p,dummy,
mirna,,mir-3187-3p,false,mir-3187-3p,Up,0.382495703248607
dummy,,,false,mir-3187-3p/mir-96-5p,dummy,
mirna,,mir-942-5p,false,mir-942-5p,Down,0.572119025668203
dummy,,,false,mir-942-5p/mir-7-5p,dummy,
mirna,,mir-504-5p,false,mir-504-5p,Up,0.32410154131264
dummy,,,false,mir-504-5p/mir-497-3p,dummy,
mirna,,mir-330-3p,false,mir-330-3p,Up,0.16233758257038
dummy,,,false,mir-330-3p/mir-335-5p,dummy,
mirna,,mir-142-5p,false,mir-142-5p,Down,0.736899693675788
dummy,,,false,mir-142-5p/mir-135a-5p,dummy,
