source;target
mir-376c-3p;mir-376c-3p/mir-541-5p
mir-424-5p;mir-424-5p/mir-195-5p
mir-708-5p;mir-708-5p/let-7c-5p
mir-200b-3p;mir-200b-3p/mir-937-3p
mir-224-5p;mir-224-5p/mir-196a-5p
mir-511-5p;mir-511-5p/mir-1224-3p
mir-32-3p;mir-32-3p/mir-181d-5p
mir-411-3p;mir-411-3p/mir-195-5p
mir-199a-5p;mir-199a-5p/mir-410-3p
mir-424-5p;mir-424-5p/mir-410-3p
mir-199a-5p;mir-199a-5p/mir-411-3p
mir-99a-3p;mir-99a-3p/mir-411-3p
mir-411-3p;mir-411-3p/mir-424-5p
mir-873-5p;mir-873-5p/mir-494-3p
mir-301b-3p;mir-301b-3p/mir-32-3p
mir-148a-3p;mir-148a-3p/mir-182-5p
mir-7-5p;mir-7-5p/mir-138-5p
mir-21-3p;mir-21-3p/mir-182-5p
mir-182-5p;mir-182-5p/mir-96-5p
mir-542-3p;mir-542-3p/mir-181c-5p
mir-323a-5p;mir-323a-5p/mir-483-5p
mir-873-5p;mir-873-5p/mir-9-5p
mir-210-3p;mir-210-3p/mir-455-3p
mir-362-5p;mir-362-5p/mir-188-5p
mir-1-3p;mir-1-3p/mir-138-5p
mir-193b-3p;mir-193b-3p/mir-503-5p
mir-411-3p;mir-411-3p/mir-106a-5p
mir-1179;mir-1179/mir-501-3p
mir-452-3p;mir-452-3p/mir-410-3p
mir-204-5p;mir-204-5p/mir-199a-3p
mir-199a-3p;mir-199a-3p/mir-493-5p
mir-195-5p;mir-195-5p/mir-193b-3p
mir-3187-3p;mir-3187-3p/mir-96-5p
mir-942-5p;mir-942-5p/mir-7-5p
mir-504-5p;mir-504-5p/mir-497-3p
mir-330-3p;mir-330-3p/mir-335-5p
mir-142-5p;mir-142-5p/mir-135a-5p
mir-222-5p;mir-222-5p/mir-548v
mir-199a-3p;mir-199a-3p/mir-149-5p
mir-149-5p;mir-149-5p/mir-199b-3p
mir-296-3p;mir-296-3p/mir-365a-3p
mir-497-5p;mir-497-5p/mir-20b-5p
mir-497-5p;mir-497-5p/mir-20b-5p
mir-106a-5p;mir-106a-5p/mir-497-5p
mir-148a-3p;mir-148a-3p/mir-182-5p
mir-148a-5p;mir-148a-5p/mir-182-5p
mir-335-5p;mir-335-5p/mir-493-3p
mir-34c-5p;mir-34c-5p/mir-196b-5p
mir-149-5p;mir-149-5p/mir-143-3p
mir-33a-5p;mir-33a-5p/mir-106a-5p
mir-193b-3p;mir-193b-3p/mir-143-3p
mir-1179;mir-1179/mir-493-5p
mir-3200-3p;mir-3200-3p/mir-224-5p
mir-204-5p;mir-204-5p/mir-195-5p
mir-200b-3p;mir-200b-3p/mir-708-5p
mir-183-5p;mir-183-5p/mir-548b-3p
mir-148a-5p;mir-148a-5p/mir-363-3p
mir-142-3p;mir-142-3p/mir-624-5p
mir-181d-5p;mir-181d-5p/mir-3065-3p
mir-33a-5p;mir-33a-5p/mir-885-5p
mir-424-3p;mir-424-3p/mir-330-5p
mir-203a-3p;mir-203a-3p/mir-210-3p
mir-455-5p;mir-455-5p/mir-196a-5p
mir-143-3p;mir-143-3p/mir-195-5p
mir-33a-5p;mir-33a-5p/mir-676-3p
mir-20b-5p;mir-20b-5p/mir-7-5p
mir-193b-3p;mir-193b-3p/mir-143-3p
mir-424-5p;mir-424-5p/mir-665
