"info","is_mrna_tf","name","selected","shared name","updown"
"mrna","false","MACC1","false","MACC1","down"
"mrna","false","LUZP2","false","LUZP2","up"
"mrna","false","DKK1","false","DKK1","down"
"mrna","true","HMGA2","false","HMGA2","down"
"mrna","false","VEGFA","false","VEGFA","down"
"mrna","false","SYT4","false","SYT4","down"
"mirna",,"mir-338-3p","false","mir-338-3p","down"
"mirna",,"mir-106a-5p","false","mir-106a-5p","up"
"mirna",,"mir-33a-5p","false","mir-33a-5p","down"
"mirna",,"mir-326","false","mir-326","down"
"mirna",,"mir-150-5p","false","mir-150-5p","up"
"mirna",,"mir-153-3p","false","mir-153-3p","up"
"dummy",,"","false","mir-362-3p/mir-338-3p","dummy"
"mirna",,"mir-362-3p","false","mir-362-3p","up"
"dummy",,"","false","mir-20b-5p/mir-106a-5p","dummy"
"dummy",,"","false","mir-33b-5p/mir-33a-5p","dummy"
"mirna",,"mir-33b-5p","false","mir-33b-5p","down"
"dummy",,"","false","let-7g-3p/mir-326","dummy"
"dummy",,"","false","let-7g-3p/mir-33b-5p","dummy"
"mirna",,"let-7g-3p","false","let-7g-3p","down"
"dummy",,"","false","mir-20b-5p/mir-150-5p","dummy"
"mirna",,"mir-20b-5p","false","mir-20b-5p","up"
"dummy",,"","false","mir-142-3p/mir-153-3p","dummy"
"mirna",,"mir-142-3p","false","mir-142-3p","up"
