info,is_mrna_tf,name,selected,shared.name,updown,significance
mrna,false,MACC1,false,MACC1,down,
mrna,false,LUZP2,false,LUZP2,up,
mrna,false,DKK1,false,DKK1,down,
mrna,true,HMGA2,false,HMGA2,down,
mrna,false,VEGFA,false,VEGFA,down,
mrna,false,SYT4,false,SYT4,down,
mirna,,mir-338-3p,false,mir-338-3p,down,0.493108951936297
mirna,,mir-106a-5p,false,mir-106a-5p,up,0.00018831318528571
mirna,,mir-33a-5p,false,mir-33a-5p,down,
mirna,,mir-326,false,mir-326,down,0.00015211208340281
mirna,,mir-150-5p,false,mir-150-5p,up,0.994057399846652
mirna,,mir-153-3p,false,mir-153-3p,up,3.36058035039217e-13
dummy,,,false,mir-362-3p/mir-338-3p,dummy,
mirna,,mir-362-3p,false,mir-362-3p,up,0.538882711678924
dummy,,,false,mir-20b-5p/mir-106a-5p,dummy,
dummy,,,false,mir-33b-5p/mir-33a-5p,dummy,
mirna,,mir-33b-5p,false,mir-33b-5p,down,0.115018018858396
dummy,,,false,let-7g-3p/mir-326,dummy,
dummy,,,false,let-7g-3p/mir-33b-5p,dummy,
mirna,,let-7g-3p,false,let-7g-3p,down,0.0871294472139528
dummy,,,false,mir-20b-5p/mir-150-5p,dummy,
mirna,,mir-20b-5p,false,mir-20b-5p,up,0.00476570663834819
dummy,,,false,mir-142-3p/mir-153-3p,dummy,
mirna,,mir-142-3p,false,mir-142-3p,up,0.924205973463444
