source;target
mir-142-3p;mir-142-3p/mir-153-3p
mir-20b-5p;mir-20b-5p/mir-150-5p
let-7g-3p;let-7g-3p/mir-33b-5p
let-7g-3p;let-7g-3p/mir-326
mir-33b-5p;mir-33b-5p/mir-33a-5p
mir-20b-5p;mir-20b-5p/mir-106a-5p
mir-362-3p;mir-362-3p/mir-338-3p
mir-153-3p;mir-142-3p/mir-153-3p
mir-150-5p;mir-20b-5p/mir-150-5p
mir-33b-5p;let-7g-3p/mir-33b-5p
mir-326;let-7g-3p/mir-326
mir-33a-5p;mir-33b-5p/mir-33a-5p
mir-106a-5p;mir-20b-5p/mir-106a-5p
mir-338-3p;mir-362-3p/mir-338-3p
mir-142-3p/mir-153-3p;SYT4
mir-20b-5p/mir-150-5p;VEGFA
let-7g-3p/mir-33b-5p;HMGA2
let-7g-3p/mir-326;HMGA2
mir-33b-5p/mir-33a-5p;DKK1
mir-20b-5p/mir-106a-5p;LUZP2
mir-362-3p/mir-338-3p;MACC1
