source;target
mir-34a-5p;mir-34a-5p/mir-301b-3p
mir-675-3p;mir-675-3p/mir-552-3p
mir-744-3p;mir-744-3p/mir-486-3p
mir-182-5p;mir-182-5p/mir-29b-3p
mir-29c-3p;mir-29c-3p/mir-301a-3p
mir-362-5p;mir-362-5p/let-7f-2-3p
mir-32-3p;mir-32-3p/mir-651-5p
mir-29b-3p;mir-29b-3p/mir-101-5p
mir-101-5p;mir-101-5p/mir-33b-5p
mir-7-5p;mir-7-5p/mir-183-5p
mir-188-3p;mir-188-3p/mir-1270
mir-18a-5p;mir-18a-5p/mir-18b-5p
mir-552-3p;mir-552-3p/mir-1301-3p
mir-135b-5p;mir-135b-5p/mir-33a-3p
mir-29b-3p;mir-29b-3p/mir-301b-3p
mir-146a-5p;mir-146a-5p/mir-196b-5p
mir-577;mir-577/mir-215-5p
mir-376a-5p;mir-376a-5p/mir-18b-5p
mir-1237-3p;mir-1237-3p/mir-188-5p
mir-34b-3p;mir-34b-3p/mir-1307-3p
mir-188-5p;mir-188-5p/mir-877-5p
mir-376a-5p;mir-376a-5p/mir-33b-5p
mir-182-5p;mir-182-5p/mir-34a-5p
mir-486-5p;mir-486-5p/mir-18b-5p
mir-20a-3p;mir-20a-3p/mir-18b-5p
mir-32-3p;mir-32-3p/mir-18b-5p
mir-362-3p;mir-362-3p/mir-210-3p
mir-146a-5p;mir-146a-5p/mir-663b
mir-592;mir-592/mir-552-3p
mir-1248;mir-1248/mir-7-5p
mir-760;mir-760/mir-338-5p
mir-760;mir-760/mir-1249-3p
mir-338-3p;mir-338-3p/mir-320c
mir-188-3p;mir-188-3p/mir-30b-3p
mir-320d;mir-320d/mir-320b
mir-362-3p;mir-362-3p/mir-548f-3p
mir-20a-3p;mir-20a-3p/mir-182-5p
mir-769-3p;mir-769-3p/mir-144-3p
mir-1301-3p;mir-1301-3p/mir-188-3p
mir-29c-3p;mir-29c-3p/mir-30b-3p
mir-369-3p;mir-369-3p/mir-29c-3p
mir-301a-3p;mir-301a-3p/mir-362-3p
mir-34a-5p;mir-34a-5p/mir-877-3p
mir-424-5p;mir-424-5p/mir-95-3p
mir-33a-3p;mir-33a-3p/mir-320d
mir-1-3p;mir-1-3p/mir-188-3p
mir-877-3p;mir-877-3p/mir-7-5p
mir-663b;mir-663b/mir-450b-5p
mir-424-5p;mir-424-5p/mir-18a-3p
mir-1307-3p;mir-1307-3p/mir-34a-5p
mir-34a-5p;mir-34a-5p/mir-30b-3p
mir-33b-5p;mir-33b-5p/mir-30b-3p
mir-299-3p;mir-299-3p/mir-23a-5p
mir-424-5p;mir-424-5p/mir-581
mir-499a-5p;mir-499a-5p/mir-581
mir-301b-3p;mir-301b-3p/mir-301a-3p
mir-125a-3p;mir-125a-3p/mir-301a-3p
mir-486-5p;mir-486-5p/mir-224-5p
mir-29b-3p;mir-29b-3p/mir-101-5p
mir-424-5p;mir-424-5p/mir-188-5p
mir-188-5p;mir-188-5p/mir-18a-5p
mir-25-5p;mir-25-5p/mir-940
mir-183-5p;mir-183-5p/mir-105-5p
mir-1228-3p;mir-1228-3p/mir-940
mir-29c-3p;mir-29c-3p/mir-605-5p
mir-101-5p;mir-101-5p/mir-33b-5p
mir-543;mir-543/mir-301b-3p
mir-29c-3p;mir-29c-3p/mir-7-5p
mir-34a-5p;mir-34a-5p/mir-301a-3p
mir-616-3p;mir-616-3p/mir-940
mir-616-3p;mir-616-3p/mir-423-3p
mir-1226-3p;mir-1226-3p/mir-486-3p
mir-454-5p;mir-454-5p/mir-940
mir-18b-5p;mir-18b-5p/mir-552-3p
mir-550a-3p;mir-550a-3p/mir-33a-3p
mir-616-3p;mir-616-3p/mir-196b-5p
mir-425-5p;mir-425-5p/mir-301b-3p
mir-224-5p;mir-224-5p/mir-7-5p
mir-30b-3p;mir-30b-3p/mir-186-3p
mir-556-5p;mir-556-5p/mir-301a-3p
mir-760;mir-760/mir-301b-3p
mir-7-5p;mir-7-5p/mir-323a-3p
