source;target
mir-29b-2-5p;mir-29b-2-5p/mir-139-5p
mir-27b-3p;mir-27b-3p/mir-26a-5p
let-7c-5p;let-7c-5p/mir-27b-3p
mir-195-5p;mir-195-5p/mir-590-3p
mir-185-5p;mir-185-5p/mir-195-5p
mir-497-5p;mir-497-5p/mir-590-3p
mir-19b-1-5p;mir-19b-1-5p/mir-195-5p
mir-942-5p;mir-942-5p/let-7f-1-3p
mir-129-5p;mir-129-5p/mir-625-3p
let-7a-3p;let-7a-3p/mir-625-3p
mir-940;mir-940/mir-185-5p
mir-181d-5p;mir-181d-5p/mir-181c-5p
let-7f-5p;let-7f-5p/let-7e-5p
mir-214-3p;mir-214-3p/mir-3613-3p
mir-30b-3p;mir-30b-3p/mir-196b-5p
let-7f-5p;let-7f-5p/let-7e-5p
mir-19a-3p;mir-19a-3p/mir-19b-3p
mir-542-3p;mir-542-3p/mir-218-5p
mir-576-5p;mir-576-5p/mir-200b-3p
mir-1277-3p;mir-1277-3p/mir-200b-3p
mir-195-5p;mir-195-5p/mir-362-3p
mir-497-5p;mir-497-5p/mir-362-3p
mir-625-5p;mir-625-5p/mir-362-3p
mir-145-5p;mir-145-5p/mir-125b-5p
let-7c-5p;let-7c-5p/mir-342-5p
let-7c-5p;let-7c-5p/mir-223-3p
let-7c-5p;let-7c-5p/mir-3615
mir-342-5p;mir-342-5p/mir-223-3p
let-7c-5p;let-7c-5p/mir-191-3p
let-7c-5p;let-7c-5p/mir-642a-5p
mir-15b-5p;mir-15b-5p/mir-363-3p
mir-200b-3p;mir-200b-3p/mir-200c-3p
mir-106b-5p;mir-106b-5p/mir-130b-3p
mir-106b-5p;mir-106b-5p/mir-940
mir-18a-5p;mir-18a-5p/mir-106b-5p
mir-18a-5p;mir-18a-5p/mir-196b-5p
mir-15b-5p;mir-15b-5p/mir-196b-5p
mir-32-5p;mir-32-5p/mir-34a-5p
mir-532-3p;mir-532-3p/mir-1-3p
mir-186-5p;mir-186-5p/mir-1-3p
mir-188-3p;mir-188-3p/mir-129-5p
mir-29b-2-5p;mir-29b-2-5p/mir-215-5p
mir-181c-5p;mir-181c-5p/mir-335-5p
mir-301b-3p;mir-301b-3p/mir-10a-5p
mir-222-3p;mir-222-3p/mir-335-5p
mir-181a-5p;mir-181a-5p/mir-10b-5p
mir-136-3p;mir-136-3p/mir-141-3p
mir-15b-5p;mir-15b-5p/mir-224-5p
mir-222-3p;mir-222-3p/mir-221-3p
mir-532-3p;mir-532-3p/mir-129-5p
mir-146b-3p;mir-146b-3p/let-7e-5p
mir-301a-3p;mir-301a-3p/mir-204-5p
mir-17-5p;mir-17-5p/let-7e-5p
mir-874-3p;mir-874-3p/mir-29c-3p
mir-106b-5p;mir-106b-5p/mir-27b-3p
mir-181a-5p;mir-181a-5p/mir-410-3p
mir-148a-3p;mir-148a-3p/mir-410-3p
mir-889-3p;mir-889-3p/mir-181a-5p
mir-542-3p;mir-542-3p/mir-889-3p
mir-889-3p;mir-889-3p/mir-410-3p
mir-148a-5p;mir-148a-5p/mir-181a-2-3p
mir-199b-3p;mir-199b-3p/mir-889-3p
mir-199a-3p;mir-199a-3p/mir-889-3p
mir-148a-3p;mir-148a-3p/mir-181a-2-3p
mir-199a-3p;mir-199a-3p/mir-181a-5p
mir-199a-3p;mir-199a-3p/mir-542-3p
mir-148a-3p;mir-148a-3p/mir-889-3p
mir-708-5p;mir-708-5p/mir-181a-5p
mir-889-3p;mir-889-3p/mir-181a-2-3p
mir-148a-5p;mir-148a-5p/mir-410-3p
mir-199a-3p;mir-199a-3p/mir-410-3p
