source;target
mir-149-5p;mir-149-5p/mir-576-5p
mir-652-3p;mir-652-3p/mir-455-3p
mir-342-3p;mir-342-3p/mir-1226-3p
mir-125b-5p;mir-125b-5p/mir-409-3p
mir-324-5p;mir-324-5p/let-7g-3p
mir-507;mir-507/let-7g-3p
mir-34a-5p;mir-34a-5p/let-7g-3p
mir-33a-5p;mir-33a-5p/mir-324-5p
mir-582-5p;mir-582-5p/let-7c-5p
mir-200b-3p;mir-200b-3p/mir-335-5p
mir-181d-5p;mir-181d-5p/let-7a-3p
mir-27b-5p;mir-27b-5p/mir-410-3p
mir-145-5p;mir-145-5p/mir-181c-5p
mir-582-5p;mir-582-5p/mir-590-3p
mir-431-5p;mir-431-5p/mir-582-5p
mir-340-5p;mir-340-5p/mir-30c-2-3p
mir-19a-3p;mir-19a-3p/mir-193b-3p
mir-653-5p;mir-653-5p/mir-497-5p
mir-296-5p;mir-296-5p/mir-940
mir-155-5p;mir-155-5p/mir-143-3p
mir-219a-1-3p;mir-219a-1-3p/mir-7-5p
mir-93-5p;mir-93-5p/mir-193b-3p
mir-3662;mir-3662/mir-20b-5p
mir-664a-5p;mir-664a-5p/mir-17-3p
mir-34a-5p;mir-34a-5p/mir-30c-2-3p
mir-130a-3p;mir-130a-3p/mir-182-5p
mir-30b-3p;mir-30b-3p/mir-93-5p
mir-497-5p;mir-497-5p/mir-324-5p
mir-550a-3p;mir-550a-3p/mir-193b-3p
mir-542-3p;mir-542-3p/mir-10a-3p
mir-196a-5p;mir-196a-5p/mir-92a-1-5p
mir-454-3p;mir-454-3p/mir-363-3p
mir-653-5p;mir-653-5p/mir-363-3p
mir-20a-5p;mir-20a-5p/mir-34b-3p
mir-495-3p;mir-495-3p/mir-34b-3p
mir-138-5p;mir-138-5p/mir-19a-3p
mir-18a-5p;mir-18a-5p/mir-141-5p
mir-365a-3p;mir-365a-3p/mir-34b-3p
mir-1296-5p;mir-1296-5p/mir-330-5p
mir-19a-3p;mir-19a-3p/mir-17-5p
mir-19a-3p;mir-19a-3p/mir-20a-5p
mir-330-5p;mir-330-5p/mir-326
mir-370-3p;mir-370-3p/mir-129-5p
mir-199a-5p;mir-199a-5p/mir-338-5p
mir-582-3p;mir-582-3p/mir-181c-5p
mir-106a-5p;mir-106a-5p/mir-19a-3p
mir-873-5p;mir-873-5p/mir-19b-1-5p
mir-873-5p;mir-873-5p/mir-627-5p
mir-9-5p;mir-9-5p/mir-130a-3p
mir-628-5p;mir-628-5p/mir-145-5p
mir-199a-3p;mir-199a-3p/mir-765
mir-9-3p;mir-9-3p/mir-9-5p
mir-34c-5p;mir-34c-5p/mir-138-5p
mir-584-5p;mir-584-5p/let-7g-3p
mir-142-5p;mir-142-5p/mir-143-3p
mir-320d;mir-320d/mir-744-5p
mir-29b-1-5p;mir-29b-1-5p/mir-378c
mir-29a-3p;mir-29a-3p/mir-193b-3p
mir-1229-3p;mir-1229-3p/mir-2110
mir-589-3p;mir-589-3p/mir-454-3p
mir-497-5p;mir-497-5p/mir-424-5p
mir-17-5p;mir-17-5p/mir-18a-3p
mir-335-3p;mir-335-3p/mir-29a-3p
mir-130a-3p;mir-130a-3p/mir-182-5p
mir-9-5p;mir-9-5p/mir-744-5p
mir-671-5p;mir-671-5p/mir-503-5p
mir-877-5p;mir-877-5p/mir-139-5p
mir-18a-3p;mir-18a-3p/mir-339-5p
mir-424-5p;mir-424-5p/mir-210-3p
mir-210-3p;mir-210-3p/mir-497-5p
mir-513b-5p;mir-513b-5p/mir-889-3p
mir-455-3p;mir-455-3p/mir-20a-3p
mir-224-5p;mir-224-5p/mir-452-5p
mir-101-3p;mir-101-3p/mir-130a-3p
mir-628-5p;mir-628-5p/mir-30a-5p
mir-199a-5p;mir-199a-5p/mir-194-5p
mir-223-5p;mir-223-5p/mir-500b-5p
mir-20b-5p;mir-20b-5p/mir-93-5p
mir-193b-3p;mir-193b-3p/mir-455-3p
mir-193b-3p;mir-193b-3p/mir-628-5p
mir-326;mir-326/mir-455-3p
mir-130b-5p;mir-130b-5p/mir-1976
mir-193b-3p;mir-193b-3p/mir-339-5p
mir-1262;mir-1262/mir-642a-5p
mir-187-3p;mir-187-3p/mir-339-5p
mir-34a-5p;mir-34a-5p/mir-181a-2-3p
mir-506-3p;mir-506-3p/mir-491-5p
mir-200b-3p;mir-200b-3p/mir-221-5p
mir-7-5p;mir-7-5p/mir-30b-3p
mir-9-3p;mir-9-3p/mir-629-3p
mir-30c-2-3p;mir-30c-2-3p/mir-324-3p
mir-27b-5p;mir-27b-5p/mir-1228-3p
mir-27b-5p;mir-27b-5p/mir-214-3p
mir-136-5p;mir-136-5p/mir-27b-5p
mir-30a-3p;mir-30a-3p/mir-17-3p
mir-17-5p;mir-17-5p/mir-18a-5p
mir-20a-5p;mir-20a-5p/mir-18a-5p
mir-330-5p;mir-330-5p/mir-139-3p
mir-1304-5p;mir-1304-5p/mir-550a-5p
mir-1304-5p;mir-1304-5p/mir-330-5p
mir-326;mir-326/mir-342-5p
mir-326;mir-326/mir-1226-3p
mir-15b-3p;mir-15b-3p/mir-338-3p
mir-30c-2-3p;mir-30c-2-3p/mir-1976
mir-194-3p;mir-194-3p/mir-582-3p
mir-409-5p;mir-409-5p/mir-2355-5p
mir-330-5p;mir-330-5p/mir-326
mir-155-5p;mir-155-5p/mir-223-3p
mir-18a-3p;mir-18a-3p/mir-185-3p
mir-224-5p;mir-224-5p/mir-7-5p
mir-301a-3p;mir-301a-3p/mir-454-3p
mir-454-3p;mir-454-3p/mir-17-5p
mir-20a-5p;mir-20a-5p/mir-454-3p
mir-20a-5p;mir-20a-5p/mir-30c-5p
mir-628-3p;mir-628-3p/mir-34a-5p
mir-1288-3p;mir-1288-3p/mir-365a-3p
mir-1-3p;mir-1-3p/mir-1226-3p
mir-654-5p;mir-654-5p/mir-224-5p
mir-627-5p;mir-627-5p/mir-194-3p
mir-205-5p;mir-205-5p/mir-629-3p
mir-195-5p;mir-195-5p/mir-374a-3p
mir-335-5p;mir-335-5p/mir-7-5p
mir-143-5p;mir-143-5p/mir-17-5p
mir-3605-3p;mir-3605-3p/mir-125b-5p
mir-328-3p;mir-328-3p/mir-125b-5p
mir-328-3p;mir-328-3p/mir-214-5p
mir-328-3p;mir-328-3p/mir-3605-3p
mir-328-3p;mir-328-3p/let-7g-3p
mir-3150b-3p;mir-3150b-3p/mir-365a-3p
mir-27a-3p;mir-27a-3p/mir-18a-3p
mir-145-5p;mir-145-5p/mir-29c-3p
mir-3065-5p;mir-3065-5p/mir-424-5p
mir-627-5p;mir-627-5p/mir-328-3p
mir-3200-3p;mir-3200-3p/mir-503-5p
mir-93-3p;mir-93-3p/mir-96-5p
mir-145-5p;mir-145-5p/mir-193b-3p
mir-494-3p;mir-494-3p/mir-93-3p
mir-29b-1-5p;mir-29b-1-5p/mir-193b-3p
mir-1271-5p;mir-1271-5p/mir-125b-1-3p
mir-183-5p;mir-183-5p/mir-29a-5p
mir-33a-3p;mir-33a-3p/mir-15b-3p
mir-26b-3p;mir-26b-3p/mir-629-3p
mir-1271-5p;mir-1271-5p/mir-3200-3p
mir-211-5p;mir-211-5p/mir-378a-3p
mir-223-3p;mir-223-3p/mir-494-3p
mir-335-3p;mir-335-3p/mir-29a-3p
mir-20a-5p;mir-20a-5p/mir-636
mir-636;mir-636/mir-17-5p
mir-658;mir-658/mir-455-3p
mir-542-3p;mir-542-3p/mir-181c-5p
mir-21-3p;mir-21-3p/mir-34a-5p
mir-93-5p;mir-93-5p/mir-17-5p
mir-181c-3p;mir-181c-3p/mir-27a-3p
mir-22-5p;mir-22-5p/mir-615-3p
mir-195-5p;mir-195-5p/let-7c-5p
mir-1-3p;mir-1-3p/mir-143-3p
mir-33a-3p;mir-33a-3p/mir-452-5p
mir-1-3p;mir-1-3p/mir-335-5p
mir-195-5p;mir-195-5p/mir-30a-3p
mir-34a-5p;mir-34a-5p/mir-32-5p
mir-9-3p;mir-9-3p/mir-218-5p
mir-129-5p;mir-129-5p/mir-193a-3p
mir-30a-5p;mir-30a-5p/mir-27a-3p
