"info","is_mrna_tf","name","selected","shared name","updown"
"mirna",,"mir-125b-5p","false","mir-125b-5p","down"
"dummy",,"","false","mir-125b-5p/mir-192-5p","dummy"
"mirna",,"mir-1271-5p","false","mir-1271-5p","down"
"dummy",,"","false","mir-1271-5p/mir-23a-5p","dummy"
"mirna",,"mir-455-5p","false","mir-455-5p","up"
"dummy",,"","false","mir-455-5p/mir-421","dummy"
"mirna",,"mir-1-3p","false","mir-1-3p","down"
"dummy",,"","false","mir-1-3p/mir-323a-3p","dummy"
"mirna",,"mir-145-5p","false","mir-145-5p","down"
"dummy",,"","false","mir-145-5p/mir-148a-3p","dummy"
"mirna",,"mir-338-5p","false","mir-338-5p","down"
"dummy",,"","false","mir-338-5p/mir-145-5p","dummy"
"mirna",,"mir-223-3p","false","mir-223-3p","up"
"dummy",,"","false","mir-223-3p/mir-148a-3p","dummy"
"mirna",,"mir-335-5p","false","mir-335-5p","up"
"dummy",,"","false","mir-335-5p/mir-342-3p","dummy"
"mirna",,"mir-424-5p","false","mir-424-5p","up"
"dummy",,"","false","mir-424-5p/mir-26b-5p","dummy"
"mirna",,"mir-940","false","mir-940","up"
"dummy",,"","false","mir-940/mir-153-3p","dummy"
"mirna",,"mir-505-3p","false","mir-505-3p","down"
"dummy",,"","false","mir-505-3p/mir-26b-5p","dummy"
"dummy",,"","false","mir-335-5p/mir-424-5p","dummy"
"dummy",,"","false","mir-424-5p/mir-1271-5p","dummy"
"dummy",,"","false","mir-335-5p/mir-940","dummy"
"mirna",,"mir-26b-5p","false","mir-26b-5p","down"
"dummy",,"","false","mir-26b-5p/mir-153-3p","dummy"
"mirna",,"mir-376c-3p","false","mir-376c-3p","down"
"dummy",,"","false","mir-376c-3p/mir-1271-5p","dummy"
"mirna",,"mir-1468-5p","false","mir-1468-5p","down"
"dummy",,"","false","mir-1468-5p/mir-940","dummy"
"mirna",,"mir-320c","false","mir-320c","up"
"dummy",,"","false","mir-320c/mir-320d","dummy"
"dummy",,"","false","mir-1271-5p/mir-940","dummy"
"mirna",,"mir-627-5p","false","mir-627-5p","up"
"dummy",,"","false","mir-627-5p/mir-196b-5p","dummy"
"dummy",,"","false","mir-627-5p/mir-335-5p","dummy"
"dummy",,"","false","mir-335-5p/mir-26b-5p","dummy"
"dummy",,"","false","mir-424-5p/mir-505-3p","dummy"
"dummy",,"","false","mir-940/mir-26b-5p","dummy"
"mirna",,"mir-708-5p","false","mir-708-5p","up"
"dummy",,"","false","mir-708-5p/mir-153-3p","dummy"
"mirna",,"mir-503-5p","false","mir-503-5p","up"
"dummy",,"","false","mir-503-5p/mir-424-3p","dummy"
"dummy",,"","false","mir-335-5p/mir-505-3p","dummy"
"dummy",,"","false","mir-424-5p/mir-627-5p","dummy"
"dummy",,"","false","mir-503-5p/mir-342-3p","dummy"
"dummy",,"","false","mir-424-5p/mir-940","dummy"
"dummy",,"","false","mir-503-5p/mir-326","dummy"
"dummy",,"","false","mir-424-5p/mir-196b-5p","dummy"
"mirna",,"mir-194-5p","false","mir-194-5p","up"
"dummy",,"","false","mir-194-5p/mir-125b-5p","dummy"
"mirna",,"mir-342-5p","false","mir-342-5p","up"
"dummy",,"","false","mir-342-5p/mir-1226-3p","dummy"
"mirna",,"mir-27a-5p","false","mir-27a-5p","down"
"dummy",,"","false","mir-27a-5p/mir-326","dummy"
"mirna",,"mir-455-3p","false","mir-455-3p","up"
"dummy",,"","false","mir-455-3p/mir-204-5p","dummy"
"mirna",,"mir-20b-5p","false","mir-20b-5p","down"
"dummy",,"","false","mir-20b-5p/mir-17-5p","dummy"
"mirna",,"mir-20a-5p","false","mir-20a-5p","up"
"dummy",,"","false","mir-20a-5p/mir-20b-5p","dummy"
"mirna",,"mir-454-5p","false","mir-454-5p","up"
"dummy",,"","false","mir-454-5p/mir-362-5p","dummy"
"mirna",,"mir-362-5p","false","mir-362-5p","up"
"dummy",,"","false","mir-362-5p/mir-146b-5p","dummy"
"dummy",,"","false","mir-20a-5p/mir-500a-3p","dummy"
"mirna",,"mir-1292-5p","false","mir-1292-5p","up"
"dummy",,"","false","mir-1292-5p/mir-142-5p","dummy"
"mirna",,"mir-19a-3p","false","mir-19a-3p","up"
"dummy",,"","false","mir-19a-3p/mir-19b-1-5p","dummy"
"mirna",,"mir-942-5p","false","mir-942-5p","up"
"dummy",,"","false","mir-942-5p/mir-19b-1-5p","dummy"
"mirna",,"mir-93-5p","false","mir-93-5p","down"
"dummy",,"","false","mir-93-5p/mir-133a-3p","dummy"
"mirna",,"mir-130a-3p","false","mir-130a-3p","down"
"dummy",,"","false","mir-130a-3p/mir-27a-5p","dummy"
"dummy",,"","false","mir-20a-5p/mir-339-5p","dummy"
"mirna",,"mir-339-5p","false","mir-339-5p","down"
"dummy",,"","false","mir-339-5p/mir-93-5p","dummy"
"dummy",,"","false","mir-503-5p/mir-342-5p","dummy"
"dummy",,"","false","mir-503-5p/mir-424-5p","dummy"
"mirna",,"mir-502-5p","false","mir-502-5p","up"
"dummy",,"","false","mir-502-5p/mir-20b-5p","dummy"
"mirna",,"mir-126-3p","false","mir-126-3p","down"
"dummy",,"","false","mir-126-3p/mir-141-5p","dummy"
"mirna",,"mir-224-5p","false","mir-224-5p","up"
"dummy",,"","false","mir-224-5p/mir-452-3p","dummy"
