source;target
mir-125b-5p;mir-125b-5p/mir-192-5p
mir-1271-5p;mir-1271-5p/mir-23a-5p
mir-455-5p;mir-455-5p/mir-421
mir-1-3p;mir-1-3p/mir-323a-3p
mir-145-5p;mir-145-5p/mir-148a-3p
mir-338-5p;mir-338-5p/mir-145-5p
mir-223-3p;mir-223-3p/mir-148a-3p
mir-335-5p;mir-335-5p/mir-342-3p
mir-424-5p;mir-424-5p/mir-26b-5p
mir-940;mir-940/mir-153-3p
mir-505-3p;mir-505-3p/mir-26b-5p
mir-335-5p;mir-335-5p/mir-424-5p
mir-424-5p;mir-424-5p/mir-1271-5p
mir-335-5p;mir-335-5p/mir-940
mir-26b-5p;mir-26b-5p/mir-153-3p
mir-376c-3p;mir-376c-3p/mir-1271-5p
mir-1468-5p;mir-1468-5p/mir-940
mir-320c;mir-320c/mir-320d
mir-1271-5p;mir-1271-5p/mir-940
mir-627-5p;mir-627-5p/mir-196b-5p
mir-627-5p;mir-627-5p/mir-335-5p
mir-335-5p;mir-335-5p/mir-26b-5p
mir-424-5p;mir-424-5p/mir-505-3p
mir-940;mir-940/mir-26b-5p
mir-708-5p;mir-708-5p/mir-153-3p
mir-503-5p;mir-503-5p/mir-424-3p
mir-335-5p;mir-335-5p/mir-505-3p
mir-424-5p;mir-424-5p/mir-627-5p
mir-503-5p;mir-503-5p/mir-342-3p
mir-424-5p;mir-424-5p/mir-940
mir-503-5p;mir-503-5p/mir-326
mir-424-5p;mir-424-5p/mir-196b-5p
mir-194-5p;mir-194-5p/mir-125b-5p
mir-342-5p;mir-342-5p/mir-1226-3p
mir-27a-5p;mir-27a-5p/mir-326
mir-455-3p;mir-455-3p/mir-204-5p
mir-20b-5p;mir-20b-5p/mir-17-5p
mir-20a-5p;mir-20a-5p/mir-20b-5p
mir-454-5p;mir-454-5p/mir-362-5p
mir-362-5p;mir-362-5p/mir-146b-5p
mir-20a-5p;mir-20a-5p/mir-500a-3p
mir-1292-5p;mir-1292-5p/mir-142-5p
mir-19a-3p;mir-19a-3p/mir-19b-1-5p
mir-942-5p;mir-942-5p/mir-19b-1-5p
mir-93-5p;mir-93-5p/mir-133a-3p
mir-130a-3p;mir-130a-3p/mir-27a-5p
mir-20a-5p;mir-20a-5p/mir-339-5p
mir-339-5p;mir-339-5p/mir-93-5p
mir-503-5p;mir-503-5p/mir-342-5p
mir-503-5p;mir-503-5p/mir-424-5p
mir-502-5p;mir-502-5p/mir-20b-5p
mir-126-3p;mir-126-3p/mir-141-5p
mir-224-5p;mir-224-5p/mir-452-3p
mir-323b-3p;mir-323b-3p/mir-193b-3p
mir-148a-3p;mir-148a-3p/mir-155-5p
mir-338-5p;mir-338-5p/mir-129-5p
mir-195-5p;mir-195-5p/mir-93-5p
mir-20a-5p;mir-20a-5p/mir-20b-5p
mir-345-5p;mir-345-5p/mir-19b-1-5p
mir-1301-3p;mir-1301-3p/mir-19b-1-5p
mir-103a-2-5p;mir-103a-2-5p/mir-19b-1-5p
mir-18a-3p;mir-18a-3p/mir-19b-1-5p
mir-26b-5p;mir-26b-5p/mir-19b-1-5p
mir-19a-3p;mir-19a-3p/mir-19b-1-5p
mir-505-3p;mir-505-3p/mir-19b-1-5p
mir-33a-3p;mir-33a-3p/mir-19b-1-5p
mir-339-5p;mir-339-5p/mir-19b-1-5p
mir-18a-3p;mir-18a-3p/mir-3928-3p
mir-363-3p;mir-363-3p/mir-376b-3p
mir-148a-5p;mir-148a-5p/mir-26b-3p
mir-338-5p;mir-338-5p/mir-125b-5p
mir-103a-2-5p;mir-103a-2-5p/mir-503-5p
mir-503-5p;mir-503-5p/mir-362-3p
mir-486-5p;mir-486-5p/mir-362-3p
mir-4326;mir-4326/mir-940
mir-335-5p;mir-335-5p/mir-26b-3p
mir-339-5p;mir-339-5p/mir-200a-5p
mir-335-5p;mir-335-5p/mir-331-3p
mir-26b-3p;mir-26b-3p/mir-331-3p
mir-331-3p;mir-331-3p/mir-200a-5p
mir-200a-5p;mir-200a-5p/mir-484
mir-26b-3p;mir-26b-3p/mir-484
mir-26b-3p;mir-26b-3p/mir-200a-5p
mir-185-3p;mir-185-3p/mir-494-3p
mir-224-3p;mir-224-3p/mir-224-5p
mir-141-5p;mir-141-5p/mir-490-3p
mir-155-5p;mir-155-5p/mir-7-1-3p
mir-7-5p;mir-7-5p/mir-503-5p
mir-7-5p;mir-7-5p/mir-362-3p
mir-224-3p;mir-224-3p/mir-144-5p
mir-200a-5p;mir-200a-5p/mir-93-3p
mir-20a-5p;mir-20a-5p/mir-505-5p
mir-103a-2-5p;mir-103a-2-5p/mir-146b-5p
mir-20b-5p;mir-20b-5p/mir-708-5p
mir-331-3p;mir-331-3p/mir-424-5p
mir-326;mir-326/mir-320b
mir-145-5p;mir-145-5p/mir-942-5p
mir-500a-5p;mir-500a-5p/mir-200c-3p
mir-455-3p;mir-455-3p/mir-500a-5p
mir-424-5p;mir-424-5p/mir-362-3p
mir-424-5p;mir-424-5p/mir-26b-5p
mir-424-5p;mir-424-5p/mir-452-3p
mir-204-5p;mir-204-5p/mir-942-5p
mir-145-5p;mir-145-5p/mir-192-5p
mir-141-5p;mir-141-5p/mir-942-5p
mir-142-3p;mir-142-3p/mir-3065-5p
mir-193b-3p;mir-193b-3p/mir-193b-5p
mir-26b-5p;mir-26b-5p/mir-320b
mir-320b;mir-320b/mir-204-5p
mir-335-5p;mir-335-5p/mir-155-5p
mir-129-5p;mir-129-5p/mir-629-3p
mir-130b-3p;mir-130b-3p/mir-125b-5p
mir-223-5p;mir-223-5p/mir-3928-3p
mir-143-3p;mir-143-3p/mir-33a-5p
mir-200b-3p;mir-200b-3p/mir-1-3p
mir-33a-5p;mir-33a-5p/mir-30c-2-3p
mir-532-3p;mir-532-3p/mir-30c-2-3p
mir-196b-5p;mir-196b-5p/mir-30c-2-3p
mir-194-5p;mir-194-5p/mir-363-3p
mir-195-5p;mir-195-5p/mir-424-5p
mir-19a-3p;mir-19a-3p/mir-651-5p
mir-126-3p;mir-126-3p/mir-424-5p
mir-424-5p;mir-424-5p/let-7g-3p
mir-126-3p;mir-126-3p/mir-33a-5p
mir-33a-5p;mir-33a-5p/mir-424-5p
mir-141-5p;mir-141-5p/mir-26b-3p
mir-141-5p;mir-141-5p/let-7g-3p
mir-9-5p;mir-9-5p/mir-218-5p
mir-27a-5p;mir-27a-5p/mir-3065-5p
mir-93-3p;mir-93-3p/mir-9-3p
mir-155-5p;mir-155-5p/mir-362-3p
mir-939-5p;mir-939-5p/mir-377-3p
mir-26b-5p;mir-26b-5p/mir-939-5p
mir-92a-1-5p;mir-92a-1-5p/mir-133a-3p
mir-30a-3p;mir-30a-3p/mir-939-5p
mir-577;mir-577/mir-148a-3p
mir-577;mir-577/mir-142-5p
mir-18a-3p;mir-18a-3p/mir-505-5p
mir-3615;mir-3615/mir-93-3p
mir-214-3p;mir-214-3p/mir-93-3p
mir-93-3p;mir-93-3p/mir-31-5p
mir-505-5p;mir-505-5p/mir-93-3p
mir-362-3p;mir-362-3p/mir-1301-3p
mir-7-1-3p;mir-7-1-3p/mir-182-5p
mir-362-3p;mir-362-3p/mir-130b-3p
mir-362-3p;mir-362-3p/mir-421
mir-425-3p;mir-425-3p/mir-130b-3p
mir-145-3p;mir-145-3p/mir-20b-5p
mir-185-3p;mir-185-3p/mir-195-5p
mir-514a-3p;mir-514a-3p/mir-103a-2-5p
mir-326;mir-326/mir-874-3p
mir-671-3p;mir-671-3p/mir-376a-5p
mir-192-5p;mir-192-5p/mir-195-5p
mir-146a-5p;mir-146a-5p/mir-17-5p
mir-431-5p;mir-431-5p/mir-20a-5p
mir-26b-5p;mir-26b-5p/mir-125b-5p
mir-125b-5p;mir-125b-5p/mir-3065-5p
mir-455-5p;mir-455-5p/mir-18a-5p
mir-19a-3p;mir-19a-3p/mir-455-5p
mir-19a-3p;mir-19a-3p/mir-135b-5p
mir-195-5p;mir-195-5p/mir-424-5p
mir-629-3p;mir-629-3p/mir-539-5p
mir-1266-5p;mir-1266-5p/mir-218-5p
mir-215-5p;mir-215-5p/mir-30a-5p
mir-20a-3p;mir-20a-3p/mir-940
mir-450a-5p;mir-450a-5p/mir-424-5p
mir-503-5p;mir-503-5p/mir-424-5p
mir-503-5p;mir-503-5p/mir-20a-5p
mir-503-5p;mir-503-5p/mir-450a-5p
mir-874-3p;mir-874-3p/mir-431-5p
mir-339-5p;mir-339-5p/mir-431-5p
mir-196a-5p;mir-196a-5p/mir-145-3p
mir-769-3p;mir-769-3p/mir-143-5p
mir-146a-5p;mir-146a-5p/mir-146b-5p
mir-145-5p;mir-145-5p/mir-17-5p
mir-505-5p;mir-505-5p/mir-503-5p
mir-33a-5p;mir-33a-5p/mir-424-5p
mir-196a-5p;mir-196a-5p/mir-532-3p
mir-331-3p;mir-331-3p/mir-362-3p
mir-362-5p;mir-362-5p/mir-26b-5p
mir-331-3p;mir-331-3p/mir-26b-5p
mir-362-3p;mir-362-3p/mir-26b-5p
mir-130b-3p;mir-130b-3p/mir-125b-5p
mir-708-5p;mir-708-5p/mir-222-5p
mir-363-3p;mir-363-3p/mir-335-3p
mir-20a-5p;mir-20a-5p/mir-20b-5p
mir-218-5p;mir-218-5p/mir-32-3p
mir-486-5p;mir-486-5p/mir-93-5p
mir-323b-3p;mir-323b-3p/mir-196a-5p
mir-1226-3p;mir-1226-3p/mir-142-5p
mir-940;mir-940/mir-23a-5p
mir-130b-5p;mir-130b-5p/mir-148a-3p
mir-939-5p;mir-939-5p/mir-940
mir-192-3p;mir-192-3p/mir-145-5p
mir-145-5p;mir-145-5p/mir-192-5p
mir-192-3p;mir-192-3p/mir-125b-5p
mir-424-5p;mir-424-5p/mir-148a-5p
mir-200b-5p;mir-200b-5p/mir-155-5p
mir-3065-3p;mir-3065-3p/mir-142-3p
mir-1-3p;mir-1-3p/mir-200a-3p
mir-146b-5p;mir-146b-5p/mir-1292-5p
mir-146b-5p;mir-146b-5p/mir-1226-3p
mir-424-5p;mir-424-5p/mir-708-5p
mir-30a-3p;mir-30a-3p/mir-539-5p
mir-342-3p;mir-342-3p/mir-93-5p
mir-484;mir-484/mir-320b
mir-362-3p;mir-362-3p/mir-484
mir-200b-3p;mir-200b-3p/mir-200c-3p
mir-200a-3p;mir-200a-3p/mir-200b-3p
mir-26b-5p;mir-26b-5p/mir-484
mir-200a-3p;mir-200a-3p/mir-200c-3p
mir-26b-5p;mir-26b-5p/mir-582-5p
mir-136-5p;mir-136-5p/mir-31-3p
mir-320d;mir-320d/mir-125b-5p
mir-192-5p;mir-192-5p/mir-376a-5p
mir-32-3p;mir-32-3p/mir-143-3p
mir-7-5p;mir-7-5p/mir-143-3p
mir-424-3p;mir-424-3p/mir-19b-3p
mir-424-3p;mir-424-3p/mir-19a-3p
mir-642a-5p;mir-642a-5p/mir-429
mir-183-5p;mir-183-5p/mir-511-5p
mir-335-5p;mir-335-5p/mir-424-5p
mir-511-5p;mir-511-5p/mir-431-5p
mir-93-5p;mir-93-5p/mir-20a-5p
mir-7-5p;mir-7-5p/mir-425-5p
mir-7-5p;mir-7-5p/mir-93-5p
mir-133a-3p;mir-133a-3p/mir-20a-5p
mir-3928-3p;mir-3928-3p/mir-133a-3p
mir-7-5p;mir-7-5p/mir-20a-5p
mir-3928-3p;mir-3928-3p/mir-93-5p
mir-331-3p;mir-331-3p/mir-26b-5p
mir-31-5p;mir-31-5p/mir-362-3p
mir-200c-5p;mir-200c-5p/mir-362-3p
mir-671-5p;mir-671-5p/mir-362-3p
mir-200c-5p;mir-200c-5p/mir-33a-3p
mir-33a-3p;mir-33a-3p/mir-671-5p
mir-142-3p;mir-142-3p/mir-362-3p
mir-874-3p;mir-874-3p/mir-431-5p
mir-142-3p;mir-142-3p/mir-27a-5p
mir-23b-5p;mir-23b-5p/mir-142-3p
mir-501-3p;mir-501-3p/mir-19b-3p
mir-93-5p;mir-93-5p/mir-200a-3p
mir-629-3p;mir-629-3p/mir-342-5p
mir-133a-3p;mir-133a-3p/mir-503-5p
mir-195-5p;mir-195-5p/mir-374b-3p
mir-1307-3p;mir-1307-3p/mir-130b-3p
mir-194-5p;mir-194-5p/mir-1307-3p
mir-93-5p;mir-93-5p/mir-20a-5p
mir-93-5p;mir-93-5p/mir-17-5p
mir-130b-3p;mir-130b-3p/mir-17-5p
mir-299-5p;mir-299-5p/mir-23a-5p
mir-616-5p;mir-616-5p/mir-135b-3p
mir-455-3p;mir-455-3p/mir-141-3p
mir-548v;mir-548v/mir-200c-3p
mir-143-3p;mir-143-3p/mir-421
mir-627-5p;mir-627-5p/mir-326
mir-539-5p;mir-539-5p/mir-326
mir-130a-3p;mir-130a-3p/mir-93-5p
mir-33a-3p;mir-33a-3p/mir-125b-5p
mir-490-3p;mir-490-3p/mir-3130-5p
mir-34a-3p;mir-34a-3p/mir-1301-3p
mir-34a-3p;mir-34a-3p/mir-940
mir-494-3p;mir-494-3p/mir-196a-5p
mir-192-5p;mir-125b-5p/mir-192-5p
mir-23a-5p;mir-1271-5p/mir-23a-5p
mir-421;mir-455-5p/mir-421
mir-323a-3p;mir-1-3p/mir-323a-3p
mir-148a-3p;mir-145-5p/mir-148a-3p
mir-145-5p;mir-338-5p/mir-145-5p
mir-148a-3p;mir-223-3p/mir-148a-3p
mir-342-3p;mir-335-5p/mir-342-3p
mir-26b-5p;mir-424-5p/mir-26b-5p
mir-153-3p;mir-940/mir-153-3p
mir-26b-5p;mir-505-3p/mir-26b-5p
mir-424-5p;mir-335-5p/mir-424-5p
mir-1271-5p;mir-424-5p/mir-1271-5p
mir-940;mir-335-5p/mir-940
mir-153-3p;mir-26b-5p/mir-153-3p
mir-1271-5p;mir-376c-3p/mir-1271-5p
mir-940;mir-1468-5p/mir-940
mir-320d;mir-320c/mir-320d
mir-940;mir-1271-5p/mir-940
mir-196b-5p;mir-627-5p/mir-196b-5p
mir-335-5p;mir-627-5p/mir-335-5p
mir-26b-5p;mir-335-5p/mir-26b-5p
mir-505-3p;mir-424-5p/mir-505-3p
mir-26b-5p;mir-940/mir-26b-5p
mir-153-3p;mir-708-5p/mir-153-3p
mir-424-3p;mir-503-5p/mir-424-3p
mir-505-3p;mir-335-5p/mir-505-3p
mir-627-5p;mir-424-5p/mir-627-5p
mir-342-3p;mir-503-5p/mir-342-3p
mir-940;mir-424-5p/mir-940
mir-326;mir-503-5p/mir-326
mir-196b-5p;mir-424-5p/mir-196b-5p
mir-125b-5p;mir-194-5p/mir-125b-5p
mir-1226-3p;mir-342-5p/mir-1226-3p
mir-326;mir-27a-5p/mir-326
mir-204-5p;mir-455-3p/mir-204-5p
mir-17-5p;mir-20b-5p/mir-17-5p
mir-20b-5p;mir-20a-5p/mir-20b-5p
mir-362-5p;mir-454-5p/mir-362-5p
mir-146b-5p;mir-362-5p/mir-146b-5p
mir-500a-3p;mir-20a-5p/mir-500a-3p
mir-142-5p;mir-1292-5p/mir-142-5p
mir-19b-1-5p;mir-19a-3p/mir-19b-1-5p
mir-19b-1-5p;mir-942-5p/mir-19b-1-5p
mir-133a-3p;mir-93-5p/mir-133a-3p
mir-27a-5p;mir-130a-3p/mir-27a-5p
mir-339-5p;mir-20a-5p/mir-339-5p
mir-93-5p;mir-339-5p/mir-93-5p
mir-342-5p;mir-503-5p/mir-342-5p
mir-424-5p;mir-503-5p/mir-424-5p
mir-20b-5p;mir-502-5p/mir-20b-5p
mir-141-5p;mir-126-3p/mir-141-5p
mir-452-3p;mir-224-5p/mir-452-3p
mir-193b-3p;mir-323b-3p/mir-193b-3p
mir-155-5p;mir-148a-3p/mir-155-5p
mir-129-5p;mir-338-5p/mir-129-5p
mir-93-5p;mir-195-5p/mir-93-5p
mir-20b-5p;mir-20a-5p/mir-20b-5p
mir-19b-1-5p;mir-345-5p/mir-19b-1-5p
mir-19b-1-5p;mir-1301-3p/mir-19b-1-5p
mir-19b-1-5p;mir-103a-2-5p/mir-19b-1-5p
mir-19b-1-5p;mir-18a-3p/mir-19b-1-5p
mir-19b-1-5p;mir-26b-5p/mir-19b-1-5p
mir-19b-1-5p;mir-19a-3p/mir-19b-1-5p
