"coloring","info","is_mrna_tf","name","selected","shared name"
"mirna","mirna",,"mir-376c-3p","false","mir-376c-3p"
"dummy","dummy",,"","false","mir-376c-3p/mir-377-3p"
"mirna","mirna",,"mir-582-5p","false","mir-582-5p"
"dummy","dummy",,"","false","mir-582-5p/mir-196b-5p"
"mirna","mirna",,"mir-200b-3p","false","mir-200b-3p"
"dummy","dummy",,"","false","mir-200b-3p/mir-582-5p"
"mirna","mirna",,"mir-335-5p","false","mir-335-5p"
"dummy","dummy",,"","false","mir-335-5p/mir-345-5p"
"mirna","mirna",,"mir-503-5p","false","mir-503-5p"
"dummy","dummy",,"","false","mir-503-5p/mir-345-5p"
"mirna","mirna",,"mir-141-5p","false","mir-141-5p"
"dummy","dummy",,"","false","mir-141-5p/mir-486-3p"
"mirna","mirna",,"mir-181d-5p","false","mir-181d-5p"
"dummy","dummy",,"","false","mir-181d-5p/mir-20b-5p"
"mirna","mirna",,"mir-124-3p","false","mir-124-3p"
"dummy","dummy",,"","false","mir-124-3p/mir-518e-3p"
"mirna","mirna",,"mir-127-5p","false","mir-127-5p"
"dummy","dummy",,"","false","mir-127-5p/mir-485-5p"
"mirna","mirna",,"mir-377-5p","false","mir-377-5p"
"dummy","dummy",,"","false","mir-377-5p/mir-127-5p"
"mirna","mirna",,"mir-642a-5p","false","mir-642a-5p"
"dummy","dummy",,"","false","mir-642a-5p/mir-106a-5p"
"mirna","mirna",,"mir-34b-5p","false","mir-34b-5p"
"dummy","dummy",,"","false","mir-34b-5p/mir-642a-5p"
"mirna","mirna",,"mir-7-5p","false","mir-7-5p"
"dummy","dummy",,"","false","mir-7-5p/mir-224-5p"
"mirna","mirna",,"mir-204-5p","false","mir-204-5p"
"dummy","dummy",,"","false","mir-204-5p/mir-497-5p"
"mirna","mirna",,"mir-183-3p","false","mir-183-3p"
"dummy","dummy",,"","false","mir-183-3p/mir-1305"
"mirna","mirna",,"mir-130b-3p","false","mir-130b-3p"
"dummy","dummy",,"","false","mir-130b-3p/mir-766-3p"
"dummy","dummy",,"","false","mir-204-5p/mir-485-5p"
"mirna","mirna",,"mir-506-3p","false","mir-506-3p"
"dummy","dummy",,"","false","mir-506-3p/mir-211-5p"
"mirna","mirna",,"mir-299-3p","false","mir-299-3p"
"dummy","dummy",,"","false","mir-299-3p/mir-655-3p"
"mirna","mirna",,"mir-495-3p","false","mir-495-3p"
"dummy","dummy",,"","false","mir-495-3p/mir-299-3p"
"mirna","mirna",,"mir-376b-3p","false","mir-376b-3p"
"dummy","dummy",,"","false","mir-376b-3p/mir-299-3p"
"dummy","dummy",,"","false","mir-299-3p/mir-376a-3p"
"mirna","mirna",,"mir-194-3p","false","mir-194-3p"
"dummy","dummy",,"","false","mir-194-3p/mir-302d-3p"
"dummy","dummy",,"","false","mir-194-3p/mir-302c-3p"
"dummy","dummy",,"","false","mir-194-3p/mir-302a-3p"
"mirna","mirna",,"mir-1538","false","mir-1538"
"dummy","dummy",,"","false","mir-1538/mir-663a"
"dummy","dummy",,"","false","mir-124-3p/mir-548d-3p"
"dummy","dummy",,"","false","mir-124-3p/mir-520d-5p"
