source;target
mir-376c-3p;mir-376c-3p/mir-377-3p
mir-582-5p;mir-582-5p/mir-196b-5p
mir-200b-3p;mir-200b-3p/mir-582-5p
mir-335-5p;mir-335-5p/mir-345-5p
mir-503-5p;mir-503-5p/mir-345-5p
mir-141-5p;mir-141-5p/mir-486-3p
mir-181d-5p;mir-181d-5p/mir-20b-5p
mir-124-3p;mir-124-3p/mir-518e-3p
mir-127-5p;mir-127-5p/mir-485-5p
mir-377-5p;mir-377-5p/mir-127-5p
mir-642a-5p;mir-642a-5p/mir-106a-5p
mir-34b-5p;mir-34b-5p/mir-642a-5p
mir-7-5p;mir-7-5p/mir-224-5p
mir-204-5p;mir-204-5p/mir-497-5p
mir-183-3p;mir-183-3p/mir-1305
mir-130b-3p;mir-130b-3p/mir-766-3p
mir-204-5p;mir-204-5p/mir-485-5p
mir-506-3p;mir-506-3p/mir-211-5p
mir-299-3p;mir-299-3p/mir-655-3p
mir-495-3p;mir-495-3p/mir-299-3p
mir-376b-3p;mir-376b-3p/mir-299-3p
mir-299-3p;mir-299-3p/mir-376a-3p
mir-194-3p;mir-194-3p/mir-302d-3p
mir-194-3p;mir-194-3p/mir-302c-3p
mir-194-3p;mir-194-3p/mir-302a-3p
mir-1538;mir-1538/mir-663a
mir-124-3p;mir-124-3p/mir-548d-3p
mir-124-3p;mir-124-3p/mir-520d-5p
mir-518f-3p;mir-518f-3p/mir-520d-5p
mir-518a-3p;mir-518a-3p/mir-520d-5p
mir-518f-3p;mir-518f-3p/mir-518a-3p
mir-518a-3p;mir-518a-3p/mir-192-5p
mir-518b;mir-518b/mir-520d-5p
mir-760;mir-760/mir-766-3p
mir-491-5p;mir-491-5p/mir-182-3p
mir-452-3p;mir-452-3p/mir-96-5p
mir-629-5p;mir-629-5p/mir-124-3p
mir-181a-2-3p;mir-181a-2-3p/mir-651-5p
mir-205-5p;mir-205-5p/mir-335-5p
mir-194-3p;mir-194-3p/mir-7-5p
mir-9-5p;mir-9-5p/mir-7-5p
mir-548o-3p;mir-548o-3p/mir-3065-3p
mir-486-3p;mir-486-3p/mir-3662
mir-539-5p;mir-539-5p/mir-200c-3p
mir-124-3p;mir-124-3p/mir-7-5p
mir-9-3p;mir-9-3p/mir-455-3p
mir-519e-5p;mir-519e-5p/mir-515-5p
mir-486-3p;mir-486-3p/mir-873-5p
mir-3150b-3p;mir-3150b-3p/mir-513c-5p
mir-34b-5p;mir-34b-5p/mir-518c-3p
mir-149-3p;mir-149-3p/mir-518b
mir-518a-3p;mir-518a-3p/mir-34b-5p
mir-518f-3p;mir-518f-3p/mir-34b-5p
mir-518b;mir-518b/mir-34b-5p
mir-18b-5p;mir-18b-5p/mir-7-1-3p
mir-629-5p;mir-629-5p/mir-219a-5p
mir-3065-5p;mir-3065-5p/mir-219a-1-3p
mir-3065-5p;mir-3065-5p/mir-129-5p
mir-494-3p;mir-494-3p/mir-653-5p
mir-338-3p;mir-338-3p/mir-497-5p
mir-214-3p;mir-214-3p/mir-940
mir-130b-5p;mir-130b-5p/mir-940
mir-301b-3p;mir-301b-3p/mir-449a
mir-20b-5p;mir-20b-5p/mir-520c-3p
mir-520c-3p;mir-520c-3p/mir-432-5p
mir-106a-5p;mir-106a-5p/mir-520d-3p
mir-302c-3p;mir-302c-3p/mir-106a-5p
mir-520d-3p;mir-520d-3p/mir-432-5p
mir-512-3p;mir-512-3p/mir-432-5p
mir-106a-5p;mir-106a-5p/mir-520c-3p
mir-526b-3p;mir-526b-3p/mir-512-3p
mir-512-3p;mir-512-3p/mir-106a-5p
mir-519d-3p;mir-519d-3p/mir-432-5p
mir-526b-3p;mir-526b-3p/mir-302d-3p
mir-520a-3p;mir-520a-3p/mir-20b-5p
mir-106a-5p;mir-106a-5p/mir-526b-3p
mir-519d-3p;mir-519d-3p/mir-526b-3p
mir-519d-3p;mir-519d-3p/mir-20b-5p
mir-526b-3p;mir-526b-3p/mir-432-5p
mir-371a-5p;mir-371a-5p/mir-548e-3p
mir-373-5p;mir-373-5p/mir-616-5p
mir-371a-5p;mir-371a-5p/mir-373-5p
mir-20b-5p;mir-20b-5p/mir-301b-3p
mir-106a-5p;mir-106a-5p/mir-301b-3p
mir-124-3p;mir-124-3p/mir-29b-3p
mir-512-5p;mir-512-5p/mir-3922-3p
mir-122-5p;mir-122-5p/mir-18a-3p
mir-548b-3p;mir-548b-3p/mir-7-5p
mir-548e-3p;mir-548e-3p/mir-7-5p
mir-205-5p;mir-205-5p/let-7e-5p
mir-320c;mir-320c/mir-205-5p
mir-122-5p;mir-122-5p/mir-1305
mir-433-3p;mir-433-3p/mir-1305
mir-130b-3p;mir-130b-3p/mir-335-5p
mir-548d-3p;mir-548d-3p/mir-187-3p
mir-7-1-3p;mir-7-1-3p/mir-92b-3p
mir-1305;mir-1305/mir-335-5p
mir-873-5p;mir-873-5p/mir-494-3p
mir-7-5p;mir-7-5p/mir-96-5p
mir-182-5p;mir-182-5p/mir-200c-3p
mir-486-3p;mir-486-3p/mir-219a-5p
mir-942-5p;mir-942-5p/mir-219a-5p
mir-3614-3p;mir-3614-3p/mir-219a-1-3p
mir-1248;mir-1248/mir-29b-3p
mir-1248;mir-1248/mir-29a-3p
mir-873-5p;mir-873-5p/mir-486-5p
mir-452-3p;mir-452-3p/mir-92b-3p
mir-219a-1-3p;mir-219a-1-3p/mir-1224-5p
mir-1224-5p;mir-1224-5p/mir-335-5p
mir-106a-5p;mir-106a-5p/mir-1224-5p
mir-651-5p;mir-651-5p/mir-616-5p
mir-1269a;mir-1269a/mir-92a-1-5p
mir-1269a;mir-1269a/mir-548o-3p
mir-377-3p;mir-377-3p/mir-154-3p
mir-1269a;mir-1269a/mir-29c-3p
mir-497-3p;mir-497-3p/mir-224-5p
mir-133a-3p;mir-133a-3p/mir-367-3p
mir-616-5p;mir-616-5p/mir-188-3p
mir-195-5p;mir-195-5p/mir-424-5p
mir-138-5p;mir-138-5p/mir-3065-3p
mir-1226-3p;mir-1226-3p/mir-125b-2-3p
mir-224-5p;mir-224-5p/mir-196b-5p
mir-1271-5p;mir-1271-5p/mir-149-3p
mir-1538;mir-1538/mir-1291
mir-577;mir-577/mir-204-5p
mir-299-5p;mir-299-5p/mir-204-5p
mir-18b-5p;mir-18b-5p/mir-335-3p
mir-342-5p;mir-342-5p/mir-495-3p
mir-493-3p;mir-493-3p/mir-940
mir-548j-5p;mir-548j-5p/mir-500a-5p
mir-20b-5p;mir-20b-5p/mir-96-5p
mir-615-3p;mir-615-3p/mir-7-5p
mir-124-3p;mir-124-3p/mir-615-3p
mir-33b-3p;mir-33b-3p/mir-139-3p
mir-182-5p;mir-182-5p/mir-432-5p
mir-182-5p;mir-182-5p/mir-370-3p
mir-182-5p;mir-182-5p/mir-1271-5p
mir-940;mir-940/mir-519a-5p
mir-29b-3p;mir-29b-3p/mir-96-5p
mir-96-5p;mir-96-5p/mir-29a-3p
mir-302c-3p;mir-302c-3p/mir-122-5p
mir-1248;mir-1248/mir-767-5p
mir-301b-3p;mir-301b-3p/mir-767-5p
mir-192-3p;mir-192-3p/mir-577
mir-106a-5p;mir-106a-5p/mir-3609
mir-497-5p;mir-497-5p/mir-3609
mir-3609;mir-3609/mir-9-3p
mir-3609;mir-3609/mir-9-5p
mir-18b-5p;mir-18b-5p/mir-3609
mir-3609;mir-3609/mir-195-5p
mir-935;mir-935/mir-497-5p
mir-651-5p;mir-651-5p/mir-7-5p
mir-205-3p;mir-205-3p/mir-651-5p
mir-1243;mir-1243/mir-663a
mir-629-5p;mir-629-5p/mir-767-3p
mir-18b-3p;mir-18b-3p/mir-2113
mir-373-3p;mir-373-3p/mir-323a-5p
mir-373-3p;mir-373-3p/mir-487a-3p
mir-29b-3p;mir-29b-3p/mir-373-3p
mir-3065-5p;mir-3065-5p/mir-34c-5p
mir-500b-5p;mir-500b-5p/mir-582-5p
mir-424-5p;mir-424-5p/mir-500b-5p
let-7e-5p;let-7e-5p/mir-152-3p
mir-500b-5p;mir-500b-5p/mir-301a-3p
mir-34b-3p;mir-34b-3p/mir-455-5p
let-7e-5p;let-7e-5p/mir-582-5p
mir-940;mir-940/mir-500b-5p
let-7c-5p;let-7c-5p/let-7e-5p
mir-211-5p;mir-211-5p/mir-106a-5p
mir-20b-5p;mir-20b-5p/mir-211-5p
mir-302b-3p;mir-302b-3p/mir-211-5p
mir-410-3p;mir-410-3p/mir-122-5p
mir-429;mir-429/mir-9-5p
mir-373-3p;mir-373-3p/mir-106a-5p
mir-20b-5p;mir-20b-5p/mir-373-3p
mir-205-5p;mir-205-5p/mir-122-5p
mir-141-3p;mir-141-3p/mir-92b-3p
mir-29c-3p;mir-29c-3p/mir-29b-3p
mir-29c-3p;mir-29c-3p/mir-29a-3p
mir-29a-3p;mir-29a-3p/mir-29b-3p
mir-124-3p;mir-124-3p/mir-497-5p
mir-124-3p;mir-124-3p/mir-548d-3p
mir-302c-3p;mir-302c-3p/mir-486-3p
mir-138-5p;mir-138-5p/mir-499a-3p
mir-9-5p;mir-9-5p/mir-548f-3p
mir-20b-5p;mir-20b-5p/mir-9-5p
mir-760;mir-760/mir-497-5p
mir-135a-5p;mir-135a-5p/mir-940
mir-676-3p;mir-676-3p/mir-940
mir-760;mir-760/mir-940
mir-429;mir-429/mir-424-5p
mir-429;mir-429/mir-940
mir-424-5p;mir-424-5p/mir-940
mir-193b-5p;mir-193b-5p/mir-301b-3p
mir-345-5p;mir-345-5p/mir-18b-5p
mir-134-5p;mir-134-5p/mir-135b-5p
mir-935;mir-935/mir-18b-5p
mir-1305;mir-1305/mir-935
mir-224-5p;mir-224-5p/mir-615-3p
mir-519c-3p;mir-519c-3p/mir-183-5p
mir-136-5p;mir-136-5p/mir-1224-5p
mir-500b-5p;mir-500b-5p/mir-216a-5p
mir-195-5p;mir-195-5p/mir-629-3p
mir-449a;mir-449a/mir-141-5p
mir-302c-3p;mir-302c-3p/mir-296-3p
mir-296-3p;mir-296-3p/mir-302d-3p
mir-296-3p;mir-296-3p/mir-302b-3p
mir-149-3p;mir-149-3p/mir-665
mir-1185-5p;mir-1185-5p/mir-450b-5p
mir-889-3p;mir-889-3p/mir-302c-3p
mir-31-5p;mir-31-5p/mir-548d-3p
mir-18b-5p;mir-18b-5p/mir-31-5p
mir-548j-5p;mir-548j-5p/mir-130b-3p
mir-548j-5p;mir-548j-5p/mir-744-3p
mir-1271-5p;mir-1271-5p/mir-141-3p
mir-370-3p;mir-370-3p/mir-29a-3p
mir-34c-3p;mir-34c-3p/mir-516b-5p
mir-1323;mir-1323/mir-182-5p
mir-1323;mir-1323/mir-548j-5p
mir-942-5p;mir-942-5p/mir-516b-5p
mir-1323;mir-1323/mir-942-5p
mir-378a-3p;mir-378a-3p/mir-182-5p
mir-378a-3p;mir-378a-3p/mir-548o-3p
mir-378a-3p;mir-378a-3p/mir-1323
mir-182-5p;mir-182-5p/mir-516b-5p
mir-511-5p;mir-511-5p/mir-483-3p
mir-3065-3p;mir-3065-3p/mir-129-5p
mir-31-5p;mir-31-5p/mir-3609
mir-33b-3p;mir-33b-3p/mir-3662
mir-96-5p;mir-96-5p/mir-3662
mir-96-5p;mir-96-5p/mir-33b-3p
mir-33b-3p;mir-33b-3p/mir-34c-3p
mir-224-5p;mir-224-5p/mir-497-5p
mir-29b-3p;mir-29b-3p/mir-215-5p
mir-18b-5p;mir-18b-5p/mir-7-1-3p
mir-548b-3p;mir-548b-3p/mir-18b-3p
mir-301a-3p;mir-301a-3p/mir-92b-3p
mir-92b-3p;mir-92b-3p/mir-301b-3p
mir-150-5p;mir-150-5p/mir-452-3p
mir-3660;mir-3660/mir-130b-3p
mir-410-3p;mir-410-3p/mir-381-3p
mir-376b-3p;mir-376b-3p/mir-376a-3p
mir-122-5p;mir-122-5p/mir-9-5p
mir-29b-3p;mir-29b-3p/mir-548b-3p
mir-33b-3p;mir-33b-3p/mir-7-5p
mir-299-3p;mir-299-3p/mir-7-5p
mir-665;mir-665/mir-299-3p
mir-124-3p;mir-124-3p/mir-7-5p
mir-199b-3p;mir-199b-3p/mir-338-3p
mir-199a-3p;mir-199a-3p/mir-338-3p
mir-129-5p;mir-129-5p/mir-194-5p
mir-99a-5p;mir-99a-5p/mir-192-5p
mir-320d;mir-320d/mir-96-5p
mir-20b-5p;mir-20b-5p/mir-92b-3p
mir-302d-5p;mir-302d-5p/mir-18b-5p
mir-526b-3p;mir-526b-3p/mir-372-3p
mir-20b-5p;mir-20b-5p/mir-106a-5p
mir-372-3p;mir-372-3p/mir-520d-3p
