"info","is_mrna_tf","name","selected","shared name","updown"
"mirna",,"mir-148a-3p","false","mir-148a-3p","Up"
"dummy",,"","false","mir-148a-3p/mir-424-5p","dummy"
"mirna",,"mir-144-3p","false","mir-144-3p","Down"
"dummy",,"","false","mir-144-3p/mir-100-3p","dummy"
"mirna",,"mir-338-5p","false","mir-338-5p","Down"
"dummy",,"","false","mir-338-5p/mir-135a-5p","dummy"
"mirna",,"mir-1229-3p","false","mir-1229-3p","Up"
"dummy",,"","false","mir-1229-3p/mir-326","dummy"
"mirna",,"let-7f-5p","false","let-7f-5p","Up"
"dummy",,"","false","let-7f-5p/mir-143-3p","dummy"
"mirna",,"mir-4326","false","mir-4326","Down"
"dummy",,"","false","mir-4326/mir-153-3p","dummy"
"mirna",,"mir-138-5p","false","mir-138-5p","Down"
"dummy",,"","false","mir-138-5p/mir-581","dummy"
"mirna",,"mir-508-5p","false","mir-508-5p","Up"
"dummy",,"","false","mir-508-5p/mir-19a-3p","dummy"
"mirna",,"mir-424-5p","false","mir-424-5p","Up"
"mirna",,"mir-100-3p","false","mir-100-3p","Down"
"mirna",,"mir-135a-5p","false","mir-135a-5p","Up"
"mirna",,"mir-326","false","mir-326","Down"
"mirna",,"mir-143-3p","false","mir-143-3p","Up"
"mirna",,"mir-153-3p","false","mir-153-3p","Down"
"mirna",,"mir-581","false","mir-581","Up"
"mirna",,"mir-19a-3p","false","mir-19a-3p","Down"
"mrna","false","ADORA2B","false","ADORA2B","Up"
"mrna","false","FGF2","false","FGF2","Up"
"mrna","true","HOXA10","false","HOXA10","Up"
"mrna","false","LTBP3","false","LTBP3","Up"
"mrna","false","PAPPA","false","PAPPA","Up"
"mrna","true","SOX11","false","SOX11","Up"
"mrna","false","ADAMTS1","false","ADAMTS1","Down"
"mrna","false","PALM2AKAP2","false","PALM2AKAP2","Down"
