source;target
mir-148a-3p;mir-148a-3p/mir-424-5p
mir-144-3p;mir-144-3p/mir-100-3p
mir-338-5p;mir-338-5p/mir-135a-5p
mir-1229-3p;mir-1229-3p/mir-326
let-7f-5p;let-7f-5p/mir-143-3p
mir-4326;mir-4326/mir-153-3p
mir-138-5p;mir-138-5p/mir-581
mir-508-5p;mir-508-5p/mir-19a-3p
mir-424-5p;mir-148a-3p/mir-424-5p
mir-100-3p;mir-144-3p/mir-100-3p
mir-135a-5p;mir-338-5p/mir-135a-5p
mir-326;mir-1229-3p/mir-326
mir-143-3p;let-7f-5p/mir-143-3p
mir-153-3p;mir-4326/mir-153-3p
mir-581;mir-138-5p/mir-581
mir-19a-3p;mir-508-5p/mir-19a-3p
mir-148a-3p/mir-424-5p;ADORA2B
mir-144-3p/mir-100-3p;FGF2
mir-338-5p/mir-135a-5p;HOXA10
mir-1229-3p/mir-326;LTBP3
let-7f-5p/mir-143-3p;PAPPA
mir-4326/mir-153-3p;SOX11
mir-138-5p/mir-581;ADAMTS1
mir-508-5p/mir-19a-3p;PALM2AKAP2
