info,is_mrna_tf,name,selected,shared.name,updown,significance
mirna,,mir-195-5p,false,mir-195-5p,Down,0.802263159596797
dummy,,,false,mir-195-5p/mir-1295a,dummy,
mirna,,mir-128-3p,false,mir-128-3p,Down,0.590984413893149
dummy,,,false,mir-128-3p/mir-15a-5p,dummy,
mirna,,mir-215-5p,false,mir-215-5p,Down,0.364975859301288
dummy,,,false,mir-215-5p/mir-483-5p,dummy,
mirna,,mir-2114-5p,false,mir-2114-5p,Up,0.39430172674841
dummy,,,false,mir-2114-5p/mir-548j-5p,dummy,
mirna,,mir-15b-5p,false,mir-15b-5p,Up,0.826141128703994
dummy,,,false,mir-15b-5p/mir-454-5p,dummy,
mirna,,mir-520a-3p,false,mir-520a-3p,Up,0.0883581724058531
dummy,,,false,mir-520a-3p/mir-519d-3p,dummy,
mirna,,mir-92b-3p,false,mir-92b-3p,Up,0.851739641894512
dummy,,,false,mir-92b-3p/mir-653-5p,dummy,
mirna,,mir-200c-3p,false,mir-200c-3p,Up,0.801202141920273
dummy,,,false,mir-200c-3p/mir-508-5p,dummy,
mirna,,mir-429,false,mir-429,Up,0.583066277550532
dummy,,,false,mir-429/mir-508-5p,dummy,
mirna,,mir-125a-5p,false,mir-125a-5p,Down,0.746124833643418
dummy,,,false,mir-125a-5p/mir-34c-3p,dummy,
dummy,,,false,mir-195-5p/mir-138-5p,dummy,
mirna,,mir-224-3p,false,mir-224-3p,Down,0.104634403519726
dummy,,,false,mir-224-3p/mir-195-5p,dummy,
mirna,,mir-200b-3p,false,mir-200b-3p,Up,0.732413312242844
dummy,,,false,mir-200b-3p/mir-200c-3p,dummy,
mirna,,mir-20b-5p,false,mir-20b-5p,Down,0.965618756843915
dummy,,,false,mir-20b-5p/mir-17-5p,dummy,
mirna,,mir-181c-5p,false,mir-181c-5p,Down,0.96557342996809
dummy,,,false,mir-181c-5p/mir-548j-5p,dummy,
mirna,,let-7b-5p,false,let-7b-5p,Down,0.784564546838161
dummy,,,false,let-7b-5p/mir-512-5p,dummy,
mirna,,mir-214-5p,false,mir-214-5p,Down,0.107637180700023
dummy,,,false,mir-214-5p/mir-497-5p,dummy,
dummy,,,false,mir-214-5p/mir-195-3p,dummy,
mirna,,mir-195-3p,false,mir-195-3p,Down,0.557761221280103
dummy,,,false,mir-195-3p/mir-383-5p,dummy,
dummy,,,false,mir-214-5p/mir-383-5p,dummy,
dummy,,,false,mir-195-5p/mir-383-5p,dummy,
dummy,,,false,let-7b-5p/mir-383-5p,dummy,
mirna,,mir-182-5p,false,mir-182-5p,Up,0.69245340215736
dummy,,,false,mir-182-5p/let-7b-5p,dummy,
dummy,,,false,let-7b-5p/mir-125b-5p,dummy,
dummy,,,false,mir-125a-5p/let-7b-5p,dummy,
mirna,,mir-363-5p,false,mir-363-5p,Up,0.852653304225587
dummy,,,false,mir-363-5p/mir-130a-3p,dummy,
dummy,,,false,mir-363-5p/mir-9-5p,dummy,
