"info","is_mrna_tf","name","selected","shared name","updown"
"mrna","false","PPP1R3G","false","PPP1R3G","Down"
"mrna","true","ZNF772","false","ZNF772","Down"
"mrna","false","FAM71F2","false","FAM71F2","Up"
"mrna","false","ZNF850","false","ZNF850","Up"
"mrna","false","HCAR2","false","HCAR2","Up"
"mrna","true","EBF3","false","EBF3","Down"
"mrna","false","SDK1","false","SDK1","Down"
"mrna","false","PARP15","false","PARP15","Down"
"mrna","false","CCDC80","false","CCDC80","Down"
"mrna","false","C2CD4A","false","C2CD4A","Up"
"mrna","false","PRICKLE1","false","PRICKLE1","Down"
"mrna","true","ZBTB46","false","ZBTB46","Down"
"mrna","false","TRIM71","false","TRIM71","Up"
"mrna","false","FRMD6","false","FRMD6","Down"
"mrna","false","RAB3C","false","RAB3C","Down"
"mrna","false","MYLK3","false","MYLK3","Down"
"mrna","false","FAM110B","false","FAM110B","Down"
"mrna","false","TSLP","false","TSLP","Down"
"mrna","false","FAXC","false","FAXC","Down"
"mrna","false","TMEM101","false","TMEM101","Down"
"mrna","false","ZNRF3","false","ZNRF3","Down"
"mrna","false","SLC38A1","false","SLC38A1","Up"
"mrna","false","GPR63","false","GPR63","Down"
"mrna","false","POF1B","false","POF1B","Down"
"mrna","true","ZFHX4","false","ZFHX4","Down"
"mrna","false","CDCP1","false","CDCP1","Up"
"mrna","false","SMOC1","false","SMOC1","Down"
"mrna","true","BACH2","false","BACH2","Down"
"mrna","false","ARFGEF3","false","ARFGEF3","Up"
"mrna","false","RALGPS2","false","RALGPS2","Down"
"mrna","false","SOBP","false","SOBP","Down"
"mrna","true","BNC2","false","BNC2","Down"
"mrna","false","DDIT4","false","DDIT4","Up"
"mrna","false","CTNNA3","false","CTNNA3","Down"
"mrna","true","FOXB1","false","FOXB1","Up"
"mrna","false","CEMIP2","false","CEMIP2","Up"
"mrna","false","CBX6","false","CBX6","Down"
"mrna","false","SLC7A8","false","SLC7A8","Down"
"mrna","false","MAPRE3","false","MAPRE3","Down"
"mrna","false","NLGN1","false","NLGN1","Down"
