source;target
mir-7-5p;mir-7-5p/mir-29b-1-5p
mir-142-5p;mir-142-5p/mir-7-1-3p
mir-212-3p;mir-212-3p/mir-29a-5p
mir-181d-5p;mir-181d-5p/mir-221-5p
mir-22-5p;mir-22-5p/mir-326
mir-22-5p;mir-22-5p/mir-210-3p
mir-7-5p;mir-7-5p/mir-34a-5p
mir-194-5p;mir-194-5p/mir-653-5p
mir-17-3p;mir-17-3p/mir-155-5p
mir-182-5p;mir-182-5p/mir-221-3p
mir-192-5p;mir-192-5p/mir-23b-5p
mir-149-5p;mir-149-5p/mir-491-5p
mir-577;mir-577/mir-149-5p
mir-1226-3p;mir-1226-3p/mir-491-5p
mir-942-5p;mir-942-5p/mir-18a-5p
mir-135b-5p;mir-135b-5p/mir-7-1-3p
mir-940;mir-940/mir-491-5p
mir-34b-5p;mir-34b-5p/mir-192-3p
mir-628-5p;mir-628-5p/mir-624-5p
mir-203a-3p;mir-203a-3p/mir-378c
mir-491-5p;mir-491-5p/mir-320b
mir-20a-5p;mir-20a-5p/mir-17-3p
mir-939-5p;mir-939-5p/mir-192-5p
mir-30a-3p;mir-30a-3p/mir-185-3p
mir-193a-3p;mir-193a-3p/mir-19a-3p
mir-183-3p;mir-183-3p/mir-616-3p
mir-183-3p;mir-183-3p/mir-19a-3p
mir-34a-5p;mir-34a-5p/mir-301b-3p
mir-106a-5p;mir-106a-5p/mir-18a-3p
mir-339-5p;mir-339-5p/mir-19a-3p
mir-33b-5p;mir-33b-5p/mir-26a-1-3p
mir-155-5p;mir-155-5p/mir-203a-3p
mir-203a-3p;mir-203a-3p/let-7a-3p
mir-185-3p;mir-185-3p/mir-639
mir-130b-5p;mir-130b-5p/mir-184
mir-203a-3p;mir-203a-3p/mir-744-3p
mir-885-5p;mir-885-5p/mir-96-5p
mir-3928-3p;mir-3928-3p/mir-192-3p
mir-502-5p;mir-502-5p/mir-23c
let-7c-5p;let-7c-5p/mir-589-3p
mir-10b-5p;mir-10b-5p/mir-301a-3p
mir-20a-5p;mir-20a-5p/mir-34a-3p
mir-1224-5p;mir-1224-5p/mir-18a-3p
mir-616-3p;mir-616-3p/mir-193a-3p
mir-130b-3p;mir-130b-3p/mir-193b-3p
mir-616-3p;mir-616-3p/mir-203a-3p
mir-129-5p;mir-129-5p/mir-378a-3p
mir-103a-2-5p;mir-103a-2-5p/mir-181c-3p
mir-34a-5p;mir-34a-5p/mir-218-5p
mir-130a-3p;mir-130a-3p/mir-651-5p
mir-301b-3p;mir-301b-3p/mir-651-5p
mir-301a-3p;mir-301a-3p/mir-651-5p
mir-301b-3p;mir-301b-3p/mir-301a-3p
mir-301b-3p;mir-301b-3p/mir-501-5p
mir-421;mir-421/mir-629-3p
mir-616-5p;mir-616-5p/mir-497-3p
mir-511-5p;mir-511-5p/mir-146b-5p
mir-27a-5p;mir-27a-5p/mir-19a-3p
mir-17-3p;mir-17-3p/mir-155-5p
mir-34a-3p;mir-34a-3p/mir-148a-3p
mir-3648;mir-3648/mir-625-5p
mir-31-5p;mir-31-5p/mir-3065-5p
mir-10a-5p;mir-10a-5p/let-7g-3p
mir-345-5p;mir-345-5p/mir-192-3p
mir-106a-5p;mir-106a-5p/mir-17-3p
mir-3682-3p;mir-3682-3p/mir-192-3p
mir-326;mir-326/mir-19b-1-5p
mir-424-5p;mir-424-5p/mir-106a-5p
mir-130b-3p;mir-130b-3p/mir-301a-3p
mir-33a-5p;mir-33a-5p/mir-155-5p
mir-21-3p;mir-21-3p/mir-155-5p
mir-511-5p;mir-511-5p/mir-195-5p
mir-511-5p;mir-511-5p/mir-497-5p
mir-497-5p;mir-497-5p/mir-19a-3p
mir-7-1-3p;mir-7-1-3p/mir-495-3p
mir-483-3p;mir-483-3p/mir-7-5p
mir-642a-5p;mir-642a-5p/mir-432-5p
mir-129-5p;mir-129-5p/mir-1226-3p
mir-296-5p;mir-296-5p/mir-146a-5p
mir-320c;mir-320c/mir-548e-3p
mir-135b-3p;mir-135b-3p/mir-1226-3p
let-7c-5p;let-7c-5p/mir-96-5p
mir-182-5p;mir-182-5p/mir-301b-3p
mir-142-5p;mir-142-5p/mir-103a-2-5p
mir-20b-5p;mir-20b-5p/mir-30c-2-3p
mir-511-5p;mir-511-5p/let-7c-5p
mir-194-5p;mir-194-5p/mir-33b-5p
mir-130a-5p;mir-130a-5p/mir-760
mir-18a-5p;mir-18a-5p/mir-130b-5p
mir-135a-5p;mir-135a-5p/let-7g-3p
mir-130b-3p;mir-130b-3p/mir-92a-1-5p
mir-130b-3p;mir-130b-3p/mir-301a-3p
mir-301b-3p;mir-301b-3p/mir-130b-3p
mir-18a-5p;mir-18a-5p/mir-23b-5p
mir-504-5p;mir-504-5p/mir-548s
mir-548s;mir-548s/mir-192-3p
mir-192-5p;mir-192-5p/mir-592
mir-338-5p;mir-338-5p/mir-34a-5p
mir-20a-5p;mir-20a-5p/mir-149-5p
mir-130a-5p;mir-130a-5p/mir-1226-3p
mir-130a-5p;mir-130a-5p/mir-149-5p
mir-125b-5p;mir-125b-5p/mir-106a-5p
mir-125b-5p;mir-125b-5p/mir-20b-5p
mir-135b-5p;mir-135b-5p/mir-935
mir-188-3p;mir-188-3p/mir-577
mir-136-5p;mir-136-5p/mir-582-3p
mir-136-5p;mir-136-5p/mir-627-5p
mir-133a-3p;mir-133a-3p/mir-221-5p
mir-548e-3p;mir-548e-3p/mir-183-3p
mir-210-3p;mir-210-3p/mir-7-1-3p
mir-210-3p;mir-210-3p/mir-130b-5p
mir-182-5p;mir-182-5p/mir-142-3p
mir-18a-3p;mir-18a-3p/mir-628-5p
mir-183-5p;mir-183-5p/mir-182-5p
mir-146a-5p;mir-146a-5p/mir-301b-3p
mir-34a-5p;mir-34a-5p/mir-185-3p
mir-301a-3p;mir-301a-3p/mir-96-5p
mir-125b-5p;mir-125b-5p/mir-556-5p
