source;target
let-7c-5p;let-7c-5p/mir-96-5p
mir-320c;mir-320c/mir-1-3p
mir-335-5p;mir-335-5p/mir-3150b-3p
mir-2116-3p;mir-2116-3p/mir-629-3p
mir-30a-3p;mir-30a-3p/mir-129-5p
mir-106a-5p;mir-106a-5p/mir-495-3p
mir-424-5p;mir-424-5p/mir-32-5p
let-7b-5p;let-7b-5p/mir-145-5p
mir-582-5p;mir-582-5p/mir-143-3p
mir-129-2-3p;mir-129-2-3p/let-7b-5p
mir-582-3p;mir-582-3p/mir-143-3p
mir-145-5p;mir-145-5p/mir-582-5p
mir-424-5p;mir-424-5p/mir-106a-5p
mir-101-3p;mir-101-3p/mir-424-5p
mir-548e-3p;mir-548e-3p/mir-1304-5p
mir-101-3p;mir-101-3p/mir-106a-5p
mir-194-5p;mir-194-5p/mir-125b-5p
mir-424-5p;mir-424-5p/mir-20a-5p
mir-10b-3p;mir-10b-3p/mir-511-5p
mir-142-3p;mir-142-3p/mir-21-5p
mir-20a-5p;mir-20a-5p/mir-10a-5p
let-7b-5p;let-7b-5p/mir-10b-5p
mir-10a-5p;mir-10a-5p/mir-190a-5p
let-7b-5p;let-7b-5p/let-7c-5p
mir-30e-5p;mir-30e-5p/mir-21-5p
mir-335-3p;mir-335-3p/mir-129-5p
mir-10a-5p;mir-10a-5p/mir-497-5p
mir-155-5p;mir-155-5p/mir-642a-5p
mir-424-5p;mir-424-5p/mir-32-5p
mir-30a-3p;mir-30a-3p/mir-328-3p
mir-221-5p;mir-221-5p/mir-140-5p
mir-221-5p;mir-221-5p/mir-1270
mir-20b-5p;mir-20b-5p/mir-1304-5p
mir-149-5p;mir-149-5p/mir-2355-5p
mir-10a-5p;mir-10a-5p/mir-188-3p
mir-636;mir-636/mir-9-3p
mir-192-5p;mir-192-5p/mir-19b-3p
mir-34b-3p;mir-34b-3p/mir-508-5p
mir-320c;mir-320c/mir-194-5p
mir-20a-5p;mir-20a-5p/mir-106a-5p
mir-181c-5p;mir-181c-5p/mir-106a-5p
mir-33a-5p;mir-33a-5p/mir-19a-3p
mir-20b-5p;mir-20b-5p/mir-1304-5p
mir-34b-3p;mir-34b-3p/mir-222-5p
mir-221-3p;mir-221-3p/mir-636
mir-30a-3p;mir-30a-3p/mir-328-3p
mir-20b-5p;mir-20b-5p/mir-590-3p
mir-15a-5p;mir-15a-5p/mir-424-5p
mir-301a-3p;mir-301a-3p/mir-20a-5p
mir-15a-5p;mir-15a-5p/mir-301a-3p
mir-145-5p;mir-145-5p/mir-196b-5p
mir-939-5p;mir-939-5p/mir-497-5p
mir-421;mir-421/mir-129-5p
mir-1270;mir-1270/mir-219a-1-3p
mir-142-3p;mir-142-3p/mir-21-5p
mir-19a-3p;mir-19a-3p/mir-15a-5p
mir-421;mir-421/mir-3680-3p
mir-19b-3p;mir-19b-3p/mir-181b-5p
mir-497-5p;mir-497-5p/mir-195-5p
mir-486-5p;mir-486-5p/mir-195-5p
mir-106a-5p;mir-106a-5p/mir-142-3p
mir-30a-3p;mir-30a-3p/mir-30a-5p
mir-133a-3p;mir-133a-3p/mir-20a-3p
mir-142-5p;mir-142-5p/mir-188-3p
mir-30a-3p;mir-30a-3p/mir-328-3p
mir-590-3p;mir-590-3p/mir-21-5p
mir-20b-5p;mir-20b-5p/mir-30e-5p
mir-939-5p;mir-939-5p/mir-143-3p
let-7b-5p;let-7b-5p/mir-203a-3p
mir-19b-3p;mir-19b-3p/mir-590-3p
mir-22-5p;mir-22-5p/mir-10b-3p
mir-424-5p;mir-424-5p/mir-140-5p
mir-19b-3p;mir-19b-3p/mir-30a-3p
mir-20b-5p;mir-20b-5p/mir-590-3p
mir-19b-3p;mir-19b-3p/mir-222-5p
mir-30a-3p;mir-30a-3p/mir-29c-3p
mir-424-5p;mir-424-5p/mir-106a-5p
mir-145-3p;mir-145-3p/mir-424-5p
mir-30a-3p;mir-30a-3p/mir-548e-3p
mir-197-3p;mir-197-3p/mir-506-3p
mir-22-5p;mir-22-5p/mir-34a-3p
mir-21-5p;mir-21-5p/mir-34a-3p
