clusterString;name;selected;shared_name;miRNAFamily
miR-200c,miR-141;miR-200c-3p;false;miR-200c-3p;miR-200bc-3p/429
miR-330;miR-330-3p;false;miR-330-3p;miR-330-3p
miR-200b,miR-200a,miR-429;miR-200b-3p;false;miR-200b-3p;miR-200bc-3p/429
miR-582;miR-582-5p;false;miR-582-5p;miR-582-5p
miR-17,miR-18a,miR-19a,miR-20a,miR-19b-1,miR-92a-1;miR-20a-5p;false;miR-20a-5p;miR-17-5p/20-5p/93-5p/106-5p/519-3p
miR-30a;miR-30a-5p;false;miR-30a-5p;miR-30-5p
miR-17,miR-18a,miR-19a,miR-20a,miR-19b-1,miR-92a-1;miR-17-5p;false;miR-17-5p;miR-17-5p/20-5p/93-5p/106-5p/519-3p
miR-29c,miR-29b-2;miR-29c-3p;false;miR-29c-3p;miR-29-3p
miR-17,miR-18a,miR-19a,miR-20a,miR-19b-1,miR-92a-1;miR-19a-3p;false;miR-19a-3p;miR-19-3p
miR-24-2,miR-27a,miR-23a;miR-27a-5p;false;miR-27a-5p;miR-27a-5p
miR-224,miR-452;miR-452-3p;false;miR-452-3p;miR-452-3p
miR-103a-2,miR-103b-2;miR-103a-2-5p;false;miR-103a-2-5p;miR-103a-2-5p
miR-363,miR-92a-2,miR-19b-2,miR-20b,miR-18b,miR-106a;miR-106a-5p;false;miR-106a-5p;miR-17-5p/20-5p/93-5p/106-5p/519-3p
miR-224,miR-452;miR-224-5p;false;miR-224-5p;miR-224-5p
miR-363,miR-92a-2,miR-19b-2,miR-20b,miR-18b,miR-106a;miR-20b-5p;false;miR-20b-5p;miR-17-5p/20-5p/93-5p/106-5p/519-3p
miR-7-1;miR-7-5p;false;miR-7-5p;miR-7-5p
miR-221,miR-222;miR-222-5p;false;miR-222-5p;miR-222-5p
miR-132,miR-212;miR-212-3p;false;miR-212-3p;miR-132-3p/212-3p
miR-150;miR-150-5p;false;miR-150-5p;miR-150-5p
miR-625;miR-625-5p;false;miR-625-5p;miR-625-5p
miR-204;miR-204-5p;false;miR-204-5p;miR-204-5p/211-5p
miR-218-1;miR-218-5p;false;miR-218-5p;miR-218-5p
miR-203a,miR-203b;miR-203a-3p;false;miR-203a-3p;
miR-200b,miR-200a,miR-429;miR-429;false;miR-429;miR-200bc-3p/429
miR-17,miR-18a,miR-19a,miR-20a,miR-19b-1,miR-92a-1;miR-19b-1-5p;false;miR-19b-1-5p;miR-19-5p
miR-142,miR-4736;miR-142-3p;false;miR-142-3p;
miR-195,miR-497;miR-195-5p;false;miR-195-5p;miR-15-5p/16-5p/195-5p/424-5p/497-5p
miR-199b,miR-3154;miR-199b-3p;false;miR-199b-3p;miR-199-3p
miR-195,miR-497;miR-195-3p;false;miR-195-3p;miR-16-2-3p/195-3p
miR-214,miR-3120,miR-199a-2;miR-214-3p;false;miR-214-3p;miR-214-3p/3619-5p
miR-455;miR-455-5p;false;miR-455-5p;miR-455-5p
miR-196b;miR-196b-5p;false;miR-196b-5p;miR-196-5p
