"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mrna","false","ZC3H12B","false","ZC3H12B","Down",NA,NA,NA
"mrna","false","PPP1R37","false","PPP1R37","Up",NA,NA,NA
"mrna","false","TMPRSS12","false","TMPRSS12","Up",NA,NA,NA
"mrna","false","ASPM","false","ASPM","Up",NA,NA,NA
"mrna","false","WDR72","false","WDR72","Up",NA,NA,NA
"mrna","false","NPNT","false","NPNT","Down",NA,NA,NA
"mrna","true","FOXK1","false","FOXK1","Down",NA,NA,NA
"mrna","false","UNC5B","false","UNC5B","Up",NA,NA,NA
"mrna","false","ANO5","false","ANO5","Down",NA,NA,NA
"mrna","false","ADAMTS17","false","ADAMTS17","Down",NA,NA,NA
"mrna","false","AMOT","false","AMOT","Down",NA,NA,NA
"mrna","false","CNKSR3","false","CNKSR3","Down",NA,NA,NA
"mrna","false","BTLA","false","BTLA","Down",NA,NA,NA
"mrna","false","SLC2A14","false","SLC2A14","Down",NA,NA,NA
"mrna","false","SESN3","false","SESN3","Down",NA,NA,NA
"mrna","false","PTCHD1","false","PTCHD1","Down",NA,NA,NA
"mrna","false","DIPK1B","false","DIPK1B","Down",NA,NA,NA
"mrna","false","CPEB2","false","CPEB2","Down",NA,NA,NA
"mrna","false","FAM241A","false","FAM241A","Down",NA,NA,NA
"mrna","false","ANKRD13B","false","ANKRD13B","Up",NA,NA,NA
"mrna","false","FRMD6","false","FRMD6","Down",NA,NA,NA
"mrna","false","FAT3","false","FAT3","Down",NA,NA,NA
"mrna","false","CPXM2","false","CPXM2","Down",NA,NA,NA
"mrna","false","LENG8","false","LENG8","Up",NA,NA,NA
"mrna","false","MEX3A","false","MEX3A","Up",NA,NA,NA
"mrna","false","DSEL","false","DSEL","Down",NA,NA,NA
"mrna","false","MYADM","false","MYADM","Down",NA,NA,NA
"mrna","false","SLFN11","false","SLFN11","Down",NA,NA,NA
"mrna","false","PHLDB2","false","PHLDB2","Down",NA,NA,NA
"mrna","true","LCOR","false","LCOR","Up",NA,NA,NA
"mrna","false","B3GNT5","false","B3GNT5","Down",NA,NA,NA
"mrna","false","RAB34","false","RAB34","Down",NA,NA,NA
"mrna","false","CRISPLD1","false","CRISPLD1","Down",NA,NA,NA
"mrna","false","NETO2","false","NETO2","Up",NA,NA,NA
"mrna","false","SLCO5A1","false","SLCO5A1","Down",NA,NA,NA
"mrna","false","GPR157","false","GPR157","Up",NA,NA,NA
"mrna","true","CSRNP3","false","CSRNP3","Down",NA,NA,NA
"mrna","false","SCD5","false","SCD5","Down",NA,NA,NA
"mrna","false","STEAP4","false","STEAP4","Down",NA,NA,NA
"mrna","false","PANK3","false","PANK3","Down",NA,NA,NA
"mrna","false","PRRG4","false","PRRG4","Up",NA,NA,NA
"mrna","false","AHNAK","false","AHNAK","Down",NA,NA,NA
"mrna","false","RRAGD","false","RRAGD","Down",NA,NA,NA
"mrna","false","PCDH10","false","PCDH10","Down",NA,NA,NA
"mrna","false","ARRDC3","false","ARRDC3","Down",NA,NA,NA
"mrna","false","PLEKHH1","false","PLEKHH1","Up",NA,NA,NA
"mrna","false","CCDC88A","false","CCDC88A","Down",NA,NA,NA
"mrna","false","SYBU","false","SYBU","Down",NA,NA,NA
"mrna","false","TENT5C","false","TENT5C","Down",NA,NA,NA
"mrna","false","ANLN","false","ANLN","Up",NA,NA,NA
"mrna","false","SCARA3","false","SCARA3","Down",NA,NA,NA
"mrna","false","C1RL","false","C1RL","Up",NA,NA,NA
"mrna","false","MRNIP","false","MRNIP","Down",NA,NA,NA
"mrna","false","ASAP1","false","ASAP1","Up",NA,NA,NA
"mrna","true","PURG","false","PURG","Down",NA,NA,NA
"mrna","false","NBEA","false","NBEA","Down",NA,NA,NA
"mrna","false","SACS","false","SACS","Down",NA,NA,NA
"mrna","false","PHF19","false","PHF19","Down",NA,NA,NA
"mrna","false","PPP1R16B","false","PPP1R16B","Down",NA,NA,NA
"mrna","false","DDAH1","false","DDAH1","Down",NA,NA,NA
"mrna","false","NPTXR","false","NPTXR","Down",NA,NA,NA
"mrna","false","CBX6","false","CBX6","Down",NA,NA,NA
"mrna","false","OBSL1","false","OBSL1","Down",NA,NA,NA
"mrna","false","ADGRL2","false","ADGRL2","Down",NA,NA,NA
"mrna","false","INMT","false","INMT","Down",NA,NA,NA
"mrna","false","WASF3","false","WASF3","Down",NA,NA,NA
"mrna","false","CHL1","false","CHL1","Down",NA,NA,NA
"mrna","true","NFAT5","false","NFAT5","Down",NA,NA,NA
"mrna","false","TXNIP","false","TXNIP","Down",NA,NA,NA
"mrna","false","SEMA4B","false","SEMA4B","Up",NA,NA,NA
"mrna","false","NDRG1","false","NDRG1","Up",NA,NA,NA
"mrna","false","DLC1","false","DLC1","Down",NA,NA,NA
"mrna","false","CORO2B","false","CORO2B","Down",NA,NA,NA
"mrna","false","TOB1","false","TOB1","Down",NA,NA,NA
"mrna","false","ARPC2","false","ARPC2","Down",NA,NA,NA
"mrna","false","ADAMTS1","false","ADAMTS1","Down",NA,NA,NA
"mrna","false","ITM2A","false","ITM2A","Down",NA,NA,NA
"mrna","false","GLP2R","false","GLP2R","Down",NA,NA,NA
"mrna","false","CCNE2","false","CCNE2","Up",NA,NA,NA
