"info","is_mrna_tf","name","selected","shared.name","significance","updown","miRfamily","mirnaCluster"
"mirna","","mir-221-5p","false","mir-221-5p",0.047880913,"up","miR-221-5p/8073","hsa-mir-221,hsa-mir-222"
"dummy","","","false","mir-221-5p/mir-144-3p",NA,"",NA,NA
"mirna","","let-7c-5p","false","let-7c-5p",-0.221934711,"down","let-7-5p/98-5p","hsa-mir-99a,hsa-let-7c"
"dummy","","","false","let-7c-5p/mir-483-3p",NA,"",NA,NA
"mirna","","mir-326","false","mir-326",-0.489198408,"down","miR-326","hsa-mir-326"
"dummy","","","false","mir-326/mir-193b-5p",NA,"",NA,NA
"mirna","","mir-939-5p","false","mir-939-5p",0.648082424,"up","miR-939-5p/1343-5p","hsa-mir-939,hsa-mir-1234"
"dummy","","","false","mir-939-5p/mir-106a-5p",NA,"",NA,NA
"mirna","","mir-20b-5p","false","mir-20b-5p",0.265811877,"up","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"dummy","","","false","mir-20b-5p/mir-20a-5p",NA,"",NA,NA
"mirna","","mir-30c-2-3p","false","mir-30c-2-3p",-0.166517982,"down","miR-30c-3p/6788-5p","hsa-mir-30c-2"
"dummy","","","false","mir-30c-2-3p/mir-7-5p",NA,"",NA,NA
"mirna","","mir-136-5p","false","mir-136-5p",0.0322236,"up","miR-136-5p","hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136"
"dummy","","","false","mir-136-5p/mir-127-5p",NA,"",NA,NA
"mirna","","mir-130a-5p","false","mir-130a-5p",-0.320621493,"down","miR-23-3p","hsa-mir-130a"
"dummy","","","false","mir-130a-5p/mir-148a-5p",NA,"",NA,NA
"mirna","","mir-19b-3p","false","mir-19b-3p",0.039510882,"up","miR-19-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"dummy","","","false","mir-19b-3p/mir-223-5p",NA,"",NA,NA
"mirna","","mir-320b","false","mir-320b",0.182790589,"up","miR-320","hsa-mir-320b-1"
"dummy","","","false","mir-320b/mir-144-3p",NA,"",NA,NA
"mirna","","mir-3615","false","mir-3615",0.630877461,"up","miR-3615","hsa-mir-3615"
"dummy","","","false","mir-3615/mir-335-5p",NA,"",NA,NA
"mirna","","mir-940","false","mir-940",0.961148546,"up","miR-940/6808-5p/6893-5p","hsa-mir-3677,hsa-mir-940,hsa-mir-4717"
"dummy","","","false","mir-940/mir-19b-3p",NA,"",NA,NA
"mirna","","mir-9-3p","false","mir-9-3p",0.508330244,"up","miR-9-3p","hsa-mir-9-1"
"dummy","","","false","mir-9-3p/mir-130a-3p",NA,"",NA,NA
"mirna","","mir-642a-5p","false","mir-642a-5p",-0.047784491,"down","miR-642a-5p","hsa-mir-642a,hsa-mir-642b"
"dummy","","","false","mir-642a-5p/mir-7-1-3p",NA,"",NA,NA
"mirna","","mir-651-5p","false","mir-651-5p",0.648492479,"up","miR-651-5p","hsa-mir-651"
"dummy","","","false","mir-651-5p/mir-215-5p",NA,"",NA,NA
"mirna","","mir-129-5p","false","mir-129-5p",-0.739161321,"down","miR-129-5p","hsa-mir-129-1"
"dummy","","","false","mir-129-5p/mir-188-5p",NA,"",NA,NA
"mirna","","mir-296-5p","false","mir-296-5p",-0.696211206,"down","miR-296-5p","hsa-mir-296,hsa-mir-298"
"dummy","","","false","mir-296-5p/mir-126-5p",NA,"",NA,NA
"mirna","","mir-130b-5p","false","mir-130b-5p",0.444745768,"up","miR-130b-5p","hsa-mir-301b,hsa-mir-130b"
"dummy","","","false","mir-130b-5p/mir-505-3p",NA,"",NA,NA
"mirna","","mir-3065-3p","false","mir-3065-3p",0.527139926,"up","miR-3065-3p","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250"
"dummy","","","false","mir-3065-3p/mir-30a-5p",NA,"",NA,NA
"mirna","","mir-144-3p","false","mir-144-3p",-0.776641738,"down","miR-144-3p","hsa-mir-451a,hsa-mir-451b,hsa-mir-144,hsa-mir-4732"
"mirna","","mir-483-3p","false","mir-483-3p",-0.906238662,"down",NA,"hsa-mir-483"
