"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mirna","","mir-2355-5p","false","mir-2355-5p","down",0.594480511032847,"miR-2355-5p","hsa-mir-2355"
"dummy","","","false","mir-2355-5p/mir-889-3p","dummy",NA,NA,NA
"mirna","","mir-20a-3p","false","mir-20a-3p","up",0.318511566981444,"miR-20a-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"dummy","","","false","mir-20a-3p/mir-889-3p","dummy",NA,NA,NA
"dummy","","","false","mir-20a-3p/mir-196a-5p","dummy",NA,NA,NA
"mirna","","mir-188-3p","false","mir-188-3p","up",0.658511882263961,"miR-188-3p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660"
"dummy","","","false","mir-188-3p/mir-497-5p","dummy",NA,NA,NA
"mirna","","mir-218-5p","false","mir-218-5p","down",0.0432832878979492,"miR-218-5p","hsa-mir-218-1"
"dummy","","","false","mir-218-5p/mir-18a-3p","dummy",NA,NA,NA
"mirna","","mir-195-5p","false","mir-195-5p","down",0.0465178735354217,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-195,hsa-mir-497"
"dummy","","","false","mir-195-5p/mir-338-3p","dummy",NA,NA,NA
"mirna","","mir-3170","false","mir-3170","up",0.399123516677717,"miR-3170/6855-5p","hsa-mir-3170"
"dummy","","","false","mir-3170/mir-625-5p","dummy",NA,NA,NA
"mirna","","mir-625-5p","false","mir-625-5p","up",0.268788802374947,"miR-625-5p","hsa-mir-625"
"dummy","","","false","mir-625-5p/mir-296-5p","dummy",NA,NA,NA
"mirna","","mir-20b-5p","false","mir-20b-5p","up",0.00898396660926057,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"dummy","","","false","mir-20b-5p/mir-222-3p","dummy",NA,NA,NA
"mirna","","mir-129-5p","false","mir-129-5p","down",0.00299042749917434,"miR-129-5p","hsa-mir-129-1"
"dummy","","","false","mir-129-5p/mir-196a-5p","dummy",NA,NA,NA
"mirna","","mir-29c-3p","false","mir-29c-3p","down",0.162525651892987,"miR-29-3p","hsa-mir-29c,hsa-mir-29b-2"
"dummy","","","false","mir-29c-3p/mir-195-5p","dummy",NA,NA,NA
"mirna","","mir-30a-3p","false","mir-30a-3p","down",0.0658248713872749,"miR-30-3p","hsa-mir-30a"
"dummy","","","false","mir-30a-3p/mir-92b-3p","dummy",NA,NA,NA
"mirna","","mir-616-5p","false","mir-616-5p","up",0.134192760279509,"miR-371b-5p/373-5p/616-5p","hsa-mir-616"
"dummy","","","false","mir-616-5p/mir-589-3p","dummy",NA,NA,NA
"mirna","","mir-146b-5p","false","mir-146b-5p","down",0.998941828541524,"miR-146-5p","hsa-mir-146b"
"dummy","","","false","mir-146b-5p/mir-185-3p","dummy",NA,NA,NA
"mirna","","mir-9-5p","false","mir-9-5p","down",0.762788688713729,"miR-9-5p","hsa-mir-9-1"
"dummy","","","false","mir-9-5p/mir-10a-5p","dummy",NA,NA,NA
"mirna","","mir-203a-3p","false","mir-203a-3p","up",0.0689503172074437,NA,"hsa-mir-203a,hsa-mir-203b"
"dummy","","","false","mir-203a-3p/mir-18a-5p","dummy",NA,NA,NA
"mirna","","mir-497-5p","false","mir-497-5p","down",0.0602786263793021,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-195,hsa-mir-497"
"dummy","","","false","mir-497-5p/mir-149-5p","dummy",NA,NA,NA
