"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mrna","false","ZYG11A","false","ZYG11A","down",NA,NA,NA
"mrna","false","SFT2D2","false","SFT2D2","up",NA,NA,NA
"mrna","false","REEP3","false","REEP3","down",NA,NA,NA
"mrna","false","SPTY2D1","false","SPTY2D1","down",NA,NA,NA
"mrna","false","MSI2","false","MSI2","up",NA,NA,NA
"mrna","true","ZNF561","false","ZNF561","up",NA,NA,NA
"mrna","false","FAM126A","false","FAM126A","down",NA,NA,NA
"mrna","false","QSER1","false","QSER1","up",NA,NA,NA
"mrna","true","ASH1L","false","ASH1L","up",NA,NA,NA
"mrna","false","BPNT2","false","BPNT2","down",NA,NA,NA
"mrna","false","ADAM22","false","ADAM22","up",NA,NA,NA
"mrna","false","PDCD4","false","PDCD4","up",NA,NA,NA
"mrna","false","CBX5","false","CBX5","up",NA,NA,NA
"mrna","false","SYNM","false","SYNM","up",NA,NA,NA
"mrna","false","TRIM2","false","TRIM2","down",NA,NA,NA
"mrna","false","CAND2","false","CAND2","down",NA,NA,NA
"mrna","false","SMG1","false","SMG1","down",NA,NA,NA
"mrna","false","SEMA3A","false","SEMA3A","up",NA,NA,NA
"mrna","false","ATP9A","false","ATP9A","up",NA,NA,NA
"mrna","false","ZC3H11A","false","ZC3H11A","up",NA,NA,NA
"mrna","false","SLC4A7","false","SLC4A7","up",NA,NA,NA
"mrna","false","ARHGAP29","false","ARHGAP29","down",NA,NA,NA
"mrna","false","NRP1","false","NRP1","up",NA,NA,NA
"mrna","false","H4C8","false","H4C8","up",NA,NA,NA
"mrna","true","MAFK","false","MAFK","up",NA,NA,NA
"mrna","false","VLDLR","false","VLDLR","up",NA,NA,NA
"mrna","false","UQCRB","false","UQCRB","down",NA,NA,NA
"mrna","false","TPD52","false","TPD52","up",NA,NA,NA
"mrna","false","TLN1","false","TLN1","up",NA,NA,NA
"mrna","false","TGFBR3","false","TGFBR3","down",NA,NA,NA
"mrna","false","SPTBN1","false","SPTBN1","down",NA,NA,NA
"mrna","false","REV3L","false","REV3L","down",NA,NA,NA
"mrna","false","PSAP","false","PSAP","down",NA,NA,NA
"mrna","false","NPTX1","false","NPTX1","up",NA,NA,NA
"mrna","false","NOTCH2","false","NOTCH2","up",NA,NA,NA
"mrna","true","MYB","false","MYB","up",NA,NA,NA
"mrna","false","IGF1R","false","IGF1R","up",NA,NA,NA
"mrna","false","IDS","false","IDS","up",NA,NA,NA
"mrna","true","HOXB3","false","HOXB3","up",NA,NA,NA
"mrna","false","FUCA1","false","FUCA1","down",NA,NA,NA
"mrna","true","E2F3","false","E2F3","up",NA,NA,NA
"mrna","false","SLC31A1","false","SLC31A1","down",NA,NA,NA
"mrna","false","COL5A1","false","COL5A1","up",NA,NA,NA
"mirna","","mir-3130-5p","false","mir-3130-5p","down",0.682026389147025,"miR-3130-5p/4482-5p","hsa-mir-3130-2,hsa-mir-3130-1"
"mirna","","mir-155-5p","false","mir-155-5p","up",0.39315082294049,"miR-155-5p","hsa-mir-155"
"mirna","","mir-215-5p","false","mir-215-5p","down",0.768495116684465,"miR-192-5p/215-5p","hsa-mir-215,hsa-mir-194-1"
"mirna","","mir-582-3p","false","mir-582-3p","down",0.223889083658049,"miR-582-3p","hsa-mir-582"
"mirna","","mir-543","false","mir-543","up",0.138705142996499,"miR-543","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300"
"mirna","","mir-429","false","mir-429","up",0.00733555780841485,"miR-200bc-3p/429","hsa-mir-200b,hsa-mir-200a,hsa-mir-429"
"mirna","","mir-23b-5p","false","mir-23b-5p","up",0.930458723675629,"miR-23-5p","hsa-mir-23b,hsa-mir-27b,hsa-mir-3074,hsa-mir-24-1"
"mirna","","mir-1266-5p","false","mir-1266-5p","up",0.00388453015993992,"miR-1266-5p/4518","hsa-mir-1266"
"mirna","","mir-577","false","mir-577","up",0.0152632232532775,"miR-577","hsa-mir-577"
"mirna","","mir-616-3p","false","mir-616-3p","down",0.0210757409140762,"miR-616-3p","hsa-mir-616"
"mirna","","mir-629-3p","false","mir-629-3p","up",0.32988758925381,"miR-629-3p","hsa-mir-629"
"mirna","","mir-196a-5p","false","mir-196a-5p","up",0.0164293854966801,"miR-196-5p","hsa-mir-196a-1"
"mirna","","mir-192-3p","false","mir-192-3p","down",0.0176799445372592,"miR-192-3p","hsa-mir-192,hsa-mir-194-2"
"mirna","","mir-1228-5p","false","mir-1228-5p","down",0.0181688406966842,"miR-1228-5p","hsa-mir-1228"
"mirna","","mir-493-3p","false","mir-493-3p","up",0.30462303472185,"miR-493-3p","hsa-mir-493,hsa-mir-337,hsa-mir-665"
"mirna","","mir-411-5p","false","mir-411-5p","down",0.549888347789824,NA,"hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543"
"mirna","","mir-146a-5p","false","mir-146a-5p","down",0.946025376993405,"miR-146-5p","hsa-mir-146a"
"mirna","","mir-760","false","mir-760","up",0.162826321047168,"miR-760","hsa-mir-760"
"mirna","","mir-582-5p","false","mir-582-5p","down",0.184742290101971,"miR-582-5p","hsa-mir-582"
"mirna","","mir-191-3p","false","mir-191-3p","down",0.0900020817248622,"miR-191-3p","hsa-mir-425,hsa-mir-191"
"mirna","","mir-194-5p","false","mir-194-5p","down",0.207161060233289,"miR-194-5p","hsa-mir-215,hsa-mir-194-1"
"mirna","","mir-454-5p","false","mir-454-5p","up",0.0089850736927602,"miR-454-5p","hsa-mir-454"
"mirna","","mir-224-3p","false","mir-224-3p","up",0.143432537068549,"miR-522-3p","hsa-mir-224,hsa-mir-452"
"mirna","","mir-3065-3p","false","mir-3065-3p","down",0.0398653167009213,"miR-3065-3p","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250"
"mirna","","mir-1271-5p","false","mir-1271-5p","up",0.972693632381842,"miR-96-5p/1271-5p","hsa-mir-1271"
"mirna","","mir-122-5p","false","mir-122-5p","down",1.13658827484822e-05,"miR-122-5p","hsa-mir-122,hsa-mir-3591"
"mirna","","mir-30d-5p","false","mir-30d-5p","up",0.371593227717104,"miR-30-5p","hsa-mir-30b,hsa-mir-30d"
"mirna","","mir-188-3p","false","mir-188-3p","down",0.0879764219684743,"miR-188-3p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660"
"mirna","","mir-214-3p","false","mir-214-3p","up",0.758667215415774,"miR-214-3p/3619-5p","hsa-mir-214,hsa-mir-3120,hsa-mir-199a-2"
