"info","is_mrna_tf","name","selected","shared.name","miRfamily","mirnaCluster"
"mrna","false","ATXN1L","false","ATXN1L",NA,NA
"mrna","false","ANKRD52","false","ANKRD52",NA,NA
"mrna","true","ZBTB38","false","ZBTB38",NA,NA
"mrna","false","C4orf46","false","C4orf46",NA,NA
"mrna","false","TET3","false","TET3",NA,NA
"mrna","false","AGO3","false","AGO3",NA,NA
"mrna","false","IFNLR1","false","IFNLR1",NA,NA
"mrna","true","ZNF519","false","ZNF519",NA,NA
"mrna","false","SPRED1","false","SPRED1",NA,NA
"mrna","false","RASEF","false","RASEF",NA,NA
"mrna","false","VPS13B","false","VPS13B",NA,NA
"mrna","false","JMY","false","JMY",NA,NA
"mrna","false","IL31RA","false","IL31RA",NA,NA
"mrna","false","CPEB2","false","CPEB2",NA,NA
"mrna","false","EDARADD","false","EDARADD",NA,NA
"mrna","false","RAVER1","false","RAVER1",NA,NA
"mrna","false","AGAP1","false","AGAP1",NA,NA
"mrna","false","PCMTD1","false","PCMTD1",NA,NA
"mrna","false","LENG8","false","LENG8",NA,NA
"mrna","false","MYADM","false","MYADM",NA,NA
"mrna","false","ZC3H12C","false","ZC3H12C",NA,NA
"mrna","false","KIAA1671","false","KIAA1671",NA,NA
"mrna","true","ZNF514","false","ZNF514",NA,NA
"mrna","false","DDI2","false","DDI2",NA,NA
"mrna","false","MAGT1","false","MAGT1",NA,NA
"mrna","false","KATNAL1","false","KATNAL1",NA,NA
"mrna","false","SLCO5A1","false","SLCO5A1",NA,NA
"mrna","false","NAA50","false","NAA50",NA,NA
"mrna","false","ABHD18","false","ABHD18",NA,NA
"mrna","false","VCPIP1","false","VCPIP1",NA,NA
"mrna","false","GPR157","false","GPR157",NA,NA
"mrna","false","NAA25","false","NAA25",NA,NA
"mrna","false","PHC3","false","PHC3",NA,NA
"mrna","false","CYBRD1","false","CYBRD1",NA,NA
"mrna","false","GSTCD","false","GSTCD",NA,NA
"mrna","false","CLIP4","false","CLIP4",NA,NA
"mrna","false","TBL1XR1","false","TBL1XR1",NA,NA
"mrna","false","PANK3","false","PANK3",NA,NA
"mrna","false","ARMH3","false","ARMH3",NA,NA
"mrna","false","ATP13A3","false","ATP13A3",NA,NA
"mrna","false","GNPTAB","false","GNPTAB",NA,NA
"mrna","false","AHNAK","false","AHNAK",NA,NA
"mrna","false","WNK1","false","WNK1",NA,NA
"mrna","false","CDCP1","false","CDCP1",NA,NA
"mrna","false","FNDC3B","false","FNDC3B",NA,NA
"mrna","false","TENT4B","false","TENT4B",NA,NA
"mrna","false","FAM160B1","false","FAM160B1",NA,NA
"mrna","false","RNF213","false","RNF213",NA,NA
"mrna","false","PHF12","false","PHF12",NA,NA
"mrna","false","DHX33","false","DHX33",NA,NA
"mrna","false","ENOSF1","false","ENOSF1",NA,NA
"mrna","false","YOD1","false","YOD1",NA,NA
"mrna","false","RIF1","false","RIF1",NA,NA
"mrna","true","ZNF770","false","ZNF770",NA,NA
"mrna","false","BCOR","false","BCOR",NA,NA
"mrna","false","OTUD4","false","OTUD4",NA,NA
"mrna","false","C21orf91","false","C21orf91",NA,NA
"mrna","false","NT5DC3","false","NT5DC3",NA,NA
"mrna","false","ANKFY1","false","ANKFY1",NA,NA
"mrna","false","TNPO2","false","TNPO2",NA,NA
"mrna","false","NRBP1","false","NRBP1",NA,NA
"mrna","false","OSTM1","false","OSTM1",NA,NA
"mrna","false","AGO2","false","AGO2",NA,NA
"mrna","false","BRPF3","false","BRPF3",NA,NA
"mrna","false","SACS","false","SACS",NA,NA
"mrna","false","UBXN7","false","UBXN7",NA,NA
"mrna","false","TSKU","false","TSKU",NA,NA
"mrna","false","TIPARP","false","TIPARP",NA,NA
"mrna","false","CORO1C","false","CORO1C",NA,NA
"mrna","false","MACF1","false","MACF1",NA,NA
"mrna","false","DICER1","false","DICER1",NA,NA
"mrna","false","SASH1","false","SASH1",NA,NA
"mrna","true","HIC2","false","HIC2",NA,NA
"mrna","false","PEG10","false","PEG10",NA,NA
"mrna","false","PPRC1","false","PPRC1",NA,NA
"mrna","false","PALLD","false","PALLD",NA,NA
"mrna","false","SEC31A","false","SEC31A",NA,NA
"mrna","false","AAK1","false","AAK1",NA,NA
"mrna","false","RHOBTB3","false","RHOBTB3",NA,NA
