"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mirna","","mir-20a-3p","false","mir-20a-3p","Down",0.0976570481674786,"miR-20a-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"dummy","","","false","mir-20a-3p/mir-196a-5p","dummy",NA,NA,NA
"mirna","","mir-23c","false","mir-23c","Down",0.0843859613030757,"miR-23-3p","hsa-mir-23c"
"dummy","","","false","mir-23c/mir-30c-5p","dummy",NA,NA,NA
"mirna","","mir-19b-3p","false","mir-19b-3p","Down",0.343975359330242,"miR-19-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"dummy","","","false","mir-19b-3p/mir-130a-3p","dummy",NA,NA,NA
"mirna","","mir-196a-5p","false","mir-196a-5p","Down",0.0175405999889321,"miR-196-5p","hsa-mir-196a-1"
"dummy","","","false","mir-196a-5p/mir-582-5p","dummy",NA,NA,NA
"mirna","","mir-320b","false","mir-320b","Down",0.0320871557264656,"miR-320","hsa-mir-320b-1"
"dummy","","","false","mir-320b/let-7c-5p","dummy",NA,NA,NA
"mirna","","mir-27a-5p","false","mir-27a-5p","Down",1.36136921326934e-05,"miR-27a-5p","hsa-mir-24-2,hsa-mir-27a,hsa-mir-23a"
"dummy","","","false","mir-27a-5p/mir-20a-5p","dummy",NA,NA,NA
"mirna","","mir-455-3p","false","mir-455-3p","Down",1.36219972318397e-07,NA,"hsa-mir-455"
"dummy","","","false","mir-455-3p/mir-378a-3p","dummy",NA,NA,NA
"mirna","","mir-106a-5p","false","mir-106a-5p","Down",0.0292168360672743,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"dummy","","","false","mir-106a-5p/mir-582-5p","dummy",NA,NA,NA
"mirna","","mir-203a-3p","false","mir-203a-3p","Down",0.190509641640438,NA,"hsa-mir-203a,hsa-mir-203b"
"dummy","","","false","mir-203a-3p/mir-494-3p","dummy",NA,NA,NA
"mirna","","mir-29b-3p","false","mir-29b-3p","Up",0.0382074916989863,"miR-29-3p","hsa-mir-29a,hsa-mir-29b-1"
"dummy","","","false","mir-29b-3p/mir-20a-5p","dummy",NA,NA,NA
"mirna","","mir-582-5p","false","mir-582-5p","Up",7.16112192490361e-06,"miR-582-5p","hsa-mir-582"
"dummy","","","false","mir-582-5p/mir-150-3p","dummy",NA,NA,NA
"mirna","","mir-454-3p","false","mir-454-3p","Down",0.837484433540161,"miR-130-3p/301-3p/454-3p","hsa-mir-454"
"dummy","","","false","mir-454-3p/mir-18a-5p","dummy",NA,NA,NA
"mirna","","mir-19a-3p","false","mir-19a-3p","Down",0.284727786973506,"miR-19-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"dummy","","","false","mir-19a-3p/mir-31-3p","dummy",NA,NA,NA
"mirna","","mir-2355-5p","false","mir-2355-5p","Up",0.109339135455735,"miR-2355-5p","hsa-mir-2355"
"dummy","","","false","mir-2355-5p/mir-18a-5p","dummy",NA,NA,NA
