"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mirna","","mir-15b-3p","false","mir-15b-3p","Up",0.0156366640122253,"miR-15b-3p","hsa-mir-15b,hsa-mir-16-2"
"dummy","","","false","mir-15b-3p/mir-215-5p","dummy",NA,NA,NA
"dummy","","","false","mir-15b-3p/mir-9-5p","dummy",NA,NA,NA
"mirna","","mir-141-5p","false","mir-141-5p","Up",0.00112279725588573,"miR-141-5p","hsa-mir-200c,hsa-mir-141"
"dummy","","","false","mir-141-5p/mir-363-3p","dummy",NA,NA,NA
"mirna","","mir-363-3p","false","mir-363-3p","Down",0.0031598017131187,"miR-25-3p/32-5p/92-3p/363-3p/367-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"dummy","","","false","mir-363-3p/mir-654-3p","dummy",NA,NA,NA
"mirna","","mir-570-3p","false","mir-570-3p","Up",0.225102164603993,"miR-570-3p","hsa-mir-570"
"dummy","","","false","mir-570-3p/mir-135a-5p","dummy",NA,NA,NA
"mirna","","mir-212-3p","false","mir-212-3p","Down",0.00198920466897351,"miR-132-3p/212-3p","hsa-mir-132,hsa-mir-212"
"dummy","","","false","mir-212-3p/mir-493-5p","dummy",NA,NA,NA
"mirna","","mir-204-5p","false","mir-204-5p","Down",1.66648719744921e-17,"miR-204-5p/211-5p","hsa-mir-204"
"dummy","","","false","mir-204-5p/mir-20b-5p","dummy",NA,NA,NA
"mirna","","mir-511-5p","false","mir-511-5p","Down",0.255012865235525,"miR-511-5p",NA
"dummy","","","false","mir-511-5p/mir-193b-3p","dummy",NA,NA,NA
"mirna","","mir-335-5p","false","mir-335-5p","Down",9.14371672772996e-10,"miR-335-5p","hsa-mir-335"
"dummy","","","false","mir-335-5p/mir-34a-5p","dummy",NA,NA,NA
"mirna","","mir-424-5p","false","mir-424-5p","Up",0.786462490125794,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"dummy","","","false","mir-424-5p/mir-376c-3p","dummy",NA,NA,NA
"mirna","","mir-34a-5p","false","mir-34a-5p","Up",0.440730082467716,"miR-34-5p/449-5p","hsa-mir-34a"
"dummy","","","false","mir-34a-5p/mir-181d-5p","dummy",NA,NA,NA
"dummy","","","false","mir-204-5p/mir-2355-3p","dummy",NA,NA,NA
"dummy","","","false","mir-424-5p/mir-410-3p","dummy",NA,NA,NA
"mirna","","mir-136-5p","false","mir-136-5p","Down",4.3022546554082e-08,"miR-136-5p","hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136"
"dummy","","","false","mir-136-5p/mir-501-5p","dummy",NA,NA,NA
"mirna","","mir-20b-5p","false","mir-20b-5p","Down",0.15270823885516,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"dummy","","","false","mir-20b-5p/mir-214-5p","dummy",NA,NA,NA
"mirna","","mir-3065-3p","false","mir-3065-3p","Down",2.34653486639016e-13,"miR-3065-3p","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250"
"dummy","","","false","mir-3065-3p/mir-34a-5p","dummy",NA,NA,NA
"dummy","","","false","mir-34a-5p/mir-181c-3p","dummy",NA,NA,NA
"mirna","","mir-2110","false","mir-2110","Up",0.650292740503043,"miR-2110","hsa-mir-2110"
"dummy","","","false","mir-2110/mir-34a-5p","dummy",NA,NA,NA
"dummy","","","false","mir-204-5p/mir-34a-5p","dummy",NA,NA,NA
"mirna","","mir-223-3p","false","mir-223-3p","Down",0.698828788938755,"miR-223-3p","hsa-mir-223"
"dummy","","","false","mir-223-3p/mir-9-5p","dummy",NA,NA,NA
"mirna","","mir-21-5p","false","mir-21-5p","Up",0.229274628179526,"miR-21-5p/590-5p","hsa-mir-21"
"dummy","","","false","mir-21-5p/mir-511-5p","dummy",NA,NA,NA
"mirna","","mir-501-5p","false","mir-501-5p","Down",0.544589630375091,"miR-501-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"dummy","","","false","mir-501-5p/mir-892a","dummy",NA,NA,NA
"mirna","","mir-106a-5p","false","mir-106a-5p","Down",0.0292168360672743,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"dummy","","","false","mir-106a-5p/mir-34a-5p","dummy",NA,NA,NA
"dummy","","","false","mir-570-3p/mir-141-5p","dummy",NA,NA,NA
"mirna","","mir-379-5p","false","mir-379-5p","Down",0.00177120950711642,"miR-379-5p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543"
"dummy","","","false","mir-379-5p/mir-146a-5p","dummy",NA,NA,NA
"dummy","","","false","mir-511-5p/mir-379-5p","dummy",NA,NA,NA
"mirna","","mir-214-3p","false","mir-214-3p","Down",7.25435886366704e-12,"miR-214-3p/3619-5p","hsa-mir-214,hsa-mir-3120,hsa-mir-199a-2"
"dummy","","","false","mir-214-3p/mir-223-3p","dummy",NA,NA,NA
