"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mirna","","mir-30a-5p","false","mir-30a-5p","up",0.804283539,"miR-30-5p","hsa-mir-30a"
"dummy","","","false","mir-30a-5p/mir-335-3p","",NA,NA,NA
"mirna","","mir-548b-3p","false","mir-548b-3p","up",0.013257122,"miR-548b-3p","hsa-mir-548b"
"dummy","","","false","mir-548b-3p/mir-744-3p","",NA,NA,NA
"mirna","","mir-7-5p","false","mir-7-5p","up",5.84e-05,"miR-7-5p","hsa-mir-7-1"
"dummy","","","false","mir-7-5p/mir-1-3p","",NA,NA,NA
"mirna","","mir-146b-5p","false","mir-146b-5p","up",6.66e-06,"miR-146-5p","hsa-mir-146b"
"dummy","","","false","mir-146b-5p/mir-129-5p","",NA,NA,NA
"mirna","","mir-654-5p","false","mir-654-5p","up",0.759306739,"miR-654-5p","hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655"
"dummy","","","false","mir-654-5p/mir-146a-5p","",NA,NA,NA
"mirna","","mir-874-3p","false","mir-874-3p","down",0.033462237,"miR-874-3p","hsa-mir-874"
"dummy","","","false","mir-874-3p/mir-22-5p","",NA,NA,NA
"mirna","","mir-224-3p","false","mir-224-3p","up",1.89e-07,"miR-522-3p","hsa-mir-224,hsa-mir-452"
"dummy","","","false","mir-224-3p/mir-548v","",NA,NA,NA
"mirna","","mir-299-5p","false","mir-299-5p","down",0.000187,"miR-299-5p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
"dummy","","","false","mir-299-5p/mir-301b-3p","",NA,NA,NA
"dummy","","","false","mir-146b-5p/mir-224-5p","",NA,NA,NA
"mirna","","mir-377-3p","false","mir-377-3p","down",0.020329443,"miR-377-3p","hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
"dummy","","","false","mir-377-3p/mir-222-5p","",NA,NA,NA
"dummy","","","false","mir-30a-5p/mir-486-5p","",NA,NA,NA
"mirna","","mir-18a-5p","false","mir-18a-5p","up",3.95e-05,"miR-18-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"dummy","","","false","mir-18a-5p/mir-193b-3p","",NA,NA,NA
"mirna","","mir-939-5p","false","mir-939-5p","up",4.79e-05,"miR-939-5p/1343-5p","hsa-mir-939,hsa-mir-1234"
"dummy","","","false","mir-939-5p/mir-10a-3p","",NA,NA,NA
"mirna","","mir-653-5p","false","mir-653-5p","up",0.064270177,"miR-653-5p","hsa-mir-653,hsa-mir-489"
"dummy","","","false","mir-653-5p/mir-127-3p","",NA,NA,NA
"dummy","","","false","mir-7-5p/mir-378a-3p","",NA,NA,NA
"mirna","","mir-30c-2-3p","false","mir-30c-2-3p","down",0.012599225,"miR-30c-3p/6788-5p","hsa-mir-30c-2"
"dummy","","","false","mir-30c-2-3p/mir-200a-3p","",NA,NA,NA
