"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mirna","","mir-33a-3p","false","mir-33a-3p","Up",0.27633165893703,"miR-33a-3p","hsa-mir-33a"
"dummy","","","false","mir-33a-3p/mir-106a-5p","dummy",NA,NA,NA
"mirna","","let-7f-5p","false","let-7f-5p","Down",0.00019080756298252,"let-7-5p/98-5p","hsa-let-7a-1,hsa-let-7f-1,hsa-let-7d"
"dummy","","","false","let-7f-5p/mir-19a-3p","dummy",NA,NA,NA
"mirna","","mir-203a-3p","false","mir-203a-3p","Down",0.584518384064673,NA,"hsa-mir-203a,hsa-mir-203b"
"dummy","","","false","mir-203a-3p/mir-3940-3p","dummy",NA,NA,NA
"mirna","","mir-223-5p","false","mir-223-5p","Down",0.00498753209061271,"miR-223-5p","hsa-mir-223"
"dummy","","","false","mir-223-5p/mir-31-5p","dummy",NA,NA,NA
"mirna","","mir-642a-5p","false","mir-642a-5p","Up",0.00041036207646394,"miR-642a-5p","hsa-mir-642a,hsa-mir-642b"
"dummy","","","false","mir-642a-5p/mir-411-3p","dummy",NA,NA,NA
"dummy","","","false","let-7f-5p/mir-424-5p","dummy",NA,NA,NA
"mirna","","mir-301a-3p","false","mir-301a-3p","Up",7.22277940924562e-14,"miR-130-3p/301-3p/454-3p","hsa-mir-301a"
"dummy","","","false","mir-301a-3p/mir-130a-3p","dummy",NA,NA,NA
"dummy","","","false","let-7f-5p/mir-20a-5p","dummy",NA,NA,NA
"mirna","","mir-20a-5p","false","mir-20a-5p","Up",0.003902550290259,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"dummy","","","false","mir-20a-5p/mir-345-5p","dummy",NA,NA,NA
"mirna","","mir-19a-3p","false","mir-19a-3p","Up",2.06856521144369e-06,"miR-19-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
