"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mirna","","mir-500a-5p","false","mir-500a-5p","Down",0.948093641798056,"miR-500a-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"dummy","","","false","mir-500a-5p/mir-95-3p","dummy",NA,NA,NA
"mirna","","mir-494-3p","false","mir-494-3p","Up",0.00012303486472931,"miR-494-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
"dummy","","","false","mir-494-3p/mir-136-5p","dummy",NA,NA,NA
"mirna","","mir-29c-3p","false","mir-29c-3p","Down",4.36476276351955e-06,"miR-29-3p","hsa-mir-29c,hsa-mir-29b-2"
"dummy","","","false","mir-29c-3p/mir-182-5p","dummy",NA,NA,NA
"mirna","","mir-3150b-3p","false","mir-3150b-3p","Up",0.0520948969994221,"miR-3150b-3p","hsa-mir-3150b,hsa-mir-3150a"
"dummy","","","false","mir-3150b-3p/mir-589-3p","dummy",NA,NA,NA
"mirna","","mir-30a-3p","false","mir-30a-3p","Down",8.64419159757806e-13,"miR-30-3p","hsa-mir-30a"
"dummy","","","false","mir-30a-3p/mir-331-3p","dummy",NA,NA,NA
"mirna","","mir-10b-3p","false","mir-10b-3p","Up",0.818961701615467,"miR-10b-3p","hsa-mir-10b"
"dummy","","","false","mir-10b-3p/mir-455-3p","dummy",NA,NA,NA
"mirna","","mir-210-3p","false","mir-210-3p","Up",3.25186269482615e-16,"miR-210-3p","hsa-mir-210"
"dummy","","","false","mir-210-3p/mir-129-5p","dummy",NA,NA,NA
"mirna","","mir-224-5p","false","mir-224-5p","Up",4.31356702307259e-08,"miR-224-5p","hsa-mir-224,hsa-mir-452"
"dummy","","","false","mir-224-5p/mir-150-5p","dummy",NA,NA,NA
"mirna","","mir-9-3p","false","mir-9-3p","Up",4.23760187088729e-22,"miR-9-3p","hsa-mir-9-1"
"dummy","","","false","mir-9-3p/mir-1291","dummy",NA,NA,NA
"mirna","","mir-4326","false","mir-4326","Up",0.00046487468639546,"miR-4326","hsa-mir-4326"
"dummy","","","false","mir-4326/mir-215-5p","dummy",NA,NA,NA
"dummy","","","false","mir-224-5p/mir-130b-5p","dummy",NA,NA,NA
"dummy","","","false","mir-210-3p/mir-320b","dummy",NA,NA,NA
"mirna","","mir-584-5p","false","mir-584-5p","Down",0.00286681584039096,"miR-584-5p","hsa-mir-584"
"dummy","","","false","mir-584-5p/mir-7-5p","dummy",NA,NA,NA
"dummy","","","false","mir-29c-3p/mir-1-3p","dummy",NA,NA,NA
"mirna","","mir-627-5p","false","mir-627-5p","Up",0.00020345795037789,"miR-627-5p","hsa-mir-627"
"dummy","","","false","mir-627-5p/mir-10b-3p","dummy",NA,NA,NA
"mirna","","mir-154-3p","false","mir-154-3p","Up",0.0619367776562313,"miR-154-3p/487-3p","hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
"dummy","","","false","mir-154-3p/mir-32-3p","dummy",NA,NA,NA
"mirna","","mir-138-5p","false","mir-138-5p","Down",1.23437655890773e-06,"miR-138-5p","hsa-mir-138-2"
"dummy","","","false","mir-138-5p/mir-27a-5p","dummy",NA,NA,NA
"mirna","","mir-362-5p","false","mir-362-5p","Down",NA,"miR-362-5p/500b-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"dummy","","","false","mir-362-5p/mir-500b-5p","dummy",NA,NA,NA
"mirna","","mir-486-5p","false","mir-486-5p","Down",1.22483093735244e-20,"miR-486-5p",NA
"dummy","","","false","mir-486-5p/mir-331-3p","dummy",NA,NA,NA
"mirna","","mir-708-5p","false","mir-708-5p","Up",2.88180150062953e-17,"miR-28-5p/708-5p","hsa-mir-708"
"dummy","","","false","mir-708-5p/let-7c-5p","dummy",NA,NA,NA
"mirna","","mir-135b-5p","false","mir-135b-5p","Up",0.000216268745072,"miR-135-5p","hsa-mir-135b"
"dummy","","","false","mir-135b-5p/mir-2355-3p","dummy",NA,NA,NA
"mirna","","mir-214-3p","false","mir-214-3p","Up",0.332601943538605,"miR-214-3p/3619-5p","hsa-mir-214,hsa-mir-3120,hsa-mir-199a-2"
"dummy","","","false","mir-214-3p/mir-542-5p","dummy",NA,NA,NA
"dummy","","","false","mir-210-3p/mir-133a-3p","dummy",NA,NA,NA
