"info","is_mrna_tf","name","selected","shared.name","miRfamily","mirnaCluster"
"mirna","","mir-409-3p","false","mir-409-3p","miR-409-3p","hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
"dummy","","","false","mir-409-3p/mir-424-5p",NA,NA
"mirna","","mir-338-3p","false","mir-338-3p","miR-338-3p","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250"
"dummy","","","false","mir-338-3p/mir-17-5p",NA,NA
"mirna","","mir-605-5p","false","mir-605-5p","miR-605-5p","hsa-mir-605"
"dummy","","","false","mir-605-5p/mir-221-5p",NA,NA
"mirna","","mir-17-5p","false","mir-17-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"dummy","","","false","mir-17-5p/mir-98-5p",NA,NA
"mirna","","mir-194-5p","false","mir-194-5p","miR-194-5p","hsa-mir-215,hsa-mir-194-1"
"dummy","","","false","mir-194-5p/mir-20a-5p",NA,NA
"mirna","","mir-200a-3p","false","mir-200a-3p","miR-141-3p/200a-3p","hsa-mir-200b,hsa-mir-200a,hsa-mir-429"
"dummy","","","false","mir-200a-3p/mir-378a-5p",NA,NA
"mirna","","mir-10a-5p","false","mir-10a-5p","miR-10-5p","hsa-mir-10a"
"dummy","","","false","mir-10a-5p/mir-106a-5p",NA,NA
"mirna","","mir-142-3p","false","mir-142-3p",NA,"hsa-mir-142,hsa-mir-4736"
"dummy","","","false","mir-142-3p/mir-204-5p",NA,NA
"mirna","","mir-378a-3p","false","mir-378a-3p","miR-378-3p","hsa-mir-378a"
"dummy","","","false","mir-378a-3p/let-7f-5p",NA,NA
"dummy","","","false","mir-378a-3p/mir-200a-3p",NA,NA
"mirna","","mir-1228-5p","false","mir-1228-5p","miR-1228-5p","hsa-mir-1228"
"dummy","","","false","mir-1228-5p/mir-20a-5p",NA,NA
"mirna","","mir-129-2-3p","false","mir-129-2-3p","miR-129-3p","hsa-mir-129-2"
"dummy","","","false","mir-129-2-3p/mir-204-5p",NA,NA
"mirna","","mir-130a-3p","false","mir-130a-3p","miR-130-3p/301-3p/454-3p","hsa-mir-130a"
