"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mirna","","mir-376c-3p","false","mir-376c-3p","Down",0.29148227442177,"miR-376c-3p","hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655"
"dummy","","","false","mir-376c-3p/mir-541-5p","dummy",NA,NA,NA
"mirna","","mir-424-5p","false","mir-424-5p","Down",0.0952209190976666,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"dummy","","","false","mir-424-5p/mir-195-5p","dummy",NA,NA,NA
"mirna","","mir-708-5p","false","mir-708-5p","Down",0.183068490649196,"miR-28-5p/708-5p","hsa-mir-708"
"dummy","","","false","mir-708-5p/let-7c-5p","dummy",NA,NA,NA
"mirna","","mir-200b-3p","false","mir-200b-3p","Down",0.627039105914662,"miR-200bc-3p/429","hsa-mir-200b,hsa-mir-200a,hsa-mir-429"
"dummy","","","false","mir-200b-3p/mir-937-3p","dummy",NA,NA,NA
"mirna","","mir-224-5p","false","mir-224-5p","Down",0.60905406181031,"miR-224-5p","hsa-mir-224,hsa-mir-452"
"dummy","","","false","mir-224-5p/mir-196a-5p","dummy",NA,NA,NA
"mirna","","mir-511-5p","false","mir-511-5p","Down",0.00231977732351297,"miR-511-5p",NA
"dummy","","","false","mir-511-5p/mir-1224-3p","dummy",NA,NA,NA
"mirna","","mir-32-3p","false","mir-32-3p","Down",0.0340399562878437,"miR-32-3p","hsa-mir-32"
"dummy","","","false","mir-32-3p/mir-181d-5p","dummy",NA,NA,NA
"mirna","","mir-411-3p","false","mir-411-3p","Up",0.813967204405885,"miR-411-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543"
"dummy","","","false","mir-411-3p/mir-195-5p","dummy",NA,NA,NA
"mirna","","mir-199a-5p","false","mir-199a-5p","Down",0.154944467214958,"miR-199-5p","hsa-mir-199a-1"
"dummy","","","false","mir-199a-5p/mir-410-3p","dummy",NA,NA,NA
"dummy","","","false","mir-424-5p/mir-410-3p","dummy",NA,NA,NA
"dummy","","","false","mir-199a-5p/mir-411-3p","dummy",NA,NA,NA
"mirna","","mir-99a-3p","false","mir-99a-3p","Down",0.00018410088017964,"miR-99-3p","hsa-mir-99a,hsa-let-7c"
"dummy","","","false","mir-99a-3p/mir-411-3p","dummy",NA,NA,NA
"dummy","","","false","mir-411-3p/mir-424-5p","dummy",NA,NA,NA
"mirna","","mir-873-5p","false","mir-873-5p","Up",0.00277600686250839,NA,"hsa-mir-873"
"dummy","","","false","mir-873-5p/mir-494-3p","dummy",NA,NA,NA
"mirna","","mir-301b-3p","false","mir-301b-3p","Up",0.00922284515750276,"miR-130-3p/301-3p/454-3p","hsa-mir-301b,hsa-mir-130b"
"dummy","","","false","mir-301b-3p/mir-32-3p","dummy",NA,NA,NA
"mirna","","mir-148a-3p","false","mir-148a-3p","Down",0.25468892977419,"miR-148-3p/152-3p","hsa-mir-148a"
"dummy","","","false","mir-148a-3p/mir-182-5p","dummy",NA,NA,NA
"mirna","","mir-7-5p","false","mir-7-5p","Up",0.00076634985750306,"miR-7-5p","hsa-mir-7-1"
"dummy","","","false","mir-7-5p/mir-138-5p","dummy",NA,NA,NA
"mirna","","mir-21-3p","false","mir-21-3p","Down",0.578586216813254,"miR-21-3p/3591-3p","hsa-mir-21"
"dummy","","","false","mir-21-3p/mir-182-5p","dummy",NA,NA,NA
"mirna","","mir-182-5p","false","mir-182-5p","Down",0.361808731279103,"miR-182-5p","hsa-mir-182,hsa-mir-96,hsa-mir-183"
"dummy","","","false","mir-182-5p/mir-96-5p","dummy",NA,NA,NA
"mirna","","mir-542-3p","false","mir-542-3p","Down",0.0931517876213775,"miR-542-3p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"dummy","","","false","mir-542-3p/mir-181c-5p","dummy",NA,NA,NA
"mirna","","mir-323a-5p","false","mir-323a-5p","Up",0.324641205976841,"miR-323a-5p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
"dummy","","","false","mir-323a-5p/mir-483-5p","dummy",NA,NA,NA
"dummy","","","false","mir-873-5p/mir-9-5p","dummy",NA,NA,NA
"mirna","","mir-210-3p","false","mir-210-3p","Up",0.279633000636637,"miR-210-3p","hsa-mir-210"
"dummy","","","false","mir-210-3p/mir-455-3p","dummy",NA,NA,NA
"mirna","","mir-362-5p","false","mir-362-5p","Down",0.9646035537708,"miR-362-5p/500b-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"dummy","","","false","mir-362-5p/mir-188-5p","dummy",NA,NA,NA
"mirna","","mir-1-3p","false","mir-1-3p","Down",0.410500257941461,"miR-1-3p/206","hsa-mir-133a-1,hsa-mir-1-2"
"dummy","","","false","mir-1-3p/mir-138-5p","dummy",NA,NA,NA
"mirna","","mir-193b-3p","false","mir-193b-3p","Down",9.17859257181718e-06,"miR-193-3p","hsa-mir-193b,hsa-mir-365a"
"dummy","","","false","mir-193b-3p/mir-503-5p","dummy",NA,NA,NA
"dummy","","","false","mir-411-3p/mir-106a-5p","dummy",NA,NA,NA
"mirna","","mir-1179","false","mir-1179","Up",0.001545831405452,"miR-1179","hsa-mir-1179,hsa-mir-7-2,hsa-mir-3529"
"dummy","","","false","mir-1179/mir-501-3p","dummy",NA,NA,NA
"mirna","","mir-452-3p","false","mir-452-3p","Up",0.826786755979679,"miR-452-3p","hsa-mir-224,hsa-mir-452"
"dummy","","","false","mir-452-3p/mir-410-3p","dummy",NA,NA,NA
"mirna","","mir-204-5p","false","mir-204-5p","Down",0.183825571457913,"miR-204-5p/211-5p","hsa-mir-204"
"dummy","","","false","mir-204-5p/mir-199a-3p","dummy",NA,NA,NA
"mirna","","mir-199a-3p","false","mir-199a-3p","Down",0.232423553581931,"miR-199-3p","hsa-mir-199a-1"
"dummy","","","false","mir-199a-3p/mir-493-5p","dummy",NA,NA,NA
"mirna","","mir-195-5p","false","mir-195-5p","Down",0.0478918772822502,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-195,hsa-mir-497"
"dummy","","","false","mir-195-5p/mir-193b-3p","dummy",NA,NA,NA
"mirna","","mir-3187-3p","false","mir-3187-3p","Up",0.382495703248607,"miR-3187-3p","hsa-mir-4745,hsa-mir-3187"
"dummy","","","false","mir-3187-3p/mir-96-5p","dummy",NA,NA,NA
"mirna","","mir-942-5p","false","mir-942-5p","Down",0.572119025668203,"miR-942-5p","hsa-mir-942"
"dummy","","","false","mir-942-5p/mir-7-5p","dummy",NA,NA,NA
"mirna","","mir-504-5p","false","mir-504-5p","Up",0.32410154131264,NA,"hsa-mir-504"
"dummy","","","false","mir-504-5p/mir-497-3p","dummy",NA,NA,NA
"mirna","","mir-330-3p","false","mir-330-3p","Up",0.16233758257038,"miR-330-3p","hsa-mir-330"
"dummy","","","false","mir-330-3p/mir-335-5p","dummy",NA,NA,NA
"mirna","","mir-142-5p","false","mir-142-5p","Down",0.736899693675788,"miR-142-5p","hsa-mir-142,hsa-mir-4736"
"dummy","","","false","mir-142-5p/mir-135a-5p","dummy",NA,NA,NA
"mirna","","mir-222-5p","false","mir-222-5p","Down",0.230200426764885,"miR-222-5p","hsa-mir-221,hsa-mir-222"
"dummy","","","false","mir-222-5p/mir-548v","dummy",NA,NA,NA
"dummy","","","false","mir-199a-3p/mir-149-5p","dummy",NA,NA,NA
"mirna","","mir-149-5p","false","mir-149-5p","Up",0.0668418754023813,"miR-149-5p","hsa-mir-149"
"dummy","","","false","mir-149-5p/mir-199b-3p","dummy",NA,NA,NA
"mirna","","mir-296-3p","false","mir-296-3p","Up",0.0999188735719172,"miR-296-3p","hsa-mir-296,hsa-mir-298"
"dummy","","","false","mir-296-3p/mir-365a-3p","dummy",NA,NA,NA
"mirna","","mir-497-5p","false","mir-497-5p","Down",0.0361580563479676,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-195,hsa-mir-497"
"dummy","","","false","mir-497-5p/mir-20b-5p","dummy",NA,NA,NA
"mirna","","mir-106a-5p","false","mir-106a-5p","Down",0.949839369300647,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"dummy","","","false","mir-106a-5p/mir-497-5p","dummy",NA,NA,NA
"mirna","","mir-148a-5p","false","mir-148a-5p","Down",0.0043388972597158,"miR-148a-5p","hsa-mir-148a"
"dummy","","","false","mir-148a-5p/mir-182-5p","dummy",NA,NA,NA
"mirna","","mir-335-5p","false","mir-335-5p","Down",0.865447645355752,"miR-335-5p","hsa-mir-335"
"dummy","","","false","mir-335-5p/mir-493-3p","dummy",NA,NA,NA
"mirna","","mir-34c-5p","false","mir-34c-5p","Up",0.0393363355097751,"miR-34-5p/449-5p","hsa-mir-34b,hsa-mir-34c"
"dummy","","","false","mir-34c-5p/mir-196b-5p","dummy",NA,NA,NA
"dummy","","","false","mir-149-5p/mir-143-3p","dummy",NA,NA,NA
