"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mrna","false","MACC1","false","MACC1","down",NA,NA,NA
"mrna","false","LUZP2","false","LUZP2","up",NA,NA,NA
"mrna","false","DKK1","false","DKK1","down",NA,NA,NA
"mrna","true","HMGA2","false","HMGA2","down",NA,NA,NA
"mrna","false","VEGFA","false","VEGFA","down",NA,NA,NA
"mrna","false","SYT4","false","SYT4","down",NA,NA,NA
"mirna","","mir-338-3p","false","mir-338-3p","down",0.493108951936297,"miR-338-3p","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250"
"mirna","","mir-106a-5p","false","mir-106a-5p","up",0.00018831318528571,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"mirna","","mir-33a-5p","false","mir-33a-5p","down",NA,"miR-33-5p","hsa-mir-33a"
"mirna","","mir-326","false","mir-326","down",0.00015211208340281,"miR-326","hsa-mir-326"
"mirna","","mir-150-5p","false","mir-150-5p","up",0.994057399846652,"miR-150-5p","hsa-mir-150"
"mirna","","mir-153-3p","false","mir-153-3p","up",3.36058035039217e-13,"miR-153-3p","hsa-mir-153-1"
"dummy","","","false","mir-362-3p/mir-338-3p","dummy",NA,NA,NA
"mirna","","mir-362-3p","false","mir-362-3p","up",0.538882711678924,"miR-329-3p/362-3p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"dummy","","","false","mir-20b-5p/mir-106a-5p","dummy",NA,NA,NA
"dummy","","","false","mir-33b-5p/mir-33a-5p","dummy",NA,NA,NA
"mirna","","mir-33b-5p","false","mir-33b-5p","down",0.115018018858396,"miR-33-5p","hsa-mir-33b"
"dummy","","","false","let-7g-3p/mir-326","dummy",NA,NA,NA
"dummy","","","false","let-7g-3p/mir-33b-5p","dummy",NA,NA,NA
"mirna","","let-7g-3p","false","let-7g-3p","down",0.0871294472139528,"let-7a-2-3p/let-7g-3p","hsa-let-7g"
"dummy","","","false","mir-20b-5p/mir-150-5p","dummy",NA,NA,NA
"mirna","","mir-20b-5p","false","mir-20b-5p","up",0.00476570663834819,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"dummy","","","false","mir-142-3p/mir-153-3p","dummy",NA,NA,NA
"mirna","","mir-142-3p","false","mir-142-3p","up",0.924205973463444,NA,"hsa-mir-142,hsa-mir-4736"
