"info","is_mrna_tf","name","selected","shared.name","updown","miRfamily","mirnaCluster"
"mirna","","mir-34a-5p","false","mir-34a-5p","mirna","miR-34-5p/449-5p","hsa-mir-34a"
"dummy","","","false","mir-34a-5p/mir-301b-3p","dummy",NA,NA
"mirna","","mir-675-3p","false","mir-675-3p","mirna","miR-675-3p","hsa-mir-675"
"dummy","","","false","mir-675-3p/mir-552-3p","dummy",NA,NA
"mirna","","mir-744-3p","false","mir-744-3p","mirna","miR-744-3p","hsa-mir-744"
"dummy","","","false","mir-744-3p/mir-486-3p","dummy",NA,NA
"mirna","","mir-182-5p","false","mir-182-5p","mirna","miR-182-5p","hsa-mir-182,hsa-mir-96,hsa-mir-183"
"dummy","","","false","mir-182-5p/mir-29b-3p","dummy",NA,NA
"mirna","","mir-29c-3p","false","mir-29c-3p","mirna","miR-29-3p","hsa-mir-29c,hsa-mir-29b-2"
"dummy","","","false","mir-29c-3p/mir-301a-3p","dummy",NA,NA
"mirna","","mir-362-5p","false","mir-362-5p","mirna","miR-362-5p/500b-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"dummy","","","false","mir-362-5p/let-7f-2-3p","dummy",NA,NA
"mirna","","mir-32-3p","false","mir-32-3p","mirna","miR-32-3p","hsa-mir-32"
"dummy","","","false","mir-32-3p/mir-651-5p","dummy",NA,NA
"mirna","","mir-29b-3p","false","mir-29b-3p","mirna","miR-29-3p","hsa-mir-29a,hsa-mir-29b-1"
"dummy","","","false","mir-29b-3p/mir-101-5p","dummy",NA,NA
"mirna","","mir-101-5p","false","mir-101-5p","mirna","miR-101-5p","hsa-mir-3671,hsa-mir-101-1"
"dummy","","","false","mir-101-5p/mir-33b-5p","dummy",NA,NA
"mirna","","mir-7-5p","false","mir-7-5p","mirna","miR-7-5p","hsa-mir-7-1"
"dummy","","","false","mir-7-5p/mir-183-5p","dummy",NA,NA
"mirna","","mir-188-3p","false","mir-188-3p","mirna","miR-188-3p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660"
"dummy","","","false","mir-188-3p/mir-1270","dummy",NA,NA
"mirna","","mir-18a-5p","false","mir-18a-5p","mirna","miR-18-5p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"dummy","","","false","mir-18a-5p/mir-18b-5p","dummy",NA,NA
"mirna","","mir-552-3p","false","mir-552-3p","mirna","miR-552-3p","hsa-mir-552"
"dummy","","","false","mir-552-3p/mir-1301-3p","dummy",NA,NA
"mirna","","mir-135b-5p","false","mir-135b-5p","mirna","miR-135-5p","hsa-mir-135b"
"dummy","","","false","mir-135b-5p/mir-33a-3p","dummy",NA,NA
"dummy","","","false","mir-29b-3p/mir-301b-3p","dummy",NA,NA
"mirna","","mir-146a-5p","false","mir-146a-5p","mirna","miR-146-5p","hsa-mir-146a"
"dummy","","","false","mir-146a-5p/mir-196b-5p","dummy",NA,NA
"mirna","","mir-577","false","mir-577","mirna","miR-577","hsa-mir-577"
"dummy","","","false","mir-577/mir-215-5p","dummy",NA,NA
"mirna","","mir-376a-5p","false","mir-376a-5p","mirna","miR-376a-5p","hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655"
"dummy","","","false","mir-376a-5p/mir-18b-5p","dummy",NA,NA
"mirna","","mir-1237-3p","false","mir-1237-3p","mirna","miR-1237-3p","hsa-mir-1237"
"dummy","","","false","mir-1237-3p/mir-188-5p","dummy",NA,NA
"mirna","","mir-34b-3p","false","mir-34b-3p","mirna","miR-34b-3p","hsa-mir-34b,hsa-mir-34c"
"dummy","","","false","mir-34b-3p/mir-1307-3p","dummy",NA,NA
"mirna","","mir-188-5p","false","mir-188-5p","mirna","miR-188-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660"
"dummy","","","false","mir-188-5p/mir-877-5p","dummy",NA,NA
"dummy","","","false","mir-376a-5p/mir-33b-5p","dummy",NA,NA
