"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mirna","","mir-149-5p","false","mir-149-5p","Up",0.613008891115033,"miR-149-5p","hsa-mir-149"
"dummy","","","false","mir-149-5p/mir-576-5p","dummy",NA,NA,NA
"mirna","","mir-652-3p","false","mir-652-3p","Up",0.676095442628447,"miR-652-3p","hsa-mir-652"
"dummy","","","false","mir-652-3p/mir-455-3p","dummy",NA,NA,NA
"mirna","","mir-342-3p","false","mir-342-3p","Down",0.579653624961254,"miR-342-3p","hsa-mir-151b,hsa-mir-342"
"dummy","","","false","mir-342-3p/mir-1226-3p","dummy",NA,NA,NA
"mirna","","mir-125b-5p","false","mir-125b-5p","Down",0.271945328535281,"miR-125-5p","hsa-mir-125b-1"
"dummy","","","false","mir-125b-5p/mir-409-3p","dummy",NA,NA,NA
"mirna","","mir-324-5p","false","mir-324-5p","Up",0.565897348207431,"miR-324-5p","hsa-mir-324"
"dummy","","","false","mir-324-5p/let-7g-3p","dummy",NA,NA,NA
"mirna","","mir-507","false","mir-507","Up",0.010667913080938,"miR-507/557","hsa-mir-513a-2,hsa-mir-506,hsa-mir-507,hsa-mir-508"
"dummy","","","false","mir-507/let-7g-3p","dummy",NA,NA,NA
"mirna","","mir-34a-5p","false","mir-34a-5p","Up",0.940925191483641,"miR-34-5p/449-5p","hsa-mir-34a"
"dummy","","","false","mir-34a-5p/let-7g-3p","dummy",NA,NA,NA
"mirna","","mir-33a-5p","false","mir-33a-5p","Down",0.502357386969809,"miR-33-5p","hsa-mir-33a"
"dummy","","","false","mir-33a-5p/mir-324-5p","dummy",NA,NA,NA
"mirna","","mir-582-5p","false","mir-582-5p","Down",0.590764183888988,"miR-582-5p","hsa-mir-582"
"dummy","","","false","mir-582-5p/let-7c-5p","dummy",NA,NA,NA
"mirna","","mir-200b-3p","false","mir-200b-3p","Down",0.0248115648980286,"miR-200bc-3p/429","hsa-mir-200b,hsa-mir-200a,hsa-mir-429"
"dummy","","","false","mir-200b-3p/mir-335-5p","dummy",NA,NA,NA
"mirna","","mir-181d-5p","false","mir-181d-5p","Down",0.754591315642434,"miR-181-5p","hsa-mir-181c,hsa-mir-181d"
"dummy","","","false","mir-181d-5p/let-7a-3p","dummy",NA,NA,NA
"mirna","","mir-27b-5p","false","mir-27b-5p","Up",0.790574315011367,"miR-27b-5p","hsa-mir-23b,hsa-mir-27b,hsa-mir-3074,hsa-mir-24-1"
"dummy","","","false","mir-27b-5p/mir-410-3p","dummy",NA,NA,NA
"mirna","","mir-145-5p","false","mir-145-5p","Down",0.305190312436641,"miR-145-5p","hsa-mir-143,hsa-mir-145"
"dummy","","","false","mir-145-5p/mir-181c-5p","dummy",NA,NA,NA
"dummy","","","false","mir-582-5p/mir-590-3p","dummy",NA,NA,NA
"mirna","","mir-431-5p","false","mir-431-5p","Up",0.162915031339417,"miR-431-5p","hsa-mir-337,hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136"
"dummy","","","false","mir-431-5p/mir-582-5p","dummy",NA,NA,NA
"mirna","","mir-340-5p","false","mir-340-5p","Up",0.778187211528361,"miR-340-5p","hsa-mir-340"
"dummy","","","false","mir-340-5p/mir-30c-2-3p","dummy",NA,NA,NA
"mirna","","mir-19a-3p","false","mir-19a-3p","Down",0.982224350437569,"miR-19-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"dummy","","","false","mir-19a-3p/mir-193b-3p","dummy",NA,NA,NA
"mirna","","mir-653-5p","false","mir-653-5p","Up",0.92156982880499,"miR-653-5p","hsa-mir-653,hsa-mir-489"
"dummy","","","false","mir-653-5p/mir-497-5p","dummy",NA,NA,NA
"mirna","","mir-296-5p","false","mir-296-5p","Up",0.817403923957724,"miR-296-5p","hsa-mir-296,hsa-mir-298"
"dummy","","","false","mir-296-5p/mir-940","dummy",NA,NA,NA
"mirna","","mir-155-5p","false","mir-155-5p","Down",0.872970867820136,"miR-155-5p","hsa-mir-155"
"dummy","","","false","mir-155-5p/mir-143-3p","dummy",NA,NA,NA
"mirna","","mir-219a-1-3p","false","mir-219a-1-3p","Up",0.386066222527983,"miR-219a-1-3p",NA
"dummy","","","false","mir-219a-1-3p/mir-7-5p","dummy",NA,NA,NA
"mirna","","mir-93-5p","false","mir-93-5p","Up",0.591493438849042,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-25,hsa-mir-93,hsa-mir-106b"
"dummy","","","false","mir-93-5p/mir-193b-3p","dummy",NA,NA,NA
"mirna","","mir-3662","false","mir-3662","Up",0.0989361130177799,"miR-3662","hsa-mir-3662"
"dummy","","","false","mir-3662/mir-20b-5p","dummy",NA,NA,NA
"mirna","","mir-664a-5p","false","mir-664a-5p","Up",0.825310474269839,"miR-664a-5p/4794","hsa-mir-664a"
"dummy","","","false","mir-664a-5p/mir-17-3p","dummy",NA,NA,NA
"dummy","","","false","mir-34a-5p/mir-30c-2-3p","dummy",NA,NA,NA
"mirna","","mir-130a-3p","false","mir-130a-3p","Up",0.981590680029993,"miR-130-3p/301-3p/454-3p","hsa-mir-130a"
"dummy","","","false","mir-130a-3p/mir-182-5p","dummy",NA,NA,NA
"mirna","","mir-30b-3p","false","mir-30b-3p","Up",0.700934930448877,"miR-30b-3p/1273h-5p/3689-3p/6779-5p/6780a-5p","hsa-mir-30b,hsa-mir-30d"
"dummy","","","false","mir-30b-3p/mir-93-5p","dummy",NA,NA,NA
"mirna","","mir-497-5p","false","mir-497-5p","Down",0.409593561100949,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-195,hsa-mir-497"
"dummy","","","false","mir-497-5p/mir-324-5p","dummy",NA,NA,NA
"mirna","","mir-550a-3p","false","mir-550a-3p","Up",0.771116298080108,"miR-200c-5p/550a-3p","hsa-mir-550a-1,hsa-mir-550b-1"
"dummy","","","false","mir-550a-3p/mir-193b-3p","dummy",NA,NA,NA
"mirna","","mir-542-3p","false","mir-542-3p","Up",0.529706625395795,"miR-542-3p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"dummy","","","false","mir-542-3p/mir-10a-3p","dummy",NA,NA,NA
"mirna","","mir-196a-5p","false","mir-196a-5p","Up",0.218466553712595,"miR-196-5p","hsa-mir-196a-1"
"dummy","","","false","mir-196a-5p/mir-92a-1-5p","dummy",NA,NA,NA
"mirna","","mir-454-3p","false","mir-454-3p","Up",0.496277222485212,"miR-130-3p/301-3p/454-3p","hsa-mir-454"
"dummy","","","false","mir-454-3p/mir-363-3p","dummy",NA,NA,NA
"dummy","","","false","mir-653-5p/mir-363-3p","dummy",NA,NA,NA
"mirna","","mir-20a-5p","false","mir-20a-5p","Up",0.932219589016707,"miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
