"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mirna","","mir-148a-3p","false","mir-148a-3p","Up",0.703398875915619,"miR-148-3p/152-3p","hsa-mir-148a"
"dummy","","","false","mir-148a-3p/mir-424-5p","dummy",NA,NA,NA
"mirna","","mir-144-3p","false","mir-144-3p","Down",2.4692879246522e-12,"miR-144-3p","hsa-mir-451a,hsa-mir-451b,hsa-mir-144,hsa-mir-4732"
"dummy","","","false","mir-144-3p/mir-100-3p","dummy",NA,NA,NA
"mirna","","mir-338-5p","false","mir-338-5p","Down",0.646605369555348,"miR-338-5p","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250"
"dummy","","","false","mir-338-5p/mir-135a-5p","dummy",NA,NA,NA
"mirna","","mir-1229-3p","false","mir-1229-3p","Up",0.141676766925228,"miR-1229-3p","hsa-mir-1229"
"dummy","","","false","mir-1229-3p/mir-326","dummy",NA,NA,NA
"mirna","","let-7f-5p","false","let-7f-5p","Up",0.253363675660292,"let-7-5p/98-5p","hsa-let-7a-1,hsa-let-7f-1,hsa-let-7d"
"dummy","","","false","let-7f-5p/mir-143-3p","dummy",NA,NA,NA
"mirna","","mir-4326","false","mir-4326","Down",0.386854687107471,"miR-4326","hsa-mir-4326"
"dummy","","","false","mir-4326/mir-153-3p","dummy",NA,NA,NA
"mirna","","mir-138-5p","false","mir-138-5p","Down",5.34081681778258e-05,"miR-138-5p","hsa-mir-138-2"
"dummy","","","false","mir-138-5p/mir-581","dummy",NA,NA,NA
"mirna","","mir-508-5p","false","mir-508-5p","Up",2.87932024818848e-07,"miR-508-5p","hsa-mir-506,hsa-mir-507,hsa-mir-508"
"dummy","","","false","mir-508-5p/mir-19a-3p","dummy",NA,NA,NA
"mirna","","mir-424-5p","false","mir-424-5p","Up",0.0343953372530913,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"mirna","","mir-100-3p","false","mir-100-3p","Down",0.0186802306275313,"miR-100-3p","hsa-let-7a-2,hsa-mir-100"
"mirna","","mir-135a-5p","false","mir-135a-5p","Up",0.351507994173737,"miR-135-5p","hsa-mir-135a-1"
"mirna","","mir-326","false","mir-326","Down",0.00606337717983697,"miR-326","hsa-mir-326"
"mirna","","mir-143-3p","false","mir-143-3p","Up",0.609163197257497,"miR-143-3p","hsa-mir-143,hsa-mir-145"
"mirna","","mir-153-3p","false","mir-153-3p","Down",2.28923267153033e-06,"miR-153-3p","hsa-mir-153-1"
"mirna","","mir-581","false","mir-581","Up",0.721406930527906,"miR-581","hsa-mir-581"
"mirna","","mir-19a-3p","false","mir-19a-3p","Down",0.617570251778639,"miR-19-3p","hsa-mir-17,hsa-mir-18a,hsa-mir-19a,hsa-mir-20a,hsa-mir-19b-1,hsa-mir-92a-1"
"mrna","false","ADORA2B","false","ADORA2B","Up",NA,NA,NA
"mrna","false","FGF2","false","FGF2","Up",NA,NA,NA
"mrna","true","HOXA10","false","HOXA10","Up",NA,NA,NA
"mrna","false","LTBP3","false","LTBP3","Up",NA,NA,NA
"mrna","false","PAPPA","false","PAPPA","Up",NA,NA,NA
"mrna","true","SOX11","false","SOX11","Up",NA,NA,NA
"mrna","false","ADAMTS1","false","ADAMTS1","Down",NA,NA,NA
"mrna","false","PALM2AKAP2","false","PALM2AKAP2","Down",NA,NA,NA
