"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mirna","","mir-195-5p","false","mir-195-5p","Down",0.802263159596797,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-195,hsa-mir-497"
"dummy","","","false","mir-195-5p/mir-1295a","dummy",NA,NA,NA
"mirna","","mir-128-3p","false","mir-128-3p","Down",0.590984413893149,"miR-128-3p","hsa-mir-128-1"
"dummy","","","false","mir-128-3p/mir-15a-5p","dummy",NA,NA,NA
"mirna","","mir-215-5p","false","mir-215-5p","Down",0.364975859301288,"miR-192-5p/215-5p","hsa-mir-215,hsa-mir-194-1"
"dummy","","","false","mir-215-5p/mir-483-5p","dummy",NA,NA,NA
"mirna","","mir-2114-5p","false","mir-2114-5p","Up",0.39430172674841,"miR-2114-5p","hsa-mir-2114"
"dummy","","","false","mir-2114-5p/mir-548j-5p","dummy",NA,NA,NA
"mirna","","mir-15b-5p","false","mir-15b-5p","Up",0.826141128703994,"miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-15b,hsa-mir-16-2"
"dummy","","","false","mir-15b-5p/mir-454-5p","dummy",NA,NA,NA
"mirna","","mir-520a-3p","false","mir-520a-3p","Up",0.0883581724058531,"miR-302-3p/372-3p/373-3p/520-3p","hsa-mir-520f,hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f"
"dummy","","","false","mir-520a-3p/mir-519d-3p","dummy",NA,NA,NA
"mirna","","mir-92b-3p","false","mir-92b-3p","Up",0.851739641894512,"miR-25-3p/32-5p/92-3p/363-3p/367-3p","hsa-mir-92b"
"dummy","","","false","mir-92b-3p/mir-653-5p","dummy",NA,NA,NA
"mirna","","mir-200c-3p","false","mir-200c-3p","Up",0.801202141920273,"miR-200bc-3p/429","hsa-mir-200c,hsa-mir-141"
"dummy","","","false","mir-200c-3p/mir-508-5p","dummy",NA,NA,NA
"mirna","","mir-429","false","mir-429","Up",0.583066277550532,"miR-200bc-3p/429","hsa-mir-200b,hsa-mir-200a,hsa-mir-429"
"dummy","","","false","mir-429/mir-508-5p","dummy",NA,NA,NA
