"coloring","info","is_mrna_tf","name","selected","shared.name","miRfamily","mirnaCluster"
"mirna","mirna","","mir-141-3p","false","mir-141-3p","miR-141-3p/200a-3p","hsa-mir-200c,hsa-mir-141"
"dummy","dummy","","","false","mir-141-3p/mir-200a-3p",NA,NA
"mirna","mirna","","mir-92b-3p","false","mir-92b-3p","miR-25-3p/32-5p/92-3p/363-3p/367-3p","hsa-mir-92b"
"dummy","dummy","","","false","mir-92b-3p/mir-7-5p",NA,NA
"mirna","mirna","","mir-335-3p","false","mir-335-3p","miR-335-3p","hsa-mir-335"
"dummy","dummy","","","false","mir-335-3p/mir-424-5p",NA,NA
"mirna","mirna","","mir-532-3p","false","mir-532-3p","miR-532-3p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b"
"dummy","dummy","","","false","mir-532-3p/mir-182-5p",NA,NA
"mirna","mirna","","let-7c-5p","false","let-7c-5p","let-7-5p/98-5p","hsa-mir-99a,hsa-let-7c"
"dummy","dummy","","","false","let-7c-5p/mir-199b-5p",NA,NA
"mirna","mirna","","mir-502-5p","false","mir-502-5p","miR-502-5p","hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"dummy","dummy","","","false","mir-502-5p/mir-98-5p",NA,NA
"mirna","mirna","","mir-424-5p","false","mir-424-5p","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"dummy","dummy","","","false","mir-424-5p/mir-133a-3p",NA,NA
"mirna","mirna","","mir-760","false","mir-760","miR-760","hsa-mir-760"
"dummy","dummy","","","false","mir-760/mir-335-5p",NA,NA
"mirna","mirna","","mir-660-5p","false","mir-660-5p","miR-660-5p","hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"dummy","dummy","","","false","mir-660-5p/mir-34b-5p",NA,NA
"mirna","mirna","","mir-485-3p","false","mir-485-3p","miR-539-3p","hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409"
"dummy","dummy","","","false","mir-485-3p/mir-362-3p",NA,NA
"mirna","mirna","","mir-329-3p","false","mir-329-3p","miR-329-3p/362-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
"dummy","dummy","","","false","mir-329-3p/mir-362-3p",NA,NA
"mirna","mirna","","mir-940","false","mir-940","miR-940/6808-5p/6893-5p","hsa-mir-3677,hsa-mir-940,hsa-mir-4717"
"dummy","dummy","","","false","mir-940/mir-582-3p",NA,NA
"mirna","mirna","","mir-500a-5p","false","mir-500a-5p","miR-500a-5p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"dummy","dummy","","","false","mir-500a-5p/mir-106a-5p",NA,NA
"mirna","mirna","","mir-502-3p","false","mir-502-3p","miR-501-3p/502-3p","hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
"dummy","dummy","","","false","mir-502-3p/mir-106a-5p",NA,NA
"mirna","mirna","","mir-130a-3p","false","mir-130a-3p","miR-130-3p/301-3p/454-3p","hsa-mir-130a"
"dummy","dummy","","","false","mir-130a-3p/mir-20a-5p",NA,NA
"mirna","mirna","","mir-501-3p","false","mir-501-3p","miR-501-3p/502-3p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660,hsa-mir-502"
