"coloring","info","is_mrna_tf","name","selected","shared.name","miRfamily","mirnaCluster"
"mirna","mirna","","let-7c-5p","false","let-7c-5p","let-7-5p/98-5p","hsa-mir-99a,hsa-let-7c"
"dummy","dummy","","","false","let-7c-5p/mir-96-5p",NA,NA
"mirna","mirna","","mir-320c","false","mir-320c","miR-320","hsa-mir-320c-1"
"dummy","dummy","","","false","mir-320c/mir-1-3p",NA,NA
"mirna","mirna","","mir-335-5p","false","mir-335-5p","miR-335-5p","hsa-mir-335"
"dummy","dummy","","","false","mir-335-5p/mir-3150b-3p",NA,NA
"mirna","mirna","","mir-2116-3p","false","mir-2116-3p","miR-2116-3p","hsa-mir-2116"
"dummy","dummy","","","false","mir-2116-3p/mir-629-3p",NA,NA
"mirna","mirna","","mir-30a-3p","false","mir-30a-3p","miR-30-3p","hsa-mir-30a"
"dummy","dummy","","","false","mir-30a-3p/mir-129-5p",NA,NA
"mirna","mirna","","mir-106a-5p","false","mir-106a-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"dummy","dummy","","","false","mir-106a-5p/mir-495-3p",NA,NA
"mirna","mirna","","mir-424-5p","false","mir-424-5p","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"dummy","dummy","","","false","mir-424-5p/mir-32-5p",NA,NA
"mirna","mirna","","let-7b-5p","false","let-7b-5p","let-7-5p/98-5p","hsa-let-7a-3,hsa-mir-4763,hsa-let-7b"
"dummy","dummy","","","false","let-7b-5p/mir-145-5p",NA,NA
"mirna","mirna","","mir-582-5p","false","mir-582-5p","miR-582-5p","hsa-mir-582"
"dummy","dummy","","","false","mir-582-5p/mir-143-3p",NA,NA
"mirna","mirna","","mir-129-2-3p","false","mir-129-2-3p","miR-129-3p","hsa-mir-129-2"
"dummy","dummy","","","false","mir-129-2-3p/let-7b-5p",NA,NA
"mirna","mirna","","mir-582-3p","false","mir-582-3p","miR-582-3p","hsa-mir-582"
"dummy","dummy","","","false","mir-582-3p/mir-143-3p",NA,NA
"mirna","mirna","","mir-145-5p","false","mir-145-5p","miR-145-5p","hsa-mir-143,hsa-mir-145"
"dummy","dummy","","","false","mir-145-5p/mir-582-5p",NA,NA
"dummy","dummy","","","false","mir-424-5p/mir-106a-5p",NA,NA
"mirna","mirna","","mir-101-3p","false","mir-101-3p",NA,"hsa-mir-3671,hsa-mir-101-1"
"dummy","dummy","","","false","mir-101-3p/mir-424-5p",NA,NA
"mirna","mirna","","mir-548e-3p","false","mir-548e-3p","miR-548az-3p/548ar-3p/548a-3p/548e-3p/548f-3p","hsa-mir-548e"
"dummy","dummy","","","false","mir-548e-3p/mir-1304-5p",NA,NA
"dummy","dummy","","","false","mir-101-3p/mir-106a-5p",NA,NA
"mirna","mirna","","mir-194-5p","false","mir-194-5p","miR-194-5p","hsa-mir-215,hsa-mir-194-1"
