"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","median1","median2","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC"
1272,"CNTN1","hsa-mir-33a-5p","hsa-mir-33b-5p",0.0215,0.0695,5e-04,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/16510572'>PubMedLink</a>"," tarbase "," tarbase ",16.2438833619747,15.141250874349,0.588365208434337,-0.183189084633481,0.473137109166589,0.478041679106905,0.993848343949298,-0.00139252942666845
1291,"COL6A1","hsa-mir-7-5p","hsa-mir-129-2-3p",0.535,0.258,0.0045,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gPAAD/29408481'>PubMedLink</a>","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/31268154'>PubMedLink</a>"," tarbase "," tarbase ",21.8422282060366,20.753702389425,0.0441592006962438,0.907534284364248,0.380336498191205,0.447100063535973,0.934238110436501,-0.0129854329752334
1293,"COL6A3","hsa-mir-3200-3p","hsa-mir-7-5p",0.2875,0.086,0.0015,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gPAAD/29408481'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/21719059'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24002763'>PubMedLink</a>"," tarbase "," tarbase ",21.0496398111327,19.9261695818908,0.908533829285735,-0.0663113540139399,0.0441592006962438,0.907534284364248,0.976783815461854,-0.00467318599420699
1718,"DHCR24","hsa-mir-129-2-3p","hsa-mir-103a-2-5p",0.329,0.5165,0.005,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/27661003'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28060884'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31289003'>PubMedLink</a>"," tarbase "," tarbase ",20.4169028181567,19.102132832993,0.380336498191205,0.447100063535973,0.0517712811101425,-0.953498226933712,0.919502006372056,-0.0163780600683825
1718,"DHCR24","hsa-mir-642a-5p","hsa-mir-7-5p",0.062,0.0865,5e-04,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gPAAD/29408481'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/27661003'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28060884'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31289003'>PubMedLink</a>","mirtarbase  "," tarbase ",19.79637069788,18.7467562367895,0.99664350381264,0.00168828208495427,0.0441592006962438,0.907534284364248,0.919502006372056,-0.0163780600683825
2131,"EXT1","hsa-mir-141-3p","hsa-mir-1224-5p",0.273,0.031,5e-04,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/18000363'>PubMedLink</a>"," tarbase "," tarbase ",17.7280487714926,16.2345314185557,0.165724545091476,0.335811875574651,0.0870161237646326,0.937036684857043,0.935166727784924,0.0140398657746481
2247,"FGF2","hsa-mir-203a-3p","hsa-mir-192-5p",0.085,0.012,0.002,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/11299793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11562741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12136423'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12377649'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12448000'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12448000'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12579092'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16905765'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17478553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17478553'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17569023'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18829480'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18829480'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24503018'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27080571'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29492715'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30035358'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8568589'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9196438'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9398995'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase tarbase ",15.3806977139695,14.3601918811462,0.0550834098950881,0.440724584031878,0.0515119998319784,0.405432610813945,0.860063198171681,-0.0327226196018488
3662,"IRF4","hsa-mir-19a-3p","hsa-mir-103a-2-5p",0.035,0.0115,0.0085,TRUE,"NA","NA","NA"," tarbase "," tarbase ",14.1120899873592,12.4022714482033,0.442829455873115,-0.239962697757447,0.0517712811101425,-0.953498226933712,0.504443681977201,-0.127525739131159
3977,"LIFR","hsa-mir-19a-3p","hsa-mir-103a-2-5p",0.1165,0.0155,0.003,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/27375070'>PubMedLink</a>"," tarbase ","mirtarbase tarbase ",15.9276715545586,14.7845745845363,0.442829455873115,-0.239962697757447,0.0517712811101425,-0.953498226933712,0.675273552423711,-0.0765155226437809
4170,"MCL1","hsa-mir-96-5p","hsa-mir-139-5p",0.0155,0.1055,0.0095,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/18297287'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19288493'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19654003'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19782681'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20004446'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21596068'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21880146'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24019208'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24025188'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24213797'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28692117'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29348852'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30890228'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31467029'>PubMedLink</a>"," tarbase ","mirtarbase tarbase ",21.759536209507,20.012383358773,0.773386012982795,0.10647438394075,0.431217541963223,-0.218194133801926,0.993651272659149,-0.00124637973405763
