"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","BH_pvalues_adjusted","BH_rejected","miRNA1Family","miRNA2Family","miRNA1Cluster","miRNA2Cluster"
25,"ABL1","hsa-mir-149-5p","hsa-mir-576-5p",0.008,FALSE,NA,NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/21472143'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26615134'>PubMedLink</a>","mirtarbase","tarbase",0.613008891115033,0.251481597709084,0.918392652556006,-0.0504607997783398,0.94364819967131,0.0235041519861299,0.393139813581891,FALSE,"miR-149-5p","miR-576-5p","hsa-mir-149","hsa-mir-576"
25,"ABL1","hsa-mir-342-3p","hsa-mir-1226-3p",0.0035,FALSE,NA,NA,"NA
<a href='https://pubmed.ncbi.nlm.nih.gov/21472143'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26615134'>PubMedLink</a>","mirtarbase","tarbase",0.579653624961254,-0.199637756138109,0.867234818400962,0.120230234491001,0.94364819967131,0.0235041519861299,0.319730198019802,FALSE,"miR-342-3p","miR-1226-3p","hsa-mir-151b,hsa-mir-342","hsa-mir-1226"
25,"ABL1","hsa-mir-652-3p","hsa-mir-455-3p",0.0095,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gSKCM/29760567'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSKCM/34395634'>PubMedLink</a>","NA
<a href='https://pubmed.ncbi.nlm.nih.gov/21472143'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26615134'>PubMedLink</a>","tarbase","mirtarbase",0.676095442628447,0.18111864623682,0.830244483087025,-0.0791880488766979,0.94364819967131,0.0235041519861299,0.401152173913043,FALSE,"miR-652-3p",NA,"hsa-mir-652","hsa-mir-455"
27,"ABL2","hsa-mir-125b-5p","hsa-mir-409-3p",0.006,FALSE,NA,NA,NA,"tarbase","tarbase",0.271945328535281,-0.341727052853642,0.816767667775654,0.117121174501057,0.815844249045197,0.0809063210864446,0.365405940594059,FALSE,"miR-125-5p","miR-409-3p","hsa-mir-125b-1","hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
60,"ACTB","hsa-mir-324-5p","hsa-let-7g-3p",0.0015,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11397121'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11564212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12575847'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14706854'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16979613'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18848571'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19137261'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19244113'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21992144'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22525428'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22767273'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24337068'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24625986'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24681666'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25017017'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25225982'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25296750'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27347659'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27367190'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28095330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28122404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29274473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29558744'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30405793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30534824'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31063759'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31065009'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31345992'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31567589'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8757754'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.565897348207431,0.263485444101723,0.263246054600801,-0.5277276014082,0.910643343614204,-0.031845535609003,0.272704433497537,FALSE,"miR-324-5p","let-7a-2-3p/let-7g-3p","hsa-mir-324","hsa-let-7g"
60,"ACTB","hsa-mir-33a-5p","hsa-mir-324-5p",0,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11397121'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11564212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12575847'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14706854'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16979613'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18848571'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19137261'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19244113'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21992144'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22525428'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22767273'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24337068'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24625986'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24681666'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25017017'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25225982'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25296750'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27347659'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27367190'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28095330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28122404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29274473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29558744'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30405793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30534824'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31063759'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31065009'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31345992'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31567589'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8757754'>PubMedLink</a>","mirtarbase","mirtarbase tarbase",0.502357386969809,-0.392994232699471,0.565897348207431,0.263485444101723,0.910643343614204,-0.031845535609003,0,TRUE,"miR-33-5p","miR-324-5p","hsa-mir-33a","hsa-mir-324"
60,"ACTB","hsa-mir-34a-5p","hsa-let-7g-3p",0.008,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11397121'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11564212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12575847'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14706854'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16979613'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18848571'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19137261'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19244113'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21992144'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22525428'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22767273'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24337068'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24625986'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24681666'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25017017'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25225982'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25296750'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27347659'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27367190'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28095330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28122404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29274473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29558744'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30405793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30534824'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31063759'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31065009'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31345992'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31567589'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8757754'>PubMedLink</a>","tarbase","tarbase",0.940925191483641,0.0277587488381643,0.263246054600801,-0.5277276014082,0.910643343614204,-0.031845535609003,0.393139813581891,FALSE,"miR-34-5p/449-5p","let-7a-2-3p/let-7g-3p","hsa-mir-34a","hsa-let-7g"
60,"ACTB","hsa-mir-507","hsa-let-7g-3p",0.009,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11397121'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11564212'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12575847'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14706854'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16979613'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18848571'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19137261'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19244113'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21992144'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22525428'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22767273'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24337068'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24625986'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24681666'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25017017'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25225982'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25296750'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27347659'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27367190'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28095330'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28122404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29274473'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29318761'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29558744'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30405793'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30534824'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31063759'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31065009'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31345992'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31567589'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8757754'>PubMedLink</a>","mirtarbase","tarbase",0.010667913080938,2.70827078235118,0.263246054600801,-0.5277276014082,0.910643343614204,-0.031845535609003,0.399223557692308,FALSE,"miR-507/557","let-7a-2-3p/let-7g-3p","hsa-mir-513a-2,hsa-mir-506,hsa-mir-507,hsa-mir-508","hsa-let-7g"
93,"ACVR2B","hsa-mir-181d-5p","hsa-let-7a-3p",0.0055,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.754591315642434,-0.152825545803633,0.892869558579485,-0.0682230606720431,0.920668558517269,0.0377158579162721,0.356736379613357,FALSE,"miR-181-5p","let-7a-3p/let-7b-3p/let-7f-1-3p/98-3p","hsa-mir-181c,hsa-mir-181d","hsa-let-7a-1,hsa-let-7f-1,hsa-let-7d"
93,"ACVR2B","hsa-mir-200b-3p","hsa-mir-335-5p",0.0075,FALSE,NA,NA,NA,"tarbase","mirtarbase tarbase",0.0248115648980286,-0.912037670816545,0.274558472617775,-0.795578003101037,0.920668558517269,0.0377158579162721,0.386046025104603,FALSE,"miR-200bc-3p/429","miR-335-5p","hsa-mir-200b,hsa-mir-200a,hsa-mir-429","hsa-mir-335"
